Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,63.164645,[242 168] ; [21 98],[203.83742911 206.16257089] ; [59.16257089 59.83742911],1
d1,1,0.0,56.987528,[289 123] ; [38 81],[253.71751412 158.28248588] ; [73.28248588 45.71751412],1
a3,1,0.0,50.657305,[333  78] ; [57 61],[303.00567108 107.99432892] ; [86.99432892 31.00567108],1
a4,1,0.0,41.421863,[225 186] ; [25 93],[194.23440454 216.76559546] ; [55.76559546 62.23440454],1
u1,1,0.0,27.703247,[105 307] ; [  4 115],[ 84.57250471 327.42749529] ; [24.42749529 94.57250471],1
d5,1,0.0,26.664517,[360  49] ; [81 38],[341.60795455  67.39204545] ; [99.39204545 19.60795455],1
d4,1,4.3e-05,16.729164,[359  50] ; [86 33],[344.70643939  64.29356061] ; [100.29356061  18.70643939],1
a6,1,0.000196,13.867714,[300 109] ; [66 53],[283.51136364 125.48863636] ; [82.48863636 36.51136364],1
s7,1,0.000394,12.559911,[267 132] ; [55 58],[250.93359375 148.06640625] ; [71.06640625 41.93359375],1
r1,1,0.002491,9.147132,[351  59] ; [87 31],[340.11363636  69.88636364] ; [97.88636364 20.11363636],0
s8,1,0.005351,7.756669,[251 158] ; [56 63],[237.80871212 171.19128788] ; [69.19128788 49.80871212],0
b2,1,0.006276,7.469318,[108 150] ; [14 47],[ 98.67084639 159.32915361] ; [23.32915361 37.67084639],0
b3,1,0.006276,7.469318,[108 150] ; [14 47],[ 98.67084639 159.32915361] ; [23.32915361 37.67084639],0
p4,1,0.009818,6.667565,[283 127] ; [67 52],[271.26654064 138.73345936] ; [78.73345936 40.26654064],0
d3,1,0.010973,6.469738,[304 106] ; [74 45],[292.96786389 117.03213611] ; [85.03213611 33.96786389],0
s5,1,0.012761,6.201947,[193 207] ; [40 74],[181.3229572 218.6770428] ; [51.6770428 62.3229572],0
n6,1,0.023209,5.152809,[364  44] ; [96 22],[356.80608365  51.19391635] ; [103.19391635  14.80608365],0
n4,1,0.024529,5.056829,[335  75] ; [86 33],[326.29489603  83.70510397] ; [94.70510397 24.29489603],0
p3,1,0.028553,4.794388,[236 174] ; [55 64],[225.53875236 184.46124764] ; [65.46124764 53.53875236],0
v2,1,0.030949,4.655798,[243 153] ; [56 56],[233.07874016 162.92125984] ; [65.92125984 46.07874016],0
s2,1,0.061698,3.491144,[281 129] ; [70 48],[272.55681818 137.44318182] ; [78.44318182 39.55681818],0
v3,1,0.084773,2.970936,[168 229] ; [38 76],[160.04305284 236.95694716] ; [45.95694716 68.04305284],0
u4,1,0.096699,2.759154,[ 16 396] ; [  1 118],[ 13.19020716 398.80979284] ; [  3.80979284 115.19020716],0
a1,1,0.109027,2.568266,[ 26 386] ; [  3 116],[ 22.50094162 389.49905838] ; [  6.49905838 112.50094162],0
p10,1,0.162972,1.946432,[381  29] ; [105  13],[377.38636364  32.61363636] ; [108.61363636   9.38636364],0
p7,1,0.187157,1.739856,[277 122] ; [73 43],[271.16504854 127.83495146] ; [78.83495146 37.16504854],0
a7,1,0.204253,1.611701,[307 105] ; [81 37],[301.61509434 110.38490566] ; [86.38490566 31.61509434],0
p6,1,0.211919,1.558269,[180 230] ; [43 72],[174.15238095 235.84761905] ; [48.84761905 66.15238095],0
b1,1,0.252219,1.31097,[148 264] ; [36 83],[142.7645951 269.2354049] ; [41.2354049 77.7645951],0
r4,1,0.268325,1.225292,[386  26] ; [108  11],[383.29190207  28.70809793] ; [110.70809793   8.29190207],0
r2,1,0.277297,1.180289,[391  15] ; [110   7],[388.92160612  17.07839388] ; [112.07839388   4.92160612],0
p8,1,0.285392,1.141231,[229 177] ; [60 58],[223.91984733 182.08015267] ; [65.08015267 52.91984733],0
s3,1,0.312559,1.019832,[283 124] ; [87 30],[287.38549618 119.61450382] ; [82.61450382 34.38549618],0
s1,1,0.315105,1.009157,[ 13 394] ; [  6 110],[ 14.78585086 392.21414914] ; [  4.21414914 111.78585086],0
a8,1,0.34609,0.887742,[ 58 318] ; [13 97],[ 54.93004115 321.06995885] ; [16.06995885 93.93004115],0
b5,1,0.359522,0.839563,[258 154] ; [69 50],[253.71751412 158.28248588] ; [73.28248588 45.71751412],0
v1,1,0.485195,0.487163,[240 159] ; [65 50],[236.76070039 162.23929961] ; [68.23929961 46.76070039],0
p12,1,0.533864,0.38703,[ 50 361] ; [ 12 107],[ 48.07924528 362.92075472] ; [ 13.92075472 105.07924528],0
r3,1,0.570471,0.321895,[398  13] ; [113   5],[397.01512287  13.98487713] ; [113.98487713   4.01512287],0
n5,1,0.579534,0.306989,[325  83] ; [92 27],[322.83870968  85.16129032] ; [94.16129032 24.83870968],0
p11,1,0.597957,0.278088,[341  71] ; [96 23],[339.06591337  72.93408663] ; [97.93408663 21.06591337],0
n3,1,0.64772,0.208787,[66 24] ; [20  9],[65.04201681 24.95798319] ; [20.95798319  8.04201681],0
p1,1,0.668521,0.183337,[ 36 373] ; [ 12 107],[ 37.18181818 371.81818182] ; [ 10.81818182 108.18181818],0
v4,1,0.795986,0.066846,[398  12] ; [114   4],[397.57575758  12.42424242] ; [114.42424242   3.57575758],0
u2,1,0.829224,0.046525,[48 30] ; [38 22],[48.60869565 29.39130435] ; [37.39130435 22.60869565],0
p5,1,0.85654,0.032682,[ 59 349] ; [ 18 101],[ 59.61290323 348.38709677] ; [ 17.38709677 101.61290323],0
p2,1,0.864765,0.029006,[355  54] ; [104  15],[355.55113636  53.44886364] ; [103.44886364  15.55113636],0
n2,1,0.906353,0.013839,[70 21] ; [22  7],[69.76666667 21.23333333] ; [22.23333333  6.76666667],0
s4,1,0.943433,0.005035,[ 85 322] ; [25 93],[ 85.27619048 321.72380952] ; [24.72380952 93.27619048],0
u3,1,0.963461,0.002099,[47 30] ; [37 24],[46.86956522 30.13043478] ; [37.13043478 23.86956522],0
n1,1,0.971247,0.001299,[38 53] ; [12 17],[37.91666667 53.08333333] ; [12.08333333 16.91666667],0
b4,1,0.975527,0.000941,[243 169] ; [70 49],[242.85499058 169.14500942] ; [70.14500942 48.85499058],0
