Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.001375,10.238857,[75 42] ; [85 17],[85.47945205 31.52054795] ; [74.52054795 27.47945205],0
v1,1,0.00201,9.54027,[62 48] ; [78 24],[72.64150943 37.35849057] ; [67.35849057 34.64150943],0
p5,1,0.003071,8.764943,[ 15 101] ; [30 73],[23.83561644 92.16438356] ; [21.16438356 81.83561644],0
p7,1,0.003364,8.598965,[82 34] ; [88 13],[90.87557604 25.12442396] ; [79.12442396 21.87557604],0
p6,1,0.011742,6.349411,[53 63] ; [64 38],[62.25688073 53.74311927] ; [54.74311927 47.25688073],0
a5,1,0.015783,5.826926,[94 24] ; [94  9],[100.3800905  17.6199095] ; [87.6199095 15.3800905],0
p8,1,0.0173,5.665636,[71 44] ; [79 24],[79.12844037 35.87155963] ; [70.87155963 32.12844037],0
d3,1,0.017595,5.636011,[73 45] ; [79 24],[81.15837104 36.84162896] ; [70.84162896 32.15837104],0
d1,1,0.017791,5.616621,[77 41] ; [82 21],[84.8959276 33.1040724] ; [74.1040724 28.8959276],0
s7,1,0.020031,5.409224,[80 33] ; [81 15],[87.04784689 25.95215311] ; [73.95215311 22.04784689],0
n1,1,0.021203,5.310051,[ 8 15] ; [14  6],[11.76744186 11.23255814] ; [10.23255814  9.76744186],0
s6,1,0.021345,5.298365,[93 25] ; [92 10],[99.22727273 18.77272727] ; [85.77272727 16.22727273],0
n2,1,0.02195,5.249748,[12 11] ; [17  3],[15.51162791  7.48837209] ; [13.48837209  6.51162791],0
a3,1,0.026104,4.949086,[92 26] ; [91 11],[98.15454545 19.84545455] ; [84.84545455 17.15454545],0
d4,1,0.043287,4.084156,[98 20] ; [94  8],[102.98181818  15.01818182] ; [89.01818182 12.98181818],0
p10,1,0.050254,3.832957,[100  16] ; [97  6],[104.34703196  11.65296804] ; [92.65296804 10.34703196],0
r1,1,0.056233,3.645129,[95 22] ; [93 10],[99.98181818 17.01818182] ; [88.01818182 14.98181818],0
u3,1,0.056969,3.6235,[16 10] ; [11  1],[18.47368421  7.52631579] ; [8.52631579 3.47368421],0
u1,1,0.067359,3.346234,[24 94] ; [32 71],[29.90045249 88.09954751] ; [26.09954751 76.90045249],0
d5,1,0.106253,2.609092,[99 19] ; [93  9],[102.98181818  15.01818182] ; [89.01818182 12.98181818],0
v3,1,0.108211,2.580153,[51 58] ; [59 43],[56.82464455 52.17535545] ; [53.17535545 48.82464455],0
r2,1,0.130773,2.283305,[111   5] ; [102   1],[112.82191781   3.17808219] ; [100.17808219   2.82191781],0
v2,1,0.143463,2.140418,[64 44] ; [71 32],[69.09952607 38.90047393] ; [65.90047393 37.09952607],0
s4,1,0.165413,1.92403,[ 17 101] ; [22 80],[20.91818182 97.08181818] ; [18.08181818 83.91818182],0
a4,1,0.208221,1.583756,[53 65] ; [55 48],[57.66515837 60.33484163] ; [50.33484163 52.66515837],0
s3,1,0.217864,1.518385,[82 35] ; [79 23],[86.01369863 30.98630137] ; [74.98630137 27.01369863],0
n6,1,0.248981,1.329012,[103  15] ; [93  8],[105.60730594  12.39269406] ; [90.39269406 10.60730594],0
a1,1,0.265934,1.237602,[  5 113] ; [ 8 95],[  6.94117647 111.05882353] ; [ 6.05882353 96.94117647],0
a2,1,0.272758,1.202826,[31 87] ; [34 69],[34.70588235 83.29411765] ; [30.29411765 72.70588235],0
u4,1,0.281319,1.160707,[  7 111] ; [  3 100],[  5.33936652 112.66063348] ; [ 4.66063348 98.33936652],0
r4,1,0.281319,1.160707,[111   7] ; [100   3],[112.66063348   5.33936652] ; [98.33936652  4.66063348],0
p1,1,0.424425,0.63803,[ 14 103] ; [16 86],[ 16.02739726 100.97260274] ; [13.97260274 88.02739726],0
n5,1,0.436102,0.606519,[96 22] ; [87 15],[98.15454545 19.84545455] ; [84.84545455 17.15454545],0
a8,1,0.475484,0.509202,[12 96] ; [14 83],[13.69756098 94.30243902] ; [12.30243902 84.69756098],0
a6,1,0.492533,0.470987,[77 41] ; [71 31],[79.38181818 38.61818182] ; [68.61818182 33.38181818],0
p9,1,0.523246,0.407491,[108   8] ; [98  5],[109.11415525   6.88584475] ; [96.88584475  6.11415525],0
n3,1,0.53575,0.383473,[18  5] ; [14  6],[17.11627907  5.88372093] ; [14.88372093  5.11627907],0
p2,1,0.558216,0.342802,[104  13] ; [94  9],[105.3  11.7] ; [92.7 10.3],0
b5,1,0.635556,0.224602,[65 53] ; [60 43],[66.74208145 51.25791855] ; [58.25791855 44.74208145],0
n4,1,0.643775,0.213839,[101  17] ; [85 17],[99.76363636 18.23636364] ; [86.23636364 15.76363636],0
b1,1,0.649515,0.206512,[54 64] ; [44 59],[52.32579186 65.67420814] ; [45.67420814 57.32579186],0
p11,1,0.666296,0.185966,[101  17] ; [86 17],[99.84615385 18.15384615] ; [87.15384615 15.84615385],0
u2,1,0.695487,0.153209,[15 10] ; [8 4],[15.54054054  9.45945946] ; [7.45945946 4.54054054],0
b2,1,0.70924,0.139037,[42 46] ; [35 34],[43.15923567 44.84076433] ; [33.84076433 35.15923567],0
b3,1,0.70924,0.139037,[42 46] ; [35 34],[43.15923567 44.84076433] ; [33.84076433 35.15923567],0
v4,1,0.764532,0.089721,[115   3] ; [101   2],[115.33031674   2.66968326] ; [100.66968326   2.33031674],0
b4,1,0.825159,0.048803,[67 51] ; [60 43],[67.80995475 50.19004525] ; [59.19004525 43.80995475],0
p4,1,0.843428,0.03901,[95 23] ; [84 19],[95.57466063 22.42533937] ; [83.42533937 19.57466063],0
p12,1,0.847319,0.037072,[ 16 100] ; [15 87],[16.49541284 99.50458716] ; [14.50458716 87.49541284],0
r3,1,0.865837,0.028544,[115   3] ; [100   3],[114.79638009   3.20361991] ; [100.20361991   2.79638009],0
d2,1,0.895084,0.017391,[70 48] ; [62 41],[70.47963801 47.52036199] ; [61.52036199 41.47963801],0
s1,1,0.906152,0.013899,[  5 113] ; [ 4 98],[  4.82727273 113.17272727] ; [ 4.17272727 97.82727273],0
a7,1,0.93324,0.007017,[79 38] ; [69 34],[78.70909091 38.29090909] ; [69.29090909 33.70909091],0
