Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.3e-05,17.964445,[78 47] ; [101  16],[92.45867769 32.54132231] ; [86.54132231 30.45867769],1
p5,1,0.000144,14.443189,[  8 117] ; [28 90],[ 18.51851852 106.48148148] ; [ 17.48148148 100.51851852],1
s4,1,0.000664,11.588242,[ 10 115] ; [28 89],[ 19.62809917 105.37190083] ; [18.37190083 98.62809917],1
s6,1,0.000919,10.984726,[95 29] ; [107   9],[104.36666667  19.63333333] ; [97.63333333 18.36666667],1
p8,1,0.014772,5.943428,[60 62] ; [74 40],[69.27118644 52.72881356] ; [64.72881356 49.27118644],0
s8,1,0.017168,5.67913,[80 44] ; [91 25],[88.35 35.65] ; [82.65 33.35],0
s3,1,0.031628,4.618575,[84 40] ; [92 23],[91.31380753 32.68619247] ; [84.68619247 30.31380753],0
n1,1,0.036967,4.351924,[ 5 16] ; [14 12],[ 8.4893617 12.5106383] ; [10.5106383 15.4893617],0
p7,1,0.054361,3.701592,[84 38] ; [91 23],[90.46610169 31.53389831] ; [84.53389831 29.46610169],0
p4,1,0.07488,3.172673,[77 48] ; [84 32],[83.50622407 41.49377593] ; [77.49377593 38.50622407],0
p12,1,0.080503,3.05472,[ 10 114] ; [ 18 100],[ 14.34710744 109.65289256] ; [ 13.65289256 104.34710744],0
n2,1,0.084743,2.971513,[15  7] ; [23  3],[17.41666667  4.58333333] ; [20.58333333  5.41666667],0
p6,1,0.086042,2.946908,[50 73] ; [60 56],[56.61087866 66.38912134] ; [53.38912134 62.61087866],0
p1,1,0.08877,2.896535,[  8 117] ; [ 15 102],[ 11.88016529 113.11983471] ; [ 11.11983471 105.88016529],0
a5,1,0.115604,2.47589,[101  24] ; [104  14],[105.4526749  19.5473251] ; [99.5473251 18.4526749],0
p3,1,0.128271,2.313306,[67 58] ; [74 43],[72.83057851 52.16942149] ; [68.16942149 48.83057851],0
p9,1,0.152682,2.045246,[107  15] ; [109   8],[110.25941423  11.74058577] ; [105.74058577  11.25941423],0
p11,1,0.170482,1.878701,[106  19] ; [92 26],[101.85185185  23.14814815] ; [96.14814815 21.85185185],0
a6,1,0.172047,1.865018,[94 31] ; [78 38],[89.21161826 35.78838174] ; [82.78838174 33.21161826],0
b5,1,0.246807,1.341285,[78 47] ; [65 53],[73.55967078 51.44032922] ; [69.44032922 48.55967078],0
a8,1,0.268097,1.226458,[25 86] ; [17 86],[21.78504673 89.21495327] ; [20.21495327 82.78504673],0
a3,1,0.301872,1.065904,[103  22] ; [102  15],[105.88842975  19.11157025] ; [99.11157025 17.88842975],0
p10,1,0.310984,1.026492,[104  19] ; [105  13],[106.66804979  16.33195021] ; [102.33195021  15.66804979],0
n5,1,0.348844,0.877656,[100  24] ; [98 17],[102.72803347  21.27196653] ; [95.27196653 19.72803347],0
n3,1,0.353842,0.859632,[15  7] ; [20  5],[16.38297872  5.61702128] ; [18.61702128  6.38297872],0
p2,1,0.369944,0.803852,[104  21] ; [103  15],[106.48148148  18.51851852] ; [100.51851852  17.48148148],0
a4,1,0.444061,0.585767,[58 66] ; [61 57],[60.97520661 63.02479339] ; [58.02479339 59.97520661],0
r3,1,0.450175,0.570211,[120   4] ; [115   2],[120.91286307   3.08713693] ; [114.08713693   2.91286307],0
n6,1,0.456476,0.554521,[109  16] ; [102  11],[110.81932773  14.18067227] ; [100.18067227  12.81932773],0
s1,1,0.4565,0.554462,[  4 120] ; [  2 114],[  3.1 120.9] ; [  2.9 113.1],0
v3,1,0.515286,0.423318,[72 48] ; [75 42],[74.43037975 45.56962025] ; [72.56962025 44.43037975],0
u4,1,0.524481,0.405073,[  5 120] ; [  3 115],[  4.11522634 120.88477366] ; [  3.88477366 114.11522634],0
b4,1,0.535019,0.384851,[79 46] ; [70 48],[76.64609053 48.35390947] ; [72.35390947 45.64609053],0
u2,1,0.536158,0.382707,[14  8] ; [11  4],[14.86486486  7.13513514] ; [10.13513514  4.86486486],0
a2,1,0.564499,0.331973,[36 89] ; [38 80],[38.06584362 86.93415638] ; [35.93415638 82.06584362],0
n4,1,0.594509,0.283358,[106  19] ; [102  15],[107.43801653  17.56198347] ; [100.56198347  16.43801653],0
u3,1,0.647264,0.209366,[15  7] ; [12  4],[15.63157895  6.36842105] ; [11.36842105  4.63157895],0
d3,1,0.647728,0.208777,[93 32] ; [84 33],[91.42561983 33.57438017] ; [85.57438017 31.42561983],0
v4,1,0.658533,0.195311,[120   4] ; [111   5],[119.35   4.65] ; [111.65   4.35],0
r1,1,0.686017,0.163432,[109  16] ; [104  13],[110.02066116  14.97933884] ; [102.97933884  14.02066116],0
d4,1,0.686017,0.163432,[109  16] ; [104  13],[110.02066116  14.97933884] ; [102.97933884  14.02066116],0
v1,1,0.725096,0.123662,[84 38] ; [83 34],[85.24686192 36.75313808] ; [81.75313808 35.24686192],0
b1,1,0.725847,0.122959,[46 79] ; [46 72],[47.32510288 77.67489712] ; [44.67489712 73.32510288],0
d2,1,0.777998,0.079484,[77 48] ; [70 47],[75.92975207 49.07024793] ; [71.07024793 45.92975207],0
u1,1,0.779451,0.078419,[34 91] ; [34 84],[34.97942387 90.02057613] ; [33.02057613 84.97942387],0
d5,1,0.858026,0.032001,[108  17] ; [102  15],[108.47107438  16.52892562] ; [101.52892562  15.47107438],0
r4,1,0.897843,0.016483,[116   9] ; [110   8],[116.25514403   8.74485597] ; [109.74485597   8.25514403],0
a1,1,0.905063,0.014225,[  8 117] ; [  8 110],[  8.23045267 116.76954733] ; [  7.76954733 110.23045267],0
a7,1,0.916605,0.010964,[95 30] ; [89 29],[94.65020576 30.34979424] ; [89.34979424 28.65020576],0
d1,1,0.920954,0.009847,[84 41] ; [80 38],[84.36213992 40.63786008] ; [79.63786008 38.36213992],0
r2,1,0.950113,0.003914,[119   3] ; [113   3],[118.92436975   3.07563025] ; [113.07563025   2.92436975],0
b2,1,0.957352,0.00286,[39 57] ; [32 46],[39.17241379 56.82758621] ; [31.82758621 46.17241379],0
b3,1,0.957352,0.00286,[39 57] ; [32 46],[39.17241379 56.82758621] ; [31.82758621 46.17241379],0
