Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,22.161071,[ 63 102] ; [89 47],[83.32225914 81.67774086] ; [68.67774086 67.32225914],1
s2,1,0.00101,10.808972,[ 61 110] ; [75 63],[75.26213592 95.73786408] ; [60.73786408 77.26213592],0
v3,1,0.003233,8.670867,[ 42 123] ; [56 79],[ 53.9 111.1] ; [44.1 90.9],0
s6,1,0.003392,8.583536,[88 84] ; [94 45],[100.65594855  71.34405145] ; [81.34405145 57.65594855],0
p4,1,0.007746,7.091245,[ 61 111] ; [72 71],[72.62222222 99.37777778] ; [60.37777778 82.62222222],0
p2,1,0.011456,6.393194,[109  64] ; [109  34],[119.34810127  53.65189873] ; [98.65189873 44.34810127],0
v4,1,0.012548,6.231784,[152  21] ; [136   6],[158.17142857  14.82857143] ; [129.82857143  12.17142857],0
a5,1,0.018659,5.533153,[108  65] ; [107  36],[117.7056962  55.2943038] ; [97.2943038 45.7056962],0
p5,1,0.028589,4.792189,[  5 168] ; [ 12 129],[  9.36624204 163.63375796] ; [  7.63375796 133.36624204],0
p3,1,0.034595,4.465035,[ 44 128] ; [52 90],[ 52.58598726 119.41401274] ; [43.41401274 98.58598726],0
p9,1,0.038632,4.276983,[122  49] ; [114  26],[129.76205788  41.23794212] ; [106.23794212  33.76205788],0
u2,1,0.068752,3.312579,[29 32] ; [30 16],[33.63551402 27.36448598] ; [25.36448598 20.63551402],0
s7,1,0.068953,3.30778,[ 53 111] ; [57 77],[ 60.53691275 103.46308725] ; [49.46308725 84.53691275],0
r2,1,0.070909,3.261848,[155  18] ; [136   7],[159.31329114  13.68670886] ; [131.68670886  11.31329114],0
u3,1,0.071173,3.255768,[31 30] ; [32 15],[35.58333333 25.41666667] ; [27.41666667 19.58333333],0
r1,1,0.073152,3.210838,[122  50] ; [114  29],[128.86349206  43.13650794] ; [107.13650794  35.86349206],0
s8,1,0.10293,2.659541,[ 50 123] ; [53 88],[ 56.74840764 116.25159236] ; [46.25159236 94.74840764],0
p12,1,0.104929,2.628989,[  8 165] ; [ 13 128],[ 11.57006369 161.42993631] ; [  9.42993631 131.57006369],0
p6,1,0.113187,2.509144,[ 21 152] ; [ 26 114],[ 25.97763578 147.02236422] ; [ 21.02236422 118.97763578],0
s3,1,0.127341,2.324625,[76 96] ; [74 66],[82.69230769 89.30769231] ; [67.30769231 72.69230769],0
n4,1,0.148561,2.086963,[114  59] ; [105  38],[119.89556962  53.10443038] ; [99.10443038 43.89556962],0
