Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,8e-06,19.907681,[254  41] ; [21 16],[244.35240964  50.64759036] ; [30.64759036  6.35240964],1
d3,1,0.001158,10.555529,[237  58] ; [21 16],[229.24698795  65.75301205] ; [28.75301205  8.24698795],0
p7,1,0.002124,9.43886,[231  60] ; [21 16],[223.57317073  67.42682927] ; [28.42682927  8.57317073],0
p8,1,0.002997,8.809593,[199  94] ; [16 21],[190.89393939 102.10606061] ; [24.10606061 12.89393939],0
p9,1,0.004027,8.271498,[267  26] ; [28  9],[261.92424242  31.07575758] ; [33.07575758  3.92424242],0
p6,1,0.027087,4.885283,[150 140] ; [12 25],[143.66972477 146.33027523] ; [18.33027523 18.66972477],0
v1,1,0.036539,4.371775,[184 104] ; [16 19],[178.32817337 109.67182663] ; [21.67182663 13.32817337],0
d5,1,0.059819,3.542391,[257  38] ; [28  9],[253.23795181  41.76204819] ; [31.76204819  5.23795181],0
s6,1,0.060442,3.525211,[206  81] ; [21 16],[201.07716049  85.92283951] ; [25.92283951 11.07716049],0
r4,1,0.073997,3.192057,[278  17] ; [32  5],[275.45180723  19.54819277] ; [34.54819277  2.45180723],0
s8,1,0.09981,2.708572,[144 147] ; [13 24],[139.28963415 151.71036585] ; [17.71036585 19.28963415],0
a2,1,0.106154,2.610561,[103 192] ; [ 8 29],[ 98.62951807 196.37048193] ; [12.37048193 24.62951807],0
v3,1,0.106851,2.600185,[130 154] ; [11 24],[125.52978056 158.47021944] ; [15.47021944 19.52978056],0
s7,1,0.109591,2.560117,[152 121] ; [14 20],[147.61563518 125.38436482] ; [18.38436482 15.61563518],0
a3,1,0.137442,2.206363,[223  70] ; [24 13],[219.30606061  73.69393939] ; [27.69393939  9.30606061],0
p11,1,0.149325,2.07913,[244  51] ; [27 10],[240.79819277  54.20180723] ; [30.20180723  6.79819277],0
s5,1,0.152424,2.04782,[107 174] ; [ 9 26],[103.15189873 177.84810127] ; [12.84810127 22.15189873],0
a1,1,0.157516,1.997912,[ 15 280] ; [ 4 33],[ 16.88253012 278.11746988] ; [ 2.11746988 34.88253012],0
r3,1,0.168309,1.897938,[282  10] ; [34  3],[280.46200608  11.53799392] ; [35.53799392  1.46200608],0
p1,1,0.171383,1.870808,[ 39 255] ; [ 2 35],[ 36.41691843 257.58308157] ; [ 4.58308157 32.41691843],0
a8,1,0.207481,1.588918,[ 36 223] ; [ 2 31],[ 33.70547945 225.29452055] ; [ 4.29452055 28.70547945],0
v4,1,0.210836,1.565675,[287   6] ; [35  2],[285.8969697   7.1030303] ; [36.1030303  0.8969697],0
d2,1,0.252146,1.311375,[157 138] ; [16 21],[153.71987952 141.28012048] ; [19.28012048 17.71987952],0
p10,1,0.262548,1.255269,[256  36] ; [30  7],[253.83586626  38.16413374] ; [32.16413374  4.83586626],0
n2,1,0.269918,1.217162,[31 10] ; [10  1],[32.32692308  8.67307692] ; [8.67307692 2.32692308],0
u3,1,0.286161,1.137595,[49 22] ; [7 6],[47.33333333 23.66666667] ; [8.66666667 4.33333333],0
p5,1,0.288636,1.125974,[ 55 239] ; [ 4 31],[ 52.72340426 241.27659574] ; [ 6.27659574 28.72340426],0
r2,1,0.292733,1.107009,[284   7] ; [35  2],[283.0152439   7.9847561] ; [35.9847561  1.0152439],0
d4,1,0.318868,0.993582,[250  45] ; [29  8],[247.90662651  47.09337349] ; [31.09337349  5.90662651],0
d1,1,0.375718,0.784667,[197  98] ; [22 15],[194.59337349 100.40662651] ; [24.40662651 12.59337349],0
u1,1,0.379982,0.770759,[ 84 211] ; [ 8 29],[ 81.74698795 213.25301205] ; [10.25301205 26.74698795],0
a6,1,0.380547,0.768933,[233  61] ; [27 10],[230.93655589  63.06344411] ; [29.06344411  7.93655589],0
s3,1,0.460246,0.545295,[168 123] ; [19 18],[165.9054878 125.0945122] ; [21.0945122 15.9054878],0
r1,1,0.463577,0.537243,[243  49] ; [29  8],[241.41033435  50.58966565] ; [30.58966565  6.41033435],0
s2,1,0.528402,0.397463,[157 133] ; [18 19],[155.19877676 134.80122324] ; [19.80122324 17.19877676],0
n4,1,0.58835,0.292928,[242  53] ; [29  8],[240.79819277  54.20180723] ; [30.20180723  6.79819277],0
b4,1,0.710566,0.137712,[174 121] ; [23 14],[175.04518072 119.95481928] ; [21.95481928 15.04518072],0
a4,1,0.727878,0.121069,[144 150] ; [17 20],[143.00302115 150.99697885] ; [17.99697885 19.00302115],0
n6,1,0.730629,0.118534,[259  35] ; [31  5],[258.36363636  35.63636364] ; [31.63636364  4.36363636],0
b2,1,0.732041,0.117246,[ 70 112] ; [ 8 15],[ 69.24878049 112.75121951] ; [ 8.75121951 14.24878049],0
b3,1,0.732041,0.117246,[ 70 112] ; [ 8 15],[ 69.24878049 112.75121951] ; [ 8.75121951 14.24878049],0
b1,1,0.7346,0.11493,[119 176] ; [16 21],[119.95481928 175.04518072] ; [15.04518072 21.95481928],0
u2,1,0.751369,0.100384,[41 29] ; [7 6],[40.48192771 29.51807229] ; [7.51807229 5.48192771],0
n5,1,0.75206,0.099809,[231  62] ; [30  7],[231.73636364  61.26363636] ; [29.26363636  7.73636364],0
a5,1,0.752342,0.099573,[230  65] ; [28  9],[229.24698795  65.75301205] ; [28.75301205  8.24698795],0
u4,1,0.791992,0.069551,[  6 288] ; [ 1 36],[  6.21752266 287.78247734] ; [ 0.78247734 36.21752266],0
p12,1,0.806232,0.060167,[ 36 259] ; [ 4 33],[ 35.54216867 259.45783133] ; [ 4.45783133 32.54216867],0
s4,1,0.857894,0.032061,[ 45 245] ; [ 6 30],[ 45.36809816 244.63190184] ; [ 5.63190184 30.36809816],0
n1,1,0.872041,0.025942,[16 25] ; [4 7],[15.76923077 25.23076923] ; [4.23076923 6.76923077],0
v2,1,0.911215,0.012434,[180 106] ; [23 13],[180.30434783 105.69565217] ; [22.69565217 13.30434783],0
b5,1,0.915969,0.011133,[186 109] ; [23 14],[185.70783133 109.29216867] ; [23.29216867 13.70783133],0
n3,1,0.931225,0.007448,[34  7] ; [9 2],[33.90384615  7.09615385] ; [9.09615385 1.90384615],0
s1,1,0.99223,9.5e-05,[  8 285] ; [ 1 36],[  7.99090909 285.00909091] ; [ 1.00909091 35.99090909],0
