Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.2e-05,19.207263,[332  36] ; [35 16],[322.32935561  45.67064439] ; [44.67064439  6.32935561],1
s5,1,1.5e-05,18.713603,[191 167] ; [10 39],[176.8009828 181.1990172] ; [24.1990172 24.8009828],1
s7,1,0.000135,14.571122,[261  94] ; [23 26],[249.55445545 105.44554455] ; [34.44554455 14.55445545],1
s8,1,0.000509,12.080933,[245 125] ; [21 30],[233.77672209 136.22327791] ; [32.22327791 18.77672209],1
p9,1,0.001922,9.622117,[331  34] ; [38 12],[324.54216867  40.45783133] ; [44.45783133  5.54216867],0
p4,1,0.005151,7.825575,[251 118] ; [24 26],[242.18377088 126.81622912] ; [32.81622912 17.18377088],0
d5,1,0.007249,7.210155,[314  55] ; [35 15],[307.35322196  61.64677804] ; [41.64677804  8.35322196],0
d1,1,0.010665,6.520352,[250 122] ; [25 26],[241.84397163 130.15602837] ; [33.15602837 17.84397163],0
a2,1,0.012163,6.287022,[114 258] ; [ 7 44],[106.41134752 265.58865248] ; [14.58865248 36.41134752],0
n6,1,0.012622,6.221355,[327  41] ; [39 12],[321.45107399  46.54892601] ; [44.54892601  6.45107399],0
p5,1,0.014063,6.030182,[ 55 313] ; [ 1 47],[ 49.53846154 318.46153846] ; [ 6.46153846 41.53846154],0
a4,1,0.039376,4.244567,[188 183] ; [18 33],[181.1042654 189.8957346] ; [24.8957346 26.1042654],0
s4,1,0.045255,4.009128,[ 89 277] ; [ 6 45],[ 83.38129496 282.61870504] ; [11.61870504 39.38129496],0
p8,1,0.085892,2.949731,[201 165] ; [21 29],[195.31730769 170.68269231] ; [26.68269231 23.31730769],0
r1,1,0.107009,2.597844,[327  43] ; [41 10],[323.42042755  46.57957245] ; [44.57957245  6.42042755],0
d2,1,0.119438,2.424677,[202 167] ; [22 29],[196.8 172.2] ; [27.2 23.8],0
p1,1,0.121528,2.397511,[ 40 328] ; [ 2 49],[ 36.88782816 331.11217184] ; [ 5.11217184 45.88782816],0
d4,1,0.126438,2.335707,[324  44] ; [41 10],[320.57279236  47.42720764] ; [44.42720764  6.57279236],0
p6,1,0.143796,2.136863,[164 201] ; [17 33],[159.19277108 205.80722892] ; [21.80722892 28.19277108],0
b5,1,0.195177,1.678103,[232 140] ; [27 24],[227.77304965 144.22695035] ; [31.22695035 19.77304965],0
p3,1,0.200985,1.635202,[202 168] ; [22 27],[197.80429594 172.19570406] ; [26.19570406 22.80429594],0
a3,1,0.204,1.613504,[284  86] ; [35 16],[280.35629454  89.64370546] ; [38.64370546 12.35629454],0
d3,1,0.219905,1.504991,[267 102] ; [32 18],[263.31980907 105.68019093] ; [35.68019093 14.31980907],0
a5,1,0.26427,1.246252,[288  83] ; [36 15],[284.8436019  86.1563981] ; [39.1563981 11.8436019],0
a8,1,0.27572,1.188068,[ 50 289] ; [10 38],[ 52.55813953 286.44186047] ; [ 7.44186047 40.55813953],0
u1,1,0.282705,1.154042,[ 91 281] ; [ 9 42],[ 87.94326241 284.05673759] ; [12.05673759 38.94326241],0
s1,1,0.283755,1.149015,[ 20 346] ; [ 1 50],[ 18.43165468 347.56834532] ; [ 2.56834532 48.43165468],0
b2,1,0.342931,0.899444,[ 90 138] ; [15 16],[ 92.43243243 135.56756757] ; [12.56756757 18.43243243],0
b3,1,0.342931,0.899444,[ 90 138] ; [15 16],[ 92.43243243 135.56756757] ; [12.56756757 18.43243243],0
v1,1,0.386063,0.751306,[215 146] ; [26 23],[212.19756098 148.80243902] ; [28.80243902 20.19756098],0
a6,1,0.413624,0.668359,[245 123] ; [31 20],[242.40572792 125.59427208] ; [33.59427208 17.40572792],0
p12,1,0.416874,0.659111,[ 44 326] ; [ 4 46],[ 42.28571429 327.71428571] ; [ 5.71428571 44.28571429],0
v4,1,0.424425,0.638031,[369   3] ; [50  1],[368.4822695   3.5177305] ; [50.5177305  0.4822695],0
p11,1,0.44889,0.573453,[289  83] ; [42  9],[291.09219858  80.90780142] ; [39.90780142 11.09219858],0
u4,1,0.467108,0.528808,[ 15 357] ; [ 1 50],[ 14.07092199 357.92907801] ; [ 1.92907801 49.07092199],0
n5,1,0.473291,0.514282,[292  78] ; [38 13],[290.02375297  79.97624703] ; [39.97624703 11.02375297],0
