Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.339323,[37  2] ; [3 7],[31.83673469  7.16326531] ; [8.16326531 1.83673469],1
r2,1,0.000923,10.976033,[40  1] ; [5 3],[37.65306122  3.34693878] ; [7.34693878 0.65306122],1
v4,1,0.001996,9.553171,[39  2] ; [6 4],[36.17647059  4.82352941] ; [8.82352941 1.17647059],0
s6,1,0.008474,6.930434,[31  7] ; [4 6],[27.70833333 10.29166667] ; [7.29166667 2.70833333],0
n2,1,0.010049,6.62619,[12  3] ; [2 6],[9.13043478 5.86956522] ; [4.86956522 3.13043478],0
p9,1,0.017036,5.692632,[27 11] ; [3 7],[23.75 14.25] ; [6.25 3.75],0
b4,1,0.019931,5.417886,[25 16] ; [2 8],[21.70588235 19.29411765] ; [5.29411765 4.70588235],0
s8,1,0.034816,4.454174,[19 22] ; [1 9],[16.07843137 24.92156863] ; [3.92156863 6.07843137],0
s1,1,0.03714,4.343972,[ 1 39] ; [2 8],[ 2.4 37.6] ; [0.6 9.4],0
r1,1,0.04603,3.980488,[30 11] ; [4 6],[27.33333333 13.66666667] ; [6.66666667 3.33333333],0
v1,1,0.046792,3.952868,[18 23] ; [1 9],[15.2745098 25.7254902] ; [3.7254902 6.2745098],0
d5,1,0.050186,3.835227,[37  3] ; [7 3],[35.2  4.8] ; [8.8 1.2],0
b3,1,0.050924,3.810784,[ 3 15] ; [3 2],[ 4.69565217 13.30434783] ; [1.30434783 3.69565217],0
b2,1,0.050924,3.810784,[ 3 15] ; [3 2],[ 4.69565217 13.30434783] ; [1.30434783 3.69565217],0
p4,1,0.055878,3.655691,[22 19] ; [2 8],[19.29411765 21.70588235] ; [4.70588235 5.29411765],0
n3,1,0.056478,3.637908,[13  2] ; [4 4],[11.08695652  3.91304348] ; [5.91304348 2.08695652],0
p2,1,0.06825,3.324612,[29 12] ; [4 6],[26.52941176 14.47058824] ; [6.47058824 3.52941176],0
a6,1,0.105011,2.627744,[24 17] ; [3 7],[21.70588235 19.29411765] ; [5.29411765 4.70588235],0
p3,1,0.129125,2.302997,[19 22] ; [2 8],[16.88235294 24.11764706] ; [4.11764706 5.88235294],0
p8,1,0.156376,2.008929,[13 27] ; [1 9],[11.2 28.8] ; [2.8 7.2],0
p10,1,0.166511,1.914076,[25 14] ; [4 6],[23.08163265 15.91836735] ; [5.91836735 4.08163265],0
p7,1,0.20273,1.622596,[21 19] ; [3 7],[19.2 20.8] ; [4.8 5.2],0
a1,1,0.269403,1.219786,[ 1 40] ; [1 9],[ 1.60784314 39.39215686] ; [0.39215686 9.60784314],0
s2,1,0.277776,1.177938,[28 13] ; [5 5],[26.52941176 14.47058824] ; [6.47058824 3.52941176],0
s3,1,0.352513,0.864389,[27 14] ; [5 5],[25.7254902 15.2745098] ; [6.2745098 3.7254902],0
a3,1,0.387355,0.74723,[27 14] ; [8 2],[28.1372549 12.8627451] ; [6.8627451 3.1372549],0
v2,1,0.3998,0.708927,[20 21] ; [3 6],[18.86 22.14] ; [4.14 4.86],0
d2,1,0.423169,0.641498,[23 18] ; [7 3],[24.11764706 16.88235294] ; [5.88235294 4.11764706],0
n4,1,0.438526,0.600135,[19 22] ; [6 4],[20.09803922 20.90196078] ; [4.90196078 5.09803922],0
a7,1,0.440401,0.595238,[29 11] ; [6 4],[28. 12.] ; [7. 3.],0
d4,1,0.469683,0.522722,[33  8] ; [7 3],[32.15686275  8.84313725] ; [7.84313725 2.15686275],0
d3,1,0.49474,0.4662,[32  8] ; [7 3],[31.2  8.8] ; [7.8 2.2],0
b5,1,0.505587,0.44319,[24 17] ; [7 3],[24.92156863 16.07843137] ; [6.07843137 3.92156863],0
n6,1,0.511972,0.430035,[29 12] ; [6 4],[28.1372549 12.8627451] ; [6.8627451 3.1372549],0
b1,1,0.52455,0.404938,[20 21] ; [6 4],[20.90196078 20.09803922] ; [5.09803922 4.90196078],0
a2,1,0.58132,0.304105,[ 7 34] ; [1 9],[ 6.43137255 34.56862745] ; [1.56862745 8.43137255],0
u1,1,0.58132,0.304105,[ 7 34] ; [1 9],[ 6.43137255 34.56862745] ; [1.56862745 8.43137255],0
a4,1,0.617935,0.24878,[20 21] ; [4 6],[19.29411765 21.70588235] ; [4.70588235 5.29411765],0
v3,1,0.628656,0.233888,[11 29] ; [2 8],[10.4 29.6] ; [2.6 7.4],0
s7,1,0.654641,0.200099,[19 17] ; [4 5],[18.4 17.6] ; [4.6 4.4],0
u3,1,0.69627,0.152381,[9 5] ; [1 1],[8.75 5.25] ; [1.25 0.75],0
n5,1,0.728255,0.12072,[18 23] ; [5 5],[18.49019608 22.50980392] ; [4.50980392 5.49019608],0
a5,1,0.728362,0.120621,[27 14] ; [6 4],[26.52941176 14.47058824] ; [6.47058824 3.52941176],0
p6,1,0.765291,0.089127,[14 26] ; [3 7],[13.6 26.4] ; [3.4 6.6],0
d1,1,0.823216,0.049912,[23 18] ; [6 4],[23.31372549 17.68627451] ; [5.68627451 4.31372549],0
p1,1,0.846821,0.037317,[ 5 36] ; [1 9],[ 4.82352941 36.17647059] ; [1.17647059 8.82352941],0
u2,1,0.848936,0.036281,[6 8] ; [1 1],[6.125 7.875] ; [0.875 1.125],0
n1,1,0.930912,0.007516,[ 4 11] ; [2 6],[ 3.91304348 11.08695652] ; [2.08695652 5.91304348],0
