Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,29.333333,[21  4] ; [11 44],[10. 15.] ; [22. 33.],1
s2,1,0.002137,9.427986,[16  9] ; [16 41],[ 9.75609756 15.24390244] ; [22.24390244 34.75609756],0
s6,1,0.003188,8.696855,[17  7] ; [20 37],[10.96296296 13.03703704] ; [26.03703704 30.96296296],0
p6,1,0.01621,5.779967,[11 13] ; [11 45],[ 6.6 17.4] ; [15.4 40.6],0
s3,1,0.019627,5.444749,[16  8] ; [21 34],[11.24050633 12.75949367] ; [25.75949367 29.24050633],0
p4,1,0.033697,4.510034,[16  9] ; [22 35],[11.58536585 13.41463415] ; [26.41463415 30.58536585],0
n5,1,0.04777,3.918057,[20  4] ; [34 22],[16.2  7.8] ; [37.8 18.2],0
u3,1,0.09169,2.844444,[5 3] ; [ 7 17],[3. 5.] ; [ 9. 15.],0
b4,1,0.093883,2.806497,[11 14] ; [37 21],[14.45783133 10.54216867] ; [33.54216867 24.45783133],0
n4,1,0.098812,2.724612,[19  6] ; [33 25],[15.6626506  9.3373494] ; [36.3373494 21.6626506],0
v3,1,0.114794,2.486956,[ 9 16] ; [11 45],[ 6.17283951 18.82716049] ; [13.82716049 42.17283951],0
a5,1,0.114847,2.486221,[18  7] ; [31 27],[14.75903614 10.24096386] ; [34.24096386 23.75903614],0
n1,1,0.122056,2.390742,[6 5] ; [ 5 14],[4.03333333 6.96666667] ; [ 6.96666667 12.03333333],0
p8,1,0.126031,2.34072,[12 13] ; [17 39],[ 8.95061728 16.04938272] ; [20.04938272 35.95061728],0
v2,1,0.156789,2.004921,[13 12] ; [19 35],[10.12658228 14.87341772] ; [21.87341772 32.12658228],0
n6,1,0.170594,1.877717,[18  6] ; [33 23],[15.3  8.7] ; [35.7 20.3],0
a1,1,0.188021,1.733056,[ 1 24] ; [ 8 50],[ 2.71084337 22.28915663] ; [ 6.28915663 51.71084337],0
a7,1,0.219984,1.504478,[11 14] ; [34 24],[13.55421687 11.44578313] ; [31.44578313 26.55421687],0
d4,1,0.2395,1.383535,[20  5] ; [39 19],[17.77108434  7.22891566] ; [41.22891566 16.77108434],0
p11,1,0.2395,1.383535,[20  5] ; [39 19],[17.77108434  7.22891566] ; [41.22891566 16.77108434],0
r2,1,0.250784,1.318932,[11 10] ; [36 18],[13.16  7.84] ; [33.84 20.16],0
a4,1,0.255695,1.291915,[11 14] ; [18 40],[ 8.73493976 16.26506024] ; [20.26506024 37.73493976],0
b1,1,0.280126,1.166477,[11 14] ; [33 25],[13.25301205 11.74698795] ; [30.74698795 27.25301205],0
n2,1,0.282471,1.155161,[9 2] ; [12  7],[7.7 3.3] ; [13.3  5.7],0
p3,1,0.303847,1.057236,[11 14] ; [18 38],[ 8.95061728 16.04938272] ; [20.04938272 35.95061728],0
d2,1,0.328068,0.956507,[11 14] ; [19 39],[ 9.03614458 15.96385542] ; [20.96385542 37.03614458],0
p1,1,0.33023,0.947994,[ 1 24] ; [ 6 51],[ 2.13414634 22.86585366] ; [ 4.86585366 52.13414634],0
p7,1,0.372565,0.79509,[13 10] ; [25 30],[11.20512821 11.79487179] ; [26.79487179 28.20512821],0
s1,1,0.374384,0.789062,[ 2 23] ; [ 2 56],[ 1.20481928 23.79518072] ; [ 2.79518072 55.20481928],0
a3,1,0.387819,0.745768,[17  8] ; [33 24],[15.24390244  9.75609756] ; [34.75609756 22.24390244],0
v1,1,0.401748,0.703089,[12 11] ; [23 32],[10.32051282 12.67948718] ; [24.67948718 30.32051282],0
s5,1,0.408317,0.683695,[ 6 17] ; [10 46],[ 4.65822785 18.34177215] ; [11.34177215 44.65822785],0
d1,1,0.410883,0.676244,[11 14] ; [20 38],[ 9.3373494 15.6626506] ; [21.6626506 36.3373494],0
n3,1,0.447256,0.577597,[6 5] ; [13  6],[6.96666667 4.03333333] ; [12.03333333  6.96666667],0
d3,1,0.496177,0.463104,[12 13] ; [32 25],[13.41463415 11.58536585] ; [30.58536585 26.41463415],0
d5,1,0.563013,0.334514,[18  7] ; [38 20],[16.86746988  8.13253012] ; [39.13253012 18.86746988],0
p10,1,0.6003,0.274543,[20  4] ; [43 12],[19.13924051  4.86075949] ; [43.86075949 11.13924051],0
p5,1,0.671022,0.180409,[ 4 21] ; [ 7 49],[ 3.39506173 21.60493827] ; [ 7.60493827 48.39506173],0
r3,1,0.672427,0.178777,[18  7] ; [37 18],[17.1875  7.8125] ; [37.8125 17.1875],0
u2,1,0.680724,0.169312,[4 4] ; [10 14],[3.5 4.5] ; [10.5 13.5],0
v4,1,0.752798,0.099195,[17  6] ; [38 16],[16.42857143  6.57142857] ; [38.57142857 15.42857143],0
a6,1,0.755544,0.096931,[12 13] ; [30 28],[12.65060241 12.34939759] ; [29.34939759 28.65060241],0
b2,1,0.803606,0.061843,[ 7 15] ; [ 8 20],[ 6.6 15.4] ; [ 8.4 19.6],0
b3,1,0.803606,0.061843,[ 7 15] ; [ 8 20],[ 6.6 15.4] ; [ 8.4 19.6],0
p2,1,0.823118,0.049968,[20  5] ; [42 12],[19.62025316  5.37974684] ; [42.37974684 11.62025316],0
