Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4e-06,21.062486,[115  55] ; [23 43],[99.40677966 70.59322034] ; [38.59322034 27.40677966],1
b1,1,0.017597,5.635786,[ 59 114] ; [34 33],[ 67.0375 105.9625] ; [25.9625 41.0375],0
a5,1,0.017631,5.632487,[147  26] ; [48 19],[140.5625  32.4375] ; [54.4375 12.5625],0
s4,1,0.018671,5.532093,[ 26 146] ; [19 48],[ 32.38493724 139.61506276] ; [12.61506276 54.38493724],0
d2,1,0.028158,4.81834,[104  68] ; [30 37],[96.43514644 75.56485356] ; [37.56485356 29.43514644],0
d1,1,0.035896,4.402051,[118  55] ; [36 31],[111.00833333  61.99166667] ; [42.99166667 24.00833333],0
n1,1,0.0512,3.801724,[13 16] ; [12  4],[16.11111111 12.88888889] ; [8.88888889 7.11111111],0
a7,1,0.051402,3.795138,[128  45] ; [41 26],[121.82083333  51.17916667] ; [47.17916667 19.82083333],0
n5,1,0.052593,3.756804,[149  21] ; [52 15],[144.17721519  25.82278481] ; [56.82278481 10.17721519],0
d4,1,0.058546,3.578107,[152  20] ; [52 14],[147.42857143  24.57142857] ; [56.57142857  9.42857143],0
r3,1,0.060952,3.511298,[168   4] ; [62  5],[165.52301255   6.47698745] ; [64.47698745  2.52301255],0
a3,1,0.075823,3.152228,[147  25] ; [50 16],[142.3697479  29.6302521] ; [54.6302521 11.3697479],0
u1,1,0.095666,2.776341,[ 52 121] ; [13 54],[ 46.85416667 126.14583333] ; [18.14583333 48.85416667],0
n3,1,0.098376,2.731681,[20  9] ; [7 9],[17.4 11.6] ; [9.6 6.4],0
n6,1,0.119869,2.41903,[153  16] ; [55 11],[149.58297872  19.41702128] ; [58.41702128  7.58297872],0
b4,1,0.137893,2.201314,[106  67] ; [34 33],[100.91666667  72.08333333] ; [39.08333333 27.91666667],0
p2,1,0.151141,2.060694,[154  19] ; [55 12],[150.65416667  22.34583333] ; [58.34583333  8.65416667],0
a6,1,0.154552,2.026742,[121  50] ; [41 26],[116.39495798  54.60504202] ; [45.60504202 21.39495798],0
d5,1,0.171128,1.873033,[148  24] ; [52 14],[144.53781513  27.46218487] ; [55.46218487 10.53781513],0
b5,1,0.172872,1.857863,[112  61] ; [37 30],[107.40416667  65.59583333] ; [41.59583333 25.40416667],0
n4,1,0.178061,1.81373,[150  22] ; [53 13],[146.70588235  25.29411765] ; [56.29411765  9.70588235],0
p5,1,0.20541,1.603486,[ 30 143] ; [16 49],[ 33.43697479 139.56302521] ; [12.56302521 52.43697479],0
r4,1,0.206106,1.598568,[163  10] ; [60  7],[160.74583333  12.25416667] ; [62.25416667  4.74583333],0
v4,1,0.257446,1.282441,[166   5] ; [62  4],[164.50632911   6.49367089] ; [63.49367089  2.50632911],0
r2,1,0.271939,1.206939,[165   5] ; [63  4],[163.5443038   6.4556962] ; [64.4556962  2.5443038],0
p7,1,0.282597,1.154557,[127  39] ; [46 20],[123.78448276  42.21551724] ; [49.21551724 16.78448276],0
a2,1,0.290543,1.117102,[ 56 117] ; [17 50],[ 52.62083333 120.37916667] ; [20.37916667 46.62083333],0
u2,1,0.329453,0.951045,[19  7] ; [10  7],[17.53488372  8.46511628] ; [11.46511628  5.53488372],0
p3,1,0.342205,0.902153,[109  63] ; [38 29],[105.79079498  66.20920502] ; [41.20920502 25.79079498],0
p12,1,0.347574,0.882293,[ 23 149] ; [ 6 61],[ 20.87029289 151.12970711] ; [ 8.12970711 58.87029289],0
p11,1,0.349625,0.874817,[141  32] ; [51 16],[138.4  34.6] ; [53.6 13.4],0
p6,1,0.411354,0.674883,[92 77] ; [32 34],[89.17446809 79.82553191] ; [34.82553191 31.17446809],0
a8,1,0.464015,0.536193,[ 31 118] ; [10 51],[ 29.09047619 119.90952381] ; [11.90952381 49.09047619],0
s1,1,0.508599,0.436948,[  7 163] ; [ 4 61],[  7.95744681 162.04255319] ; [ 3.04255319 61.95744681],0
s2,1,0.530365,0.393692,[130  42] ; [48 19],[128.10041841  43.89958159] ; [49.89958159 17.10041841],0
s3,1,0.535735,0.383501,[122  48] ; [50 16],[123.89830508  46.10169492] ; [48.10169492 17.89830508],0
b3,1,0.541316,0.373106,[54 75] ; [23 26],[55.80337079 73.19662921] ; [21.19662921 27.80337079],0
b2,1,0.541316,0.373106,[54 75] ; [23 26],[55.80337079 73.19662921] ; [21.19662921 27.80337079],0
u4,1,0.568624,0.32499,[  8 165] ; [ 2 65],[  7.20833333 165.79166667] ; [ 2.79166667 64.20833333],0
a4,1,0.580132,0.306022,[89 83] ; [32 35],[87.07949791 84.92050209] ; [33.92050209 33.07949791],0
p4,1,0.616713,0.250514,[123  48] ; [46 21],[121.42436975  49.57563025] ; [47.57563025 19.42436975],0
s8,1,0.65952,0.194107,[129  41] ; [49 18],[127.67932489  42.32067511] ; [50.32067511 16.67932489],0
n2,1,0.674429,0.176465,[24  5] ; [14  2],[24.48888889  4.51111111] ; [13.51111111  2.48888889],0
s6,1,0.759769,0.093504,[146  23] ; [56 10],[145.26808511  23.73191489] ; [56.73191489  9.26808511],0
p1,1,0.795733,0.067015,[ 20 152] ; [ 7 60],[ 19.43096234 152.56903766] ; [ 7.56903766 59.43096234],0
p9,1,0.816845,0.053641,[154  17] ; [61  6],[154.47478992  16.52521008] ; [60.52521008  6.47478992],0
u3,1,0.858812,0.031644,[19  7] ; [12  5],[18.74418605  7.25581395] ; [12.25581395  4.74418605],0
r1,1,0.859244,0.031448,[147  25] ; [57  9],[147.42857143  24.57142857] ; [56.57142857  9.42857143],0
p10,1,0.865224,0.028808,[148  22] ; [58  8],[148.38983051  21.61016949] ; [57.61016949  8.38983051],0
d3,1,0.877831,0.02363,[130  42] ; [50 17],[129.53974895  42.46025105] ; [50.46025105 16.53974895],0
a1,1,0.911251,0.012423,[ 11 162] ; [ 4 63],[ 10.8125 162.1875] ; [ 4.1875 62.8125],0
p8,1,0.919402,0.010239,[104  64] ; [41 26],[103.65957447  64.34042553] ; [41.34042553 25.65957447],0
s5,1,0.96751,0.001659,[83 84] ; [32 32],[83.13852814 83.86147186] ; [31.86147186 32.13852814],0
