Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.009285,6.767164,[50  9] ; [12  9],[45.725 13.275] ; [16.275  4.725],0
v4,1,0.014037,6.03354,[56  3] ; [16  5],[53.1  5.9] ; [18.9  2.1],0
r3,1,0.031444,4.628571,[56  4] ; [16  5],[53.33333333  6.66666667] ; [18.66666667  2.33333333],0
b5,1,0.05178,3.782856,[42 19] ; [10 12],[38.21686747 22.78313253] ; [13.78313253  8.21686747],0
r1,1,0.067324,3.3471,[49 12] ; [12  8],[45.9382716 15.0617284] ; [15.0617284  4.9382716],0
n4,1,0.076185,3.144474,[51 10] ; [13  7],[48.19753086 12.80246914] ; [15.80246914  4.19753086],0
p2,1,0.081425,3.036221,[47 13] ; [13  9],[43.90243902 16.09756098] ; [16.09756098  5.90243902],0
a3,1,0.090842,2.859381,[39 22] ; [ 9 12],[35.70731707 25.29268293] ; [12.29268293  8.70731707],0
p9,1,0.133724,2.248732,[50 10] ; [15  7],[47.56097561 12.43902439] ; [17.43902439  4.56097561],0
u3,1,0.148571,2.086861,[14  8] ; [5 8],[11.94285714 10.05714286] ; [7.05714286 5.94285714],0
u2,1,0.17246,1.861428,[12 10] ; [4 9],[10.05714286 11.94285714] ; [5.94285714 7.05714286],0
d3,1,0.175043,1.839215,[18 43] ; [10 12],[20.57831325 40.42168675] ; [ 7.42168675 14.57831325],0
p3,1,0.181811,1.782759,[29 31] ; [ 7 15],[26.34146341 33.65853659] ; [ 9.65853659 12.34146341],0
a8,1,0.264852,1.243218,[ 6 49] ; [ 4 15],[ 7.43243243 47.56756757] ; [ 2.56756757 16.43243243],0
a6,1,0.272589,1.203674,[36 25] ; [10 12],[33.80722892 27.19277108] ; [12.19277108  9.80722892],0
n1,1,0.284117,1.14729,[8 5] ; [3 5],[6.80952381 6.19047619] ; [4.19047619 3.80952381],0
r4,1,0.287562,1.131003,[53  8] ; [17  5],[51.44578313  9.55421687] ; [18.55421687  3.44578313],0
b4,1,0.288796,1.125224,[33 28] ; [ 9 13],[30.86746988 30.13253012] ; [11.13253012 10.86746988],0
a7,1,0.302641,1.062521,[39 22] ; [16  5],[40.91463415 20.08536585] ; [14.08536585  6.91463415],0
a4,1,0.331459,0.943187,[18 42] ; [ 4 17],[16.2962963 43.7037037] ; [ 5.7037037 15.2962963],0
p6,1,0.333007,0.93717,[20 39] ; [ 5 17],[18.20987654 40.79012346] ; [ 6.79012346 15.20987654],0
s7,1,0.34192,0.903221,[23 34] ; [11 10],[24.84615385 32.15384615] ; [ 9.15384615 11.84615385],0
s2,1,0.365406,0.819227,[20 38] ; [10 12],[21.75 36.25] ; [ 8.25 13.75],0
b1,1,0.385586,0.752815,[24 37] ; [11 11],[25.72289157 35.27710843] ; [ 9.27710843 12.72289157],0
s5,1,0.393832,0.727078,[ 9 49] ; [ 5 16],[10.27848101 47.72151899] ; [ 3.72151899 17.27848101],0
s3,1,0.405524,0.691886,[27 31] ; [12  9],[28.63291139 29.36708861] ; [10.36708861 10.63291139],0
s4,1,0.409967,0.678896,[ 9 51] ; [ 5 17],[10.24390244 49.75609756] ; [ 3.75609756 18.24390244],0
p8,1,0.412099,0.672737,[27 31] ; [ 8 14],[25.375 32.625] ; [ 9.625 12.375],0
a1,1,0.446044,0.580684,[ 1 60] ; [ 1 21],[ 1.46987952 59.53012048] ; [ 0.53012048 21.46987952],0
s8,1,0.498417,0.458306,[24 36] ; [ 7 15],[22.68292683 37.31707317] ; [ 8.31707317 13.68292683],0
v2,1,0.51172,0.430549,[33 26] ; [10 11],[31.7125 27.2875] ; [11.2875  9.7125],0
p1,1,0.529372,0.395598,[10 50] ; [ 5 17],[10.97560976 49.02439024] ; [ 4.02439024 17.97560976],0
a5,1,0.587402,0.29442,[40 21] ; [13  9],[38.95180723 22.04819277] ; [14.04819277  7.95180723],0
n6,1,0.68666,0.162725,[49 12] ; [16  5],[48.35365854 12.64634146] ; [16.64634146  4.35365854],0
p5,1,0.740939,0.109303,[ 7 53] ; [ 2 20],[ 6.58536585 53.41463415] ; [ 2.41463415 19.58536585],0
d5,1,0.76431,0.089895,[30 31] ; [10 12],[29.39759036 31.60240964] ; [10.60240964 11.39759036],0
b3,1,0.764926,0.089412,[13 32] ; [4 8],[13.42105263 31.57894737] ; [3.57894737 8.42105263],0
b2,1,0.764926,0.089412,[13 32] ; [4 8],[13.42105263 31.57894737] ; [3.57894737 8.42105263],0
d1,1,0.784929,0.074475,[ 2 59] ; [ 1 21],[ 2.20481928 58.79518072] ; [ 0.79518072 21.20481928],0
a2,1,0.789522,0.071252,[ 7 54] ; [ 3 19],[ 7.34939759 53.65060241] ; [ 2.65060241 19.34939759],0
v3,1,0.815918,0.054195,[25 36] ; [ 8 13],[24.54878049 36.45121951] ; [ 8.45121951 12.54878049],0
s1,1,0.835652,0.043039,[ 5 54] ; [ 2 18],[ 5.2278481 53.7721519] ; [ 1.7721519 18.2278481],0
s6,1,0.837522,0.042051,[34 25] ; [11  9],[33.60759494 25.39240506] ; [11.39240506  8.60759494],0
d2,1,0.860959,0.030679,[15 46] ; [ 5 17],[14.69879518 46.30120482] ; [ 5.30120482 16.69879518],0
p4,1,0.863836,0.02941,[34 26] ; [12 10],[33.65853659 26.34146341] ; [12.34146341  9.65853659],0
p7,1,0.876226,0.024259,[32 26] ; [12  9],[32.30379747 25.69620253] ; [11.69620253  9.30379747],0
u1,1,0.944233,0.004893,[ 3 58] ; [ 1 21],[ 2.93975904 58.06024096] ; [ 1.06024096 20.93975904],0
n5,1,0.974504,0.001021,[49 12] ; [16  4],[48.95061728 12.04938272] ; [16.04938272  3.95061728],0
