Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,8e-06,20.048711,[54 22] ; [ 7 23],[43.73584906 32.26415094] ; [17.26415094 12.73584906],1
r2,1,0.002491,9.146907,[73  2] ; [24  6],[69.28571429  5.71428571] ; [27.71428571  2.28571429],0
r1,1,0.004077,8.249185,[65 11] ; [18 12],[59.50943396 16.49056604] ; [23.49056604  6.50943396],0
p11,1,0.00967,6.694737,[44 32] ; [ 9 21],[38. 38.] ; [15. 15.],0
r4,1,0.012378,6.25586,[63 13] ; [18 12],[58.0754717 17.9245283] ; [22.9245283  7.0754717],0
n6,1,0.013197,6.1425,[52 23] ; [13 17],[46.42857143 28.57142857] ; [18.57142857 11.42857143],0
s7,1,0.02656,4.919216,[26 44] ; [ 4 24],[21.42857143 48.57142857] ; [ 8.57142857 19.42857143],0
s8,1,0.026843,4.900884,[20 55] ; [ 2 27],[15.86538462 59.13461538] ; [ 6.13461538 22.86538462],0
p2,1,0.041439,4.157955,[47 29] ; [12 18],[42.30188679 33.69811321] ; [16.69811321 13.30188679],0
v3,1,0.042902,4.099254,[27 46] ; [ 5 25],[22.67961165 50.32038835] ; [ 9.32038835 20.67961165],0
a7,1,0.082693,3.011156,[54 22] ; [16 14],[50.18867925 25.81132075] ; [19.81132075 10.18867925],0
u1,1,0.142615,2.149517,[17 59] ; [ 3 27],[14.33962264 61.66037736] ; [ 5.66037736 24.33962264],0
u2,1,0.143606,2.138889,[11 11] ; [1 5],[ 9.42857143 12.57142857] ; [2.57142857 3.42857143],0
v4,1,0.144349,2.130969,[66  9] ; [23  7],[63.57142857 11.42857143] ; [25.42857143  4.57142857],0
p10,1,0.211437,1.561562,[21 53] ; [ 5 25],[18.5 55.5] ; [ 7.5 22.5],0
p4,1,0.2135,1.547531,[30 45] ; [16 14],[32.85714286 42.14285714] ; [13.14285714 16.85714286],0
s1,1,0.279825,1.167938,[ 5 69] ; [ 4 26],[ 6.40384615 67.59615385] ; [ 2.59615385 27.40384615],0
p1,1,0.295144,1.096005,[ 7 68] ; [ 1 29],[ 5.71428571 69.28571429] ; [ 2.28571429 27.71428571],0
u3,1,0.311405,1.024707,[13 10] ; [2 4],[11.89655172 11.10344828] ; [3.10344828 2.89655172],0
b3,1,0.319646,0.990396,[18 31] ; [ 4 13],[16.33333333 32.66666667] ; [ 5.66666667 11.33333333],0
b2,1,0.319646,0.990396,[18 31] ; [ 4 13],[16.33333333 32.66666667] ; [ 5.66666667 11.33333333],0
a3,1,0.328565,0.954545,[53 22] ; [24  6],[55. 20.] ; [22.  8.],0
v2,1,0.349575,0.875,[30 45] ; [15 15],[32.14285714 42.85714286] ; [12.85714286 17.14285714],0
p8,1,0.415805,0.662141,[25 51] ; [12 17],[26.78095238 49.21904762] ; [10.21904762 18.78095238],0
b5,1,0.424487,0.63786,[42 34] ; [14 16],[40.1509434 35.8490566] ; [15.8490566 14.1509434],0
n1,1,0.456845,0.553613,[12 14] ; [4 8],[10.94736842 15.05263158] ; [5.05263158 6.94736842],0
a2,1,0.475556,0.509038,[23 53] ; [ 7 23],[21.50943396 54.49056604] ; [ 8.49056604 21.50943396],0
s3,1,0.492378,0.471325,[36 40] ; [12 18],[34.41509434 41.58490566] ; [13.58490566 16.41509434],0
p7,1,0.498388,0.458368,[30 46] ; [14 16],[31.54716981 44.45283019] ; [12.45283019 17.54716981],0
p6,1,0.498647,0.457815,[12 63] ; [ 3 25],[10.9223301 64.0776699] ; [ 4.0776699 23.9223301],0
v1,1,0.524942,0.404174,[33 43] ; [11 19],[31.54716981 44.45283019] ; [12.45283019 17.54716981],0
s5,1,0.554322,0.349631,[14 60] ; [ 7 22],[15.08737864 58.91262136] ; [ 5.91262136 23.08737864],0
r3,1,0.603,0.270494,[64 12] ; [24  6],[63.09433962 12.90566038] ; [24.90566038  5.09433962],0
s6,1,0.605519,0.266752,[32 43] ; [14 15],[33.17307692 41.82692308] ; [12.82692308 16.17307692],0
