Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2e-05,18.226015,[ 1 23] ; [18 12],[ 8.44444444 15.55555556] ; [10.55555556 19.44444444],1
d5,1,0.002254,9.330166,[11 14] ; [25  5],[16.36363636  8.63636364] ; [19.63636364 10.36363636],0
n6,1,0.002682,9.012414,[ 7 18] ; [20  9],[12.5 12.5] ; [14.5 14.5],0
p10,1,0.002735,8.976623,[ 4 20] ; [17 13],[ 9.33333333 14.66666667] ; [11.66666667 18.33333333],0
n3,1,0.006745,7.339627,[ 3 10] ; [8 2],[6.2173913 6.7826087] ; [4.7826087 5.2173913],0
p11,1,0.011289,6.419234,[ 5 20] ; [16 14],[ 9.54545455 15.45454545] ; [11.45454545 18.54545455],0
d4,1,0.012286,6.269092,[13 12] ; [25  5],[17.27272727  7.72727273] ; [20.72727273  9.27272727],0
p9,1,0.013962,6.042954,[ 6 18] ; [17 12],[10.41509434 13.58490566] ; [12.58490566 16.41509434],0
a7,1,0.014463,5.980752,[ 6 19] ; [17 13],[10.45454545 14.54545455] ; [12.54545455 17.45454545],0
s6,1,0.016243,5.776424,[ 3 22] ; [12 17],[ 6.94444444 18.05555556] ; [ 8.05555556 20.94444444],0
a1,1,0.022028,5.243552,[ 6 19] ; [ 1 29],[ 3.18181818 21.81818182] ; [ 3.81818182 26.18181818],0
b5,1,0.023313,5.145004,[ 9 16] ; [20 10],[13.18181818 11.81818182] ; [15.81818182 14.18181818],0
b4,1,0.027552,4.855856,[13 12] ; [24  6],[16.81818182  8.18181818] ; [20.18181818  9.81818182],0
p1,1,0.069445,3.296099,[ 6 19] ; [ 2 28],[ 3.63636364 21.36363636] ; [ 4.36363636 25.63636364],0
s2,1,0.107532,2.590116,[ 3 22] ; [ 9 21],[ 5.45454545 19.54545455] ; [ 6.54545455 23.45454545],0
r2,1,0.109038,2.56811,[11 13] ; [19  9],[13.84615385 10.15384615] ; [16.15384615 11.84615385],0
p2,1,0.110029,2.553807,[ 6 19] ; [13 16],[ 8.7962963 16.2037037] ; [10.2037037 18.7962963],0
d1,1,0.112176,2.523297,[ 8 17] ; [16 14],[10.90909091 14.09090909] ; [13.09090909 16.90909091],0
s4,1,0.139584,2.18254,[ 5 20] ; [ 2 28],[ 3.18181818 21.81818182] ; [ 3.81818182 26.18181818],0
p4,1,0.141726,2.159117,[ 4 21] ; [10 20],[ 6.36363636 18.63636364] ; [ 7.63636364 22.36363636],0
u2,1,0.189526,1.721296,[ 1 11] ; [3 7],[2.18181818 9.81818182] ; [1.81818182 8.18181818],0
s7,1,0.200243,1.640604,[ 4 19] ; [ 9 18],[ 5.98 17.02] ; [ 7.02 19.98],0
n2,1,0.219064,1.51049,[5 8] ; [7 4],[6.5 6.5] ; [5.5 5.5],0
a8,1,0.230456,1.438043,[ 2 22] ; [ 6 24],[ 3.55555556 20.44444444] ; [ 4.44444444 25.55555556],0
d3,1,0.324035,0.972591,[10 15] ; [16 14],[11.81818182 13.18181818] ; [14.18181818 15.81818182],0
a3,1,0.349128,0.876623,[13 11] ; [20 10],[14.66666667  9.33333333] ; [18.33333333 11.66666667],0
a5,1,0.373496,0.792,[12 13] ; [18 12],[13.63636364 11.36363636] ; [16.36363636 13.63636364],0
r1,1,0.389001,0.742063,[ 8 17] ; [13 17],[ 9.54545455 15.45454545] ; [11.45454545 18.54545455],0
d2,1,0.393882,0.726923,[10 14] ; [16 14],[11.55555556 12.44444444] ; [14.44444444 15.55555556],0
s3,1,0.407472,0.686165,[ 7 17] ; [12 18],[ 8.44444444 15.55555556] ; [10.55555556 19.44444444],0
s1,1,0.447942,0.575855,[ 2 23] ; [ 1 29],[ 1.36363636 23.63636364] ; [ 1.63636364 28.36363636],0
n5,1,0.495197,0.465215,[18  7] ; [19 11],[16.81818182  8.18181818] ; [20.18181818  9.81818182],0
a6,1,0.521503,0.41092,[13 12] ; [13 17],[11.81818182 13.18181818] ; [14.18181818 15.81818182],0
s5,1,0.552114,0.353544,[ 3 22] ; [ 5 23],[ 3.77358491 21.22641509] ; [ 4.22641509 23.77358491],0
p7,1,0.562278,0.335775,[ 5 20] ; [ 8 22],[ 5.90909091 19.09090909] ; [ 7.09090909 22.90909091],0
b1,1,0.58042,0.305556,[16  9] ; [17 13],[15. 10.] ; [18. 12.],0
a2,1,0.624988,0.238918,[ 3 22] ; [ 5 25],[ 3.63636364 21.36363636] ; [ 4.36363636 25.63636364],0
v3,1,0.658225,0.195687,[ 4 21] ; [ 6 23],[ 4.62962963 20.37037037] ; [ 5.37037037 23.62962963],0
p5,1,0.664558,0.188034,[ 1 24] ; [ 2 28],[ 1.36363636 23.63636364] ; [ 1.63636364 28.36363636],0
n1,1,0.682046,0.167832,[6 7] ; [6 5],[6.5 6.5] ; [5.5 5.5],0
p3,1,0.720612,0.127907,[ 6 19] ; [ 6 24],[ 5.45454545 19.54545455] ; [ 6.54545455 23.45454545],0
v1,1,0.76429,0.089911,[ 6 19] ; [ 8 21],[ 6.48148148 18.51851852] ; [ 7.51851852 21.48148148],0
n4,1,0.821154,0.051103,[19  6] ; [22  8],[18.63636364  6.36363636] ; [22.36363636  7.63636364],0
a4,1,0.901427,0.015341,[10 14] ; [12 18],[ 9.77777778 14.22222222] ; [12.22222222 17.77777778],0
b3,1,0.904587,0.014368,[ 7 12] ; [ 7 13],[ 6.82051282 12.17948718] ; [ 7.17948718 12.82051282],0
b2,1,0.904587,0.014368,[ 7 12] ; [ 7 13],[ 6.82051282 12.17948718] ; [ 7.17948718 12.82051282],0
