Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,34.490991,[245  15] ; [54 23],[230.68249258  29.31750742] ; [68.31750742  8.68249258],1
p11,1,0.0,33.268091,[206  54] ; [35 42],[185.9347181  74.0652819] ; [55.0652819 21.9347181],1
p10,1,0.0,30.248955,[196  61] ; [31 42],[176.78484848  80.21515152] ; [50.21515152 22.78484848],1
n5,1,0.0,26.430524,[191  68] ; [32 44],[172.40895522  86.59104478] ; [50.59104478 25.40895522],1
r4,1,1e-06,23.559612,[217  43] ; [44 33],[201.36498516  58.63501484] ; [59.63501484 17.36498516],1
r3,1,1e-06,23.230341,[236  22] ; [54 23],[223.34328358  34.65671642] ; [66.65671642 10.34328358],1
p9,1,1.8e-05,18.401072,[199  56] ; [39 35],[184.46808511  70.53191489] ; [53.53191489 20.46808511],1
p2,1,0.000199,13.838961,[203  56] ; [42 32],[190.55555556  68.44444444] ; [54.44444444 19.55555556],1
b1,1,0.001318,10.317528,[ 89 171] ; [42 35],[101.06824926 158.93175074] ; [29.93175074 47.06824926],0
s6,1,0.001424,10.17403,[100 155] ; [15 62],[ 88.32831325 166.67168675] ; [26.67168675 50.32831325],0
n4,1,0.001675,9.875475,[185  75] ; [40 37],[173.59050445  86.40949555] ; [51.40949555 25.59050445],0
d4,1,0.00267,9.020223,[205  54] ; [48 29],[195.02083333  63.97916667] ; [57.97916667 19.02083333],0
p4,1,0.002831,8.912994,[133 125] ; [24 51],[121.63963964 136.36036036] ; [35.36036036 39.63963964],0
p7,1,0.005319,7.767675,[139 117] ; [27 48],[128.38670695 127.61329305] ; [37.61329305 37.38670695],0
d3,1,0.009501,6.726061,[175  84] ; [39 37],[165.45074627  93.54925373] ; [48.54925373 27.45074627],0
r2,1,0.012097,6.296641,[230  26] ; [60 16],[223.61445783  32.38554217] ; [66.38554217  9.61445783],0
p3,1,0.024855,5.033975,[106 153] ; [20 55],[ 97.70658683 161.29341317] ; [28.29341317 46.70658683],0
n2,1,0.026232,4.940691,[49 18] ; [15 15],[44.20618557 22.79381443] ; [19.79381443 10.20618557],0
p8,1,0.027531,4.857208,[124 133] ; [25 49],[115.68882175 141.31117825] ; [33.31117825 40.68882175],0
s5,1,0.033895,4.499983,[ 51 205] ; [ 7 68],[ 44.85800604 211.14199396] ; [13.14199396 61.85800604],0
d1,1,0.045658,3.994185,[135 125] ; [30 47],[127.29970326 132.70029674] ; [37.70029674 39.29970326],0
p6,1,0.05843,3.581401,[ 71 186] ; [12 60],[ 64.83586626 192.16413374] ; [18.16413374 53.83586626],0
p5,1,0.060308,3.528884,[ 24 235] ; [ 2 73],[ 20.16167665 238.83832335] ; [ 5.83832335 69.16167665],0
u1,1,0.089157,2.889522,[ 31 229] ; [ 4 73],[ 27.00296736 232.99703264] ; [ 7.99703264 69.00296736],0
v1,1,0.103624,2.648864,[120 136] ; [28 49],[113.77777778 142.22222222] ; [34.22222222 42.77777778],0
a5,1,0.133429,2.252151,[176  84] ; [45 32],[170.50445104  89.49554896] ; [50.49554896 26.50445104],0
r1,1,0.163899,1.937879,[180  79] ; [47 30],[174.97916667  84.02083333] ; [52.02083333 24.97916667],0
a8,1,0.178464,1.810368,[ 25 207] ; [ 4 69],[ 22.05901639 209.94098361] ; [ 6.94098361 66.05901639],0
s1,1,0.206627,1.594903,[  4 254] ; [ 3 74],[  5.39104478 252.60895522] ; [ 1.60895522 75.39104478],0
a6,1,0.233972,1.416554,[184  76] ; [49 28],[179.76261128  80.23738872] ; [53.23738872 23.76261128],0
v3,1,0.249508,1.326056,[ 78 177] ; [17 55],[ 74.08256881 180.91743119] ; [20.91743119 51.08256881],0
s7,1,0.296265,1.090929,[ 41 207] ; [ 8 62],[ 38.21383648 209.78616352] ; [10.78616352 59.21383648],0
s4,1,0.330603,0.946535,[ 30 226] ; [ 6 71],[ 27.67567568 228.32432432] ; [ 8.32432432 68.67567568],0
u3,1,0.337373,0.920389,[49 51] ; [10 16],[46.82539683 53.17460317] ; [12.17460317 13.82539683],0
a2,1,0.342667,0.900426,[ 45 215] ; [17 60],[ 47.83382789 212.16617211] ; [14.16617211 62.83382789],0
a3,1,0.365018,0.820554,[159 100] ; [51 25],[162.35820896  96.64179104] ; [47.64179104 28.35820896],0
d5,1,0.375427,0.785623,[201  58] ; [56 21],[198.10416667  60.89583333] ; [58.89583333 18.10416667],0
n1,1,0.440138,0.595923,[19 47] ; [11 19],[20.625 45.375] ; [ 9.375 20.625],0
v2,1,0.458014,0.550743,[129 125] ; [33 39],[126.2208589 127.7791411] ; [35.7791411 36.2208589],0
s2,1,0.48393,0.489994,[ 27 230] ; [ 6 71],[ 25.39221557 231.60778443] ; [ 7.60778443 69.39221557],0
b5,1,0.488218,0.480451,[160 100] ; [44 33],[157.38872404 102.61127596] ; [46.61127596 30.38872404],0
a1,1,0.508349,0.437464,[ 12 248] ; [ 5 72],[ 13.115727 246.884273] ; [ 3.884273 73.115727],0
a7,1,0.512855,0.428237,[181  77] ; [51 26],[178.67462687  79.32537313] ; [53.32537313 23.67462687],0
b3,1,0.579549,0.306964,[48 97] ; [12 30],[46.52406417 98.47593583] ; [13.47593583 28.52406417],0
b2,1,0.579549,0.306964,[48 97] ; [12 30],[46.52406417 98.47593583] ; [13.47593583 28.52406417],0
p1,1,0.584976,0.298259,[ 19 241] ; [ 7 69],[ 20.11904762 239.88095238] ; [ 5.88095238 70.11904762],0
u4,1,0.663951,0.18876,[  2 258] ; [ 1 76],[  2.31454006 257.68545994] ; [ 0.68545994 76.31454006],0
u2,1,0.70488,0.143445,[46 53] ; [11 15],[45.144 53.856] ; [11.856 14.144],0
a4,1,0.732049,0.117239,[102 157] ; [32 45],[103.29166667 155.70833333] ; [30.70833333 46.29166667],0
n3,1,0.875107,0.024704,[45 22] ; [19 10],[44.66666667 22.33333333] ; [19.33333333  9.66666667],0
d2,1,0.879845,0.022851,[101 156] ; [31 46],[101.56886228 155.43113772] ; [30.43113772 46.56886228],0
b4,1,0.94387,0.004957,[143 117] ; [42 35],[142.72997033 117.27002967] ; [42.27002967 34.72997033],0
