Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,34.222222,[16 28] ; [59  7],[30. 14.] ; [45. 21.],1
s3,1,5e-06,21.028311,[21 23] ; [58  8],[31.6 12.4] ; [47.4 18.6],1
s8,1,3.2e-05,17.302137,[13 33] ; [45 21],[23.82142857 22.17857143] ; [34.17857143 31.82142857],1
a3,1,0.000324,12.924302,[22 24] ; [53 13],[30.80357143 15.19642857] ; [44.19642857 21.80357143],1
s5,1,0.001412,10.190212,[13 28] ; [39 22],[20.90196078 20.09803922] ; [31.09803922 29.90196078],0
b1,1,0.008526,6.919526,[11 35] ; [32 34],[17.66071429 28.33928571] ; [25.33928571 40.66071429],0
p7,1,0.011303,6.417045,[25 21] ; [48 14],[31.09259259 14.90740741] ; [41.90740741 20.09259259],0
p8,1,0.020689,5.352815,[21 24] ; [44 20],[26.83486239 18.16513761] ; [38.16513761 25.83486239],0
p6,1,0.027138,4.881994,[14 32] ; [33 31],[19.65454545 26.34545455] ; [27.34545455 36.65454545],0
s6,1,0.028466,4.799612,[33 11] ; [58  6],[37.07407407  6.92592593] ; [53.92592593 10.07407407],0
p2,1,0.031498,4.625607,[35 11] ; [60  6],[39.01785714  6.98214286] ; [55.98214286 10.01785714],0
v3,1,0.03388,4.500772,[ 7 36] ; [23 43],[11.83486239 31.16513761] ; [18.16513761 47.83486239],0
r1,1,0.042439,4.117596,[29 17] ; [53 13],[33.67857143 12.32142857] ; [48.32142857 17.67857143],0
p12,1,0.056763,3.62953,[ 1 45] ; [ 8 58],[ 3.69642857 42.30357143] ; [ 5.30357143 60.69642857],0
p11,1,0.096752,2.758285,[34 12] ; [57  9],[37.375  8.625] ; [53.625 12.375],0
u1,1,0.106973,2.598385,[ 5 41] ; [15 51],[ 8.21428571 37.78571429] ; [11.78571429 54.21428571],0
d2,1,0.110244,2.550725,[16 30] ; [33 33],[20.125 25.875] ; [28.875 37.125],0
r2,1,0.115409,2.47855,[39  7] ; [61  4],[41.44144144  4.55855856] ; [58.55855856  6.44144144],0
p9,1,0.116665,2.461536,[37  9] ; [59  6],[39.78378378  6.21621622] ; [56.21621622  8.78378378],0
b4,1,0.127995,2.316652,[29 17] ; [32 34],[25.05357143 20.94642857] ; [35.94642857 30.05357143],0
s1,1,0.13873,2.191994,[ 1 44] ; [ 6 59],[ 2.86363636 42.13636364] ; [ 4.13636364 60.86363636],0
a7,1,0.143387,2.141232,[34 12] ; [40 26],[30.39285714 15.60714286] ; [43.60714286 22.39285714],0
d1,1,0.160633,1.968258,[21 25] ; [39 27],[24.64285714 21.35714286] ; [35.35714286 30.64285714],0
p4,1,0.168708,1.894385,[27 19] ; [47 19],[30.39285714 15.60714286] ; [43.60714286 22.39285714],0
n4,1,0.224698,1.474112,[34 12] ; [55 11],[36.55357143  9.44642857] ; [52.44642857 13.55357143],0
p5,1,0.231063,1.434308,[ 3 43] ; [ 9 57],[ 4.92857143 41.07142857] ; [ 7.07142857 58.92857143],0
a2,1,0.244753,1.353005,[ 7 39] ; [16 50],[ 9.44642857 36.55357143] ; [13.55357143 52.44642857],0
u3,1,0.248286,1.332921,[10 14] ; [8 5],[11.67567568 12.32432432] ; [6.32432432 6.67567568],0
a6,1,0.249431,1.326485,[25 21] ; [43 23],[27.92857143 18.07142857] ; [40.07142857 25.92857143],0
a5,1,0.276709,1.183184,[29 17] ; [48 18],[31.625 14.375] ; [45.375 20.625],0
p3,1,0.308762,1.035965,[22 24] ; [38 28],[24.64285714 21.35714286] ; [35.35714286 30.64285714],0
n2,1,0.311405,1.024707,[10  4] ; [13  2],[11.10344828  2.89655172] ; [11.89655172  3.10344828],0
p1,1,0.337625,0.919428,[ 2 44] ; [ 6 60],[ 3.28571429 42.71428571] ; [ 4.71428571 61.28571429],0
u2,1,0.337998,0.918012,[ 9 15] ; [7 6],[10.37837838 13.62162162] ; [5.62162162 7.37837838],0
n3,1,0.344085,0.895153,[9 5] ; [12  3],[10.13793103  3.86206897] ; [10.86206897  4.13793103],0
p10,1,0.390831,0.736356,[36 10] ; [55 10],[37.71171171  8.28828829] ; [53.28828829 11.71171171],0
a8,1,0.503647,0.447243,[ 2 41] ; [ 5 58],[ 2.83962264 40.16037736] ; [ 4.16037736 58.83962264],0
a4,1,0.505828,0.442688,[18 28] ; [30 36],[19.71428571 26.28571429] ; [28.28571429 37.71428571],0
a1,1,0.505828,0.442688,[ 1 45] ; [ 3 63],[ 1.64285714 44.35714286] ; [ 2.35714286 63.64285714],0
v1,1,0.56507,0.331002,[25 20] ; [33 33],[23.51351351 21.48648649] ; [34.48648649 31.51351351],0
r4,1,0.585857,0.296861,[38  8] ; [57  9],[39.01785714  6.98214286] ; [55.98214286 10.01785714],0
v2,1,0.596034,0.281019,[22 23] ; [28 36],[20.64220183 24.35779817] ; [29.35779817 34.64220183],0
n1,1,0.598702,0.276958,[5 9] ; [ 4 11],[4.34482759 9.65517241] ; [ 4.65517241 10.34482759],0
v4,1,0.647698,0.208815,[43  3] ; [63  3],[43.53571429  2.46428571] ; [62.46428571  3.53571429],0
b2,1,0.687795,0.161483,[ 5 17] ; [ 7 31],[ 4.4 17.6] ; [ 7.6 30.4],0
b3,1,0.687795,0.161483,[ 5 17] ; [ 7 31],[ 4.4 17.6] ; [ 7.6 30.4],0
n6,1,0.726538,0.122314,[40  5] ; [60  6],[40.54054054  4.45945946] ; [59.45945946  6.54054054],0
b5,1,0.727402,0.121511,[28 18] ; [38 28],[27.10714286 18.89285714] ; [38.89285714 27.10714286],0
r3,1,0.775905,0.081031,[41  5] ; [59  6],[41.44144144  4.55855856] ; [58.55855856  6.44144144],0
d4,1,0.883743,0.021382,[35 11] ; [51 15],[35.32142857 10.67857143] ; [50.67857143 15.32142857],0
d5,1,0.883743,0.021382,[35 11] ; [51 15],[35.32142857 10.67857143] ; [50.67857143 15.32142857],0
d3,1,0.988097,0.000223,[32 14] ; [46 20],[32.03571429 13.96428571] ; [45.96428571 20.03571429],0
