Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,46.57753,[10 96] ; [21 10],[23.98540146 82.01459854] ; [ 7.01459854 23.98540146],1
s2,1,0.0,30.25116,[27 82] ; [25  7],[40.19858156 68.80141844] ; [11.80141844 20.19858156],1
s3,1,4e-06,21.426757,[35 74] ; [25  7],[46.38297872 62.61702128] ; [13.61702128 18.38297872],1
s6,1,5e-06,20.694748,[41 68] ; [26  5],[52.16428571 56.83571429] ; [14.83571429 16.16428571],1
s5,1,0.001397,10.209884,[20 89] ; [14 16],[26.6618705 82.3381295] ; [ 7.3381295 22.6618705],0
p10,1,0.002149,9.417639,[61 46] ; [27  4],[68.23188406 38.76811594] ; [19.76811594 11.23188406],0
n1,1,0.003843,8.356689,[ 7 39] ; [7 6],[10.91525424 35.08474576] ; [3.08474576 9.91525424],0
r4,1,0.004769,7.964835,[76 34] ; [30  2],[82.11267606 27.88732394] ; [23.88732394  8.11267606],0
p9,1,0.010669,6.51966,[71 35] ; [28  3],[76.59854015 29.40145985] ; [22.40145985  8.59854015],0
u3,1,0.01081,6.496342,[23 28] ; [11  2],[27.09375 23.90625] ; [6.90625 6.09375],0
p8,1,0.032113,4.59243,[29 79] ; [15 17],[33.94285714 74.05714286] ; [10.05714286 21.94285714],0
b2,1,0.040026,4.216764,[11 37] ; [8 8],[14.25 33.75] ; [ 4.75 11.25],0
b3,1,0.040026,4.216764,[11 37] ; [8 8],[14.25 33.75] ; [ 4.75 11.25],0
r1,1,0.059973,3.538144,[66 44] ; [25  7],[70.49295775 39.50704225] ; [20.50704225 11.49295775],0
d5,1,0.06921,3.301656,[70 39] ; [26  6],[74.21276596 34.78723404] ; [21.78723404 10.21276596],0
v1,1,0.073524,3.202531,[37 72] ; [16 15],[41.26428571 67.73571429] ; [11.73571429 19.26428571],0
r3,1,0.0776,3.114455,[93 16] ; [31  1],[95.85815603 13.14184397] ; [28.14184397  3.85815603],0
a7,1,0.083702,2.991513,[71 38] ; [26  6],[74.9858156 34.0141844] ; [22.0141844  9.9858156],0
s4,1,0.090162,2.871483,[22 88] ; [11 21],[25.56338028 84.43661972] ; [ 7.43661972 24.56338028],0
v4,1,0.090248,2.869945,[92 15] ; [31  1],[94.68345324 12.31654676] ; [28.31654676  3.68345324],0
v3,1,0.090718,2.861594,[21 86] ; [10 19],[24.38970588 82.61029412] ; [ 6.61029412 22.38970588],0
p2,1,0.117849,2.445671,[69 40] ; [25  7],[72.66666667 36.33333333] ; [21.33333333 10.66666667],0
p3,1,0.130312,2.288785,[15 94] ; [ 8 24],[17.78014184 91.21985816] ; [ 5.21985816 26.78014184],0
r2,1,0.173391,1.85338,[92 17] ; [30  2],[94.31205674 14.68794326] ; [27.68794326  4.31205674],0
a5,1,0.176573,1.82623,[47 63] ; [18 14],[50.35211268 59.64788732] ; [14.64788732 17.35211268],0
u2,1,0.178735,1.808112,[23 28] ; [8 4],[25.0952381 25.9047619] ; [5.9047619 6.0952381],0
n2,1,0.23013,1.440056,[27 19] ; [10  3],[28.84745763 17.15254237] ; [8.15254237 4.84745763],0
a6,1,0.281639,1.159165,[64 46] ; [22 10],[66.61971831 43.38028169] ; [19.38028169 12.61971831],0
p6,1,0.283142,1.151946,[12 93] ; [ 6 26],[13.79562044 91.20437956] ; [ 4.20437956 27.79562044],0
b4,1,0.313485,1.015935,[66 44] ; [16 16],[63.52112676 46.47887324] ; [18.47887324 13.52112676],0
p5,1,0.339237,0.913314,[  1 108] ; [ 1 30],[  1.55714286 107.44285714] ; [ 0.44285714 30.55714286],0
v2,1,0.369164,0.806476,[43 63] ; [14 14],[45.08955224 60.91044776] ; [11.91044776 16.08955224],0
p11,1,0.369506,0.805324,[66 44] ; [22 10],[68.16901408 41.83098592] ; [19.83098592 12.16901408],0
d3,1,0.405954,0.690618,[62 46] ; [21 11],[64.02857143 43.97142857] ; [18.97142857 13.02857143],0
n6,1,0.448724,0.573873,[70 40] ; [18 14],[68.16901408 41.83098592] ; [19.83098592 12.16901408],0
p1,1,0.524906,0.404243,[  4 105] ; [ 2 30],[  4.63829787 104.36170213] ; [ 1.36170213 30.63829787],0
d1,1,0.547623,0.361592,[45 65] ; [15 17],[46.47887324 63.52112676] ; [13.52112676 18.47887324],0
u1,1,0.557881,0.343387,[  7 103] ; [ 3 29],[  7.74647887 102.25352113] ; [ 2.25352113 29.74647887],0
b5,1,0.570534,0.321789,[68 42] ; [18 14],[66.61971831 43.38028169] ; [19.38028169 12.61971831],0
b1,1,0.594,0.28414,[40 70] ; [10 22],[38.73239437 71.26760563] ; [11.26760563 20.73239437],0
a3,1,0.599671,0.275492,[59 50] ; [19 13],[60.29787234 48.70212766] ; [17.70212766 14.29787234],0
a4,1,0.604063,0.268911,[26 84] ; [ 9 23],[27.11267606 82.88732394] ; [ 7.88732394 24.11267606],0
d2,1,0.615429,0.252345,[36 74] ; [12 20],[37.18309859 72.81690141] ; [10.81690141 21.18309859],0
a2,1,0.68551,0.16399,[11 99] ; [ 4 28],[11.61971831 98.38028169] ; [ 3.38028169 28.61971831],0
p7,1,0.731974,0.117307,[42 65] ; [10 18],[41.21481481 65.78518519] ; [10.78518519 17.21481481],0
d4,1,0.736362,0.11335,[82 27] ; [25  7],[82.71631206 26.28368794] ; [24.28368794  7.71631206],0
n5,1,0.875113,0.024701,[36 74] ; [10 22],[35.63380282 74.36619718] ; [10.36619718 21.63380282],0
a1,1,0.890135,0.019081,[  4 106] ; [ 1 31],[  3.87323944 106.12676056] ; [ 1.12676056 30.87323944],0
a8,1,0.903058,0.014835,[  4 101] ; [ 1 29],[  3.88888889 101.11111111] ; [ 1.11111111 28.88888889],0
n3,1,0.920439,0.009976,[27 18] ; [8 5],[27.15517241 17.84482759] ; [7.84482759 5.15517241],0
