Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,41.331709,[35  4] ; [19 54],[18.80357143 20.19642857] ; [35.19642857 37.80357143],1
d5,1,0.0,37.341969,[38  1] ; [28 46],[22.77876106 16.22123894] ; [43.22123894 30.77876106],1
d2,1,0.0,31.28282,[27 11] ; [13 61],[13.57142857 24.42857143] ; [26.42857143 47.57142857],1
d4,1,0.0,29.288922,[38  1] ; [34 40],[24.84955752 14.15044248] ; [47.15044248 26.84955752],1
a5,1,7.8e-05,15.617432,[30  9] ; [28 46],[20.01769912 18.98230088] ; [37.98230088 36.01769912],1
a4,1,0.000468,12.238459,[20 18] ; [15 59],[11.875 26.125] ; [23.125 50.875],1
a3,1,0.002415,9.203706,[28 11] ; [30 42],[20.37837838 18.62162162] ; [37.62162162 34.37837838],0
r2,1,0.010417,6.562161,[25 10] ; [31 38],[18.84615385 16.15384615] ; [37.15384615 31.84615385],0
p7,1,0.011161,6.439449,[ 9 29] ; [35 37],[15.2 22.8] ; [28.8 43.2],0
a2,1,0.012461,6.24403,[ 6 33] ; [ 2 72],[ 2.76106195 36.23893805] ; [ 5.23893805 68.76106195],0
s5,1,0.027762,4.842812,[11 26] ; [ 9 63],[ 6.78899083 30.21100917] ; [13.21100917 58.78899083],0
a6,1,0.033635,4.513169,[24 15] ; [30 44],[18.63716814 20.36283186] ; [35.36283186 38.63716814],0
p5,1,0.036517,4.372813,[ 6 33] ; [ 3 70],[ 3.13392857 35.86607143] ; [ 5.86607143 67.13392857],0
p2,1,0.03823,4.294749,[18 20] ; [50 24],[23.07142857 14.92857143] ; [44.92857143 29.07142857],0
s2,1,0.044809,4.025813,[16 23] ; [17 57],[11.38938053 27.61061947] ; [21.61061947 52.38938053],0
a7,1,0.046983,3.946004,[24 15] ; [31 43],[18.98230088 20.01769912] ; [36.01769912 37.98230088],0
p8,1,0.060011,3.537079,[ 7 31] ; [26 47],[11.2972973 26.7027027] ; [21.7027027 51.2972973],0
u1,1,0.084111,2.983622,[ 5 34] ; [ 3 71],[ 2.76106195 36.23893805] ; [ 5.23893805 68.76106195],0
v2,1,0.092407,2.831941,[16 22] ; [19 53],[12.09090909 25.90909091] ; [22.90909091 49.09090909],0
s8,1,0.108309,2.578726,[10 29] ; [10 64],[ 6.90265487 32.09734513] ; [13.09734513 60.90265487],0
s7,1,0.114237,2.494599,[15 22] ; [18 52],[11.41121495 25.58878505] ; [21.58878505 48.41121495],0
n3,1,0.14989,2.073365,[ 7 12] ; [19 14],[9.5 9.5] ; [16.5 16.5],0
p1,1,0.1935,1.690769,[ 4 35] ; [ 3 71],[ 2.4159292 36.5840708] ; [ 4.5840708 69.4159292],0
