Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,7e-06,20.324128,[24  5] ; [ 5 19],[15.86792453 13.13207547] ; [13.13207547 10.86792453],1
d1,1,1.2e-05,19.144508,[18 11] ; [ 1 23],[10.39622642 18.60377358] ; [ 8.60377358 15.39622642],1
u3,1,0.004975,7.888595,[6 4] ; [ 1 13],[2.91666667 7.08333333] ; [4.08333333 9.91666667],0
a7,1,0.005452,7.723137,[17 12] ; [ 5 19],[12.03773585 16.96226415] ; [ 9.96226415 14.03773585],0
d3,1,0.013962,6.042954,[17 12] ; [ 6 18],[12.58490566 16.41509434] ; [10.41509434 13.58490566],0
a5,1,0.019649,5.44284,[19 10] ; [ 8 16],[14.77358491 14.22641509] ; [12.22641509 11.77358491],0
a4,1,0.02256,5.202081,[13 15] ; [ 4 20],[ 9.15384615 18.84615385] ; [ 7.84615385 16.15384615],0
v2,1,0.032541,4.569749,[ 8 21] ; [ 1 21],[ 5.11764706 23.88235294] ; [ 3.88235294 18.11764706],0
d2,1,0.04883,3.881199,[17 11] ; [ 8 16],[13.46153846 14.53846154] ; [11.53846154 12.46153846],0
v4,1,0.048914,3.878295,[21  8] ; [11 13],[17.50943396 11.49056604] ; [14.49056604  9.50943396],0
a6,1,0.057242,3.615553,[16 13] ; [ 7 17],[12.58490566 16.41509434] ; [10.41509434 13.58490566],0
a3,1,0.112003,2.525727,[19 10] ; [10 13],[16.17307692 12.82692308] ; [12.82692308 10.17307692],0
u2,1,0.123639,2.370612,[6 4] ; [ 4 10],[4.16666667 5.83333333] ; [5.83333333 8.16666667],0
r2,1,0.163996,1.936988,[19  7] ; [13 11],[16.64  9.36] ; [15.36  8.64],0
p6,1,0.23382,1.417473,[ 6 23] ; [ 2 21],[ 4.46153846 24.53846154] ; [ 3.53846154 19.46153846],0
p2,1,0.253783,1.302356,[10 19] ; [12 12],[12.03773585 16.96226415] ; [ 9.96226415 14.03773585],0
p11,1,0.291533,1.112528,[ 7 22] ; [ 9 15],[ 8.75471698 20.24528302] ; [ 7.24528302 16.75471698],0
v3,1,0.369867,0.804112,[ 5 24] ; [ 2 21],[ 3.90384615 25.09615385] ; [ 3.09615385 19.90384615],0
b4,1,0.377536,0.778711,[18 11] ; [12 12],[16.41509434 12.58490566] ; [13.58490566 10.41509434],0
