Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,27.035539,[12 55] ; [20  7],[22.80851064 44.19148936] ; [ 9.19148936 17.80851064],1
s2,1,0.0,25.40179,[16 55] ; [21  6],[26.80612245 44.19387755] ; [10.19387755 16.80612245],1
s6,1,1.6e-05,18.664149,[22 48] ; [21  5],[31.35416667 38.64583333] ; [11.64583333 14.35416667],1
s3,1,0.000126,14.696695,[21 47] ; [20  7],[29.34736842 38.65263158] ; [11.65263158 15.34736842],1
p6,1,0.000258,13.349994,[11 56] ; [14 12],[18.01075269 48.98924731] ; [ 6.98924731 19.01075269],1
r3,1,0.00112,10.617947,[45 26] ; [26  1],[51.43877551 19.56122449] ; [19.56122449  7.43877551],0
p3,1,0.00112,10.617418,[17 53] ; [16 11],[23.81443299 46.18556701] ; [ 9.18556701 17.81443299],0
p10,1,0.001203,10.485962,[31 38] ; [22  5],[38.09375 30.90625] ; [14.90625 12.09375],0
p4,1,0.002542,9.109963,[25 44] ; [19  8],[31.625 37.375] ; [12.375 14.625],0
p11,1,0.002681,9.012549,[37 34] ; [23  4],[43.46938776 27.53061224] ; [16.53061224 10.46938776],0
a5,1,0.008995,6.823789,[29 42] ; [19  8],[34.7755102 36.2244898] ; [13.2244898 13.7755102],0
p9,1,0.009617,6.70452,[42 26] ; [24  3],[47.24210526 20.75789474] ; [18.75789474  8.24210526],0
n1,1,0.014037,6.033428,[11 23] ; [7 2],[14.23255814 19.76744186] ; [3.76744186 5.23255814],0
b4,1,0.022255,5.225722,[42 29] ; [ 9 18],[36.94897959 34.05102041] ; [14.05102041 12.94897959],0
v3,1,0.027207,4.87763,[12 58] ; [10 16],[16.04166667 53.95833333] ; [ 5.95833333 20.04166667],0
p2,1,0.053091,3.741063,[39 30] ; [21  6],[43.125 25.875] ; [16.875 10.125],0
v2,1,0.054526,3.696532,[21 48] ; [13 12],[24.95744681 44.04255319] ; [ 9.04255319 15.95744681],0
p1,1,0.063157,3.452488,[ 6 65] ; [ 6 21],[ 8.69387755 62.30612245] ; [ 3.30612245 23.69387755],0
u3,1,0.067818,3.335049,[ 9 28] ; [5 4],[11.26086957 25.73913043] ; [2.73913043 6.26086957],0
p8,1,0.076131,3.145623,[21 48] ; [13 13],[24.69473684 44.30526316] ; [ 9.30526316 16.69473684],0
v1,1,0.104377,2.637363,[20 50] ; [12 14],[23.33333333 46.66666667] ; [ 8.66666667 17.33333333],0
a3,1,0.109229,2.565348,[34 36] ; [18  9],[37.5257732 32.4742268] ; [14.4742268 12.5257732],0
s1,1,0.123511,2.372219,[ 1 70] ; [ 2 25],[ 2.17346939 68.82653061] ; [ 0.82653061 26.17346939],0
a4,1,0.124347,2.361698,[22 48] ; [13 14],[25.25773196 44.74226804] ; [ 9.74226804 17.25773196],0
p12,1,0.1274,2.323901,[ 1 69] ; [ 2 25],[ 2.16494845 67.83505155] ; [ 0.83505155 26.16494845],0
d3,1,0.139083,2.188074,[27 44] ; [ 6 21],[23.90816327 47.09183673] ; [ 9.09183673 17.90816327],0
p7,1,0.150748,2.064666,[32 39] ; [16 10],[35.13402062 35.86597938] ; [12.86597938 13.13402062],0
d1,1,0.164122,1.935826,[21 50] ; [12 15],[23.90816327 47.09183673] ; [ 9.09183673 17.90816327],0
r4,1,0.190853,1.711023,[29 42] ; [15 12],[31.87755102 39.12244898] ; [12.12244898 14.87755102],0
v4,1,0.1962,1.670436,[51 20] ; [22  4],[53.43298969 17.56701031] ; [19.56701031  6.43298969],0
n3,1,0.22106,1.497479,[20 14] ; [8 2],[21.63636364 12.36363636] ; [6.36363636 3.63636364],0
r2,1,0.237498,1.395381,[48 22] ; [21  5],[50.3125 19.6875] ; [18.6875  7.3125],0
d4,1,0.240053,1.380282,[38 33] ; [18  9],[40.57142857 30.42857143] ; [15.42857143 11.57142857],0
n6,1,0.26643,1.235036,[47 24] ; [21  6],[49.26530612 21.73469388] ; [18.73469388  8.26530612],0
d5,1,0.33464,0.93086,[37 34] ; [17 10],[39.12244898 31.87755102] ; [14.87755102 12.12244898],0
n4,1,0.438211,0.600962,[44 27] ; [19  8],[45.64285714 25.35714286] ; [17.35714286  9.64285714],0
n5,1,0.466533,0.530176,[50 21] ; [21  6],[51.43877551 19.56122449] ; [19.56122449  7.43877551],0
s4,1,0.543357,0.369353,[12 59] ; [ 6 21],[13.04081633 57.95918367] ; [ 4.95918367 22.04081633],0
u2,1,0.603821,0.269271,[13 24] ; [4 5],[13.67391304 23.32608696] ; [3.32608696 5.67391304],0
d2,1,0.6791,0.17114,[30 39] ; [13 14],[30.90625 38.09375] ; [12.09375 14.90625],0
b3,1,0.680052,0.170067,[13 29] ; [ 6 17],[12.27692308 29.72307692] ; [ 6.72307692 16.27692308],0
b2,1,0.680052,0.170067,[13 29] ; [ 6 17],[12.27692308 29.72307692] ; [ 6.72307692 16.27692308],0
s5,1,0.69776,0.150812,[14 55] ; [ 6 19],[14.68085106 54.31914894] ; [ 5.31914894 19.68085106],0
a8,1,0.712471,0.135822,[ 4 64] ; [ 2 23],[ 4.38709677 63.61290323] ; [ 1.61290323 23.38709677],0
b5,1,0.725768,0.123033,[37 34] ; [13 14],[36.2244898 34.7755102] ; [13.7755102 13.2244898],0
a2,1,0.743518,0.107059,[ 4 67] ; [ 2 25],[ 4.34693878 66.65306122] ; [ 1.65306122 25.34693878],0
u1,1,0.819894,0.051839,[ 2 69] ; [ 1 26],[ 2.17346939 68.82653061] ; [ 0.82653061 26.17346939],0
a1,1,0.86617,0.028401,[ 6 65] ; [ 2 25],[ 5.79591837 65.20408163] ; [ 2.20408163 24.79591837],0
p5,1,0.86617,0.028401,[ 6 65] ; [ 2 25],[ 5.79591837 65.20408163] ; [ 2.20408163 24.79591837],0
b1,1,0.882394,0.021885,[38 33] ; [14 13],[37.67346939 33.32653061] ; [14.32653061 12.67346939],0
n2,1,0.888322,0.01972,[23 11] ; [7 3],[23.18181818 10.81818182] ; [6.81818182 3.18181818],0
a6,1,0.927949,0.008177,[27 44] ; [10 17],[26.80612245 44.19387755] ; [10.19387755 16.80612245],0
