Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5e-06,20.713183,[ 1 36] ; [8 6],[ 6.52941176 30.47058824] ; [ 2.47058824 11.52941176],1
s2,1,0.000772,11.307746,[ 3 34] ; [7 7],[ 7.25490196 29.74509804] ; [ 2.74509804 11.25490196],1
s3,1,0.001061,10.717546,[ 5 30] ; [8 5],[ 9.47916667 25.52083333] ; [3.52083333 9.47916667],0
p6,1,0.001236,10.435563,[ 2 34] ; [6 8],[ 5.76 30.24] ; [ 2.24 11.76],0
s6,1,0.007505,7.147876,[ 7 30] ; [8 6],[10.88235294 26.11764706] ; [4.11764706 9.88235294],0
d3,1,0.01405,6.031863,[10 27] ; [9 5],[13.78431373 23.21568627] ; [5.21568627 8.78431373],0
p9,1,0.020453,5.372807,[10 25] ; [9 5],[13.57142857 21.42857143] ; [5.42857143 8.57142857],0
s4,1,0.022983,5.169814,[ 5 32] ; [6 8],[ 7.98039216 29.01960784] ; [ 3.01960784 10.98039216],0
p4,1,0.026405,4.92933,[ 5 31] ; [6 8],[ 7.92 28.08] ; [ 3.08 10.92],0
p2,1,0.026505,4.92278,[ 9 28] ; [8 6],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
p10,1,0.028818,4.778439,[11 25] ; [9 5],[14.4 21.6] ; [5.6 8.4],0
p5,1,0.02906,4.764061,[ 1 35] ; [ 3 11],[ 2.88 33.12] ; [ 1.12 12.88],0
p11,1,0.047155,3.939865,[ 8 29] ; [7 7],[10.88235294 26.11764706] ; [4.11764706 9.88235294],0
b5,1,0.060683,3.51863,[13 24] ; [9 5],[15.96078431 21.03921569] ; [6.03921569 7.96078431],0
p8,1,0.090142,2.871828,[ 7 29] ; [6 8],[ 9.36 26.64] ; [ 3.64 10.36],0
a7,1,0.090277,2.86943,[14 23] ; [9 5],[16.68627451 20.31372549] ; [6.31372549 7.68627451],0
v4,1,0.10951,2.561275,[20 17] ; [11  3],[22.49019608 14.50980392] ; [8.50980392 5.49019608],0
n6,1,0.129485,2.298665,[15 22] ; [9 5],[17.41176471 19.58823529] ; [6.58823529 7.41176471],0
s5,1,0.163594,1.940684,[ 5 32] ; [4 9],[ 6.66 30.34] ; [ 2.34 10.66],0
a5,1,0.179759,1.799617,[16 21] ; [9 5],[18.1372549 18.8627451] ; [6.8627451 7.1372549],0
n2,1,0.180408,1.794258,[11  9] ; [8 2],[12.66666667  7.33333333] ; [6.33333333 3.66666667],0
s1,1,0.187634,1.7361,[ 3 34] ; [ 3 11],[ 4.35294118 32.64705882] ; [ 1.64705882 12.35294118],0
