Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.8e-05,18.431196,[77 32] ; [225  28],[90.93370166 18.06629834] ; [211.06629834  41.93370166],1
s2,1,0.000649,11.628658,[68 43] ; [200  55],[81.27868852 29.72131148] ; [186.72131148  68.27868852],1
p9,1,0.000985,10.856,[87 20] ; [237  18],[95.7679558 11.2320442] ; [228.2320442  26.7679558],1
v1,1,0.001697,9.851714,[50 58] ; [159  89],[63.40449438 44.59550562] ; [145.59550562 102.40449438],0
n5,1,0.002554,9.101563,[77 33] ; [213  41],[87.63736264 22.36263736] ; [202.36263736  51.63736264],0
p10,1,0.004085,8.245487,[84 26] ; [224  30],[93.07692308 16.92307692] ; [214.92307692  39.07692308],0
v4,1,0.004517,8.063354,[101   9] ; [250   5],[105.78082192   4.21917808] ; [245.21917808   9.78082192],0
s3,1,0.004551,8.049709,[72 38] ; [201  52],[82.72727273 27.27272727] ; [190.27272727  62.72727273],0
v3,1,0.013863,6.055454,[40 68] ; [125 119],[50.625 57.375] ; [114.375 129.625],0
p5,1,0.028638,4.789266,[ 11 100] ; [ 48 203],[18.09116022 92.90883978] ; [ 40.90883978 210.09116022],0
a3,1,0.032056,4.595504,[86 24] ; [222  33],[92.82191781 17.17808219] ; [215.17808219  39.82191781],0
n6,1,0.032085,4.59396,[90 19] ; [229  24],[96.05248619 12.94751381] ; [222.94751381  30.05248619],0
s5,1,0.034889,4.450601,[40 67] ; [120 122],[49.05444126 57.94555874] ; [110.94555874 131.05444126],0
p8,1,0.040091,4.214026,[51 57] ; [148 103],[59.86629526 48.13370474] ; [139.13370474 111.86629526],0
u4,1,0.04235,4.121152,[  1 110] ; [ 14 242],[  4.53678474 106.46321526] ; [ 10.46321526 245.53678474],0
d1,1,0.05792,3.595959,[73 38] ; [193  63],[80.45231608 30.54768392] ; [185.54768392  70.45231608],0
p6,1,0.070483,3.271736,[43 66] ; [125 126],[50.86666667 58.13333333] ; [117.13333333 133.86666667],0
p12,1,0.077382,3.119057,[  7 103] ; [ 32 222],[11.78571429 98.21428571] ; [ 27.21428571 226.78571429],0
u2,1,0.095591,2.777607,[14 10] ; [26  7],[16.84210526  7.15789474] ; [23.15789474  9.84210526],0
a5,1,0.11151,2.532685,[83 28] ; [210  46],[88.61852861 22.38147139] ; [204.38147139  51.61852861],0
r4,1,0.150489,2.067292,[96 15] ; [234  22],[99.80926431 11.19073569] ; [230.19073569  25.80926431],0
v2,1,0.156361,2.009071,[62 47] ; [160  87],[67.97191011 41.02808989] ; [154.02808989  92.97191011],0
p7,1,0.160739,1.967261,[69 38] ; [177  69],[74.56657224 32.43342776] ; [171.43342776  74.56657224],0
b4,1,0.198982,1.649827,[70 41] ; [143 113],[64.42234332 46.57765668] ; [148.57765668 107.42234332],0
u1,1,0.205649,1.601798,[25 86] ; [ 74 182],[29.94277929 81.05722071] ; [ 69.05722071 186.94277929],0
d5,1,0.239202,1.385292,[95 16] ; [230  26],[98.29700272 12.70299728] ; [226.70299728  29.29700272],0
p11,1,0.264298,1.246105,[85 26] ; [209  47],[88.92098093 22.07901907] ; [205.07901907  50.92098093],0
b5,1,0.276132,1.186031,[60 51] ; [154 102],[64.72479564 46.27520436] ; [149.27520436 106.72479564],0
n4,1,0.288336,1.127375,[90 21] ; [218  37],[93.40983607 17.59016393] ; [214.59016393  40.40983607],0
a7,1,0.308659,1.036404,[83 28] ; [178  78],[78.9400545 32.0599455] ; [182.0599455  73.9400545],0
p1,1,0.359692,0.838967,[  8 103] ; [ 26 228],[ 10.33972603 100.66027397] ; [ 23.66027397 230.33972603],0
r2,1,0.398117,0.714006,[103   6] ; [243   9],[104.47091413   4.52908587] ; [241.52908587  10.47091413],0
b2,1,0.427068,0.630784,[29 43] ; [ 86 102],[31.84615385 40.15384615] ; [ 83.15384615 104.84615385],0
b3,1,0.427068,0.630784,[29 43] ; [ 86 102],[31.84615385 40.15384615] ; [ 83.15384615 104.84615385],0
r1,1,0.453019,0.563088,[91 20] ; [217  38],[93.40983607 17.59016393] ; [214.59016393  40.40983607],0
a6,1,0.458704,0.549055,[70 41] ; [171  84],[73.09016393 37.90983607] ; [167.90983607  87.09016393],0
n3,1,0.463975,0.536287,[13  9] ; [38 18],[14.38461538  7.61538462] ; [36.61538462 19.38461538],0
s1,1,0.504809,0.444812,[  6 103] ; [ 10 244],[  4.80440771 104.19559229] ; [ 11.19559229 242.80440771],0
u3,1,0.508431,0.437294,[18  7] ; [27  7],[19.06779661  5.93220339] ; [25.93220339  8.06779661],0
p4,1,0.527784,0.398656,[72 39] ; [174  81],[74.60655738 36.39344262] ; [171.39344262  83.60655738],0
p3,1,0.529967,0.394455,[62 49] ; [152 104],[64.72479564 46.27520436] ; [149.27520436 106.72479564],0
r3,1,0.586159,0.296382,[106   3] ; [246  10],[105.11780822   3.88219178] ; [246.88219178   9.11780822],0
s4,1,0.69283,0.156039,[22 89] ; [ 55 199],[23.41643836 87.58356164] ; [ 53.58356164 200.41643836],0
n2,1,0.758027,0.094908,[18  5] ; [42 14],[17.46835443  5.53164557] ; [42.53164557 13.46835443],0
d2,1,0.812655,0.05617,[64 47] ; [151 105],[65.02724796 45.97275204] ; [149.97275204 106.02724796],0
a4,1,0.832563,0.044696,[59 52] ; [133 123],[58.07084469 52.92915531] ; [133.92915531 122.07084469],0
n1,1,0.860631,0.030825,[11 12] ; [28 28],[11.35443038 11.64556962] ; [27.64556962 28.35443038],0
a8,1,0.899539,0.015937,[17 82] ; [ 41 190],[17.4 81.6] ; [ 40.6 190.4],0
b1,1,0.900424,0.015656,[45 66] ; [102 154],[44.46049046 66.53950954] ; [102.53950954 153.46049046],0
a1,1,0.905281,0.014159,[  7 104] ; [ 17 239],[  7.25885559 103.74114441] ; [ 16.74114441 239.25885559],0
p2,1,0.918974,0.010348,[94 17] ; [217  38],[94.31967213 16.68032787] ; [216.68032787  38.31967213],0
a2,1,0.965221,0.001901,[34 77] ; [ 79 177],[34.17711172 76.82288828] ; [ 78.82288828 177.17711172],0
d3,1,0.97756,0.000791,[86 25] ; [198  58],[85.89645777 25.10354223] ; [198.10354223  57.89645777],0
