Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.0,31.301114,[75 17] ; [ 8 22],[62.59016393 29.40983607] ; [20.40983607  9.59016393],1
p9,1,2e-06,22.245574,[72 17] ; [ 9 18],[62.14655172 26.85344828] ; [18.85344828  8.14655172],1
p11,1,3e-06,22.056913,[66 26] ; [ 7 23],[55.04918033 36.95081967] ; [17.95081967 12.04918033],1
p10,1,5e-06,20.828786,[64 25] ; [ 7 22],[53.55084746 35.44915254] ; [17.44915254 11.55084746],1
v4,1,1.4e-05,18.877797,[78 13] ; [14 16],[69.19008264 21.80991736] ; [22.80991736  7.19008264],1
b5,1,0.001303,10.338638,[64 28] ; [11 19],[56.55737705 35.44262295] ; [18.44262295 11.55737705],0
a1,1,0.00232,9.277132,[ 3 89] ; [ 6 24],[ 6.78688525 85.21311475] ; [ 2.21311475 27.78688525],0
a7,1,0.002506,9.136234,[59 32] ; [10 20],[51.89256198 39.10743802] ; [17.10743802 12.89256198],0
s6,1,0.003553,8.49898,[42 48] ; [ 5 25],[35.25 54.75] ; [11.75 18.25],0
p2,1,0.003606,8.47216,[58 33] ; [10 20],[51.14049587 39.85950413] ; [16.85950413 13.14049587],0
n2,1,0.003834,8.360633,[29  8] ; [4 8],[24.91836735 12.08163265] ; [8.08163265 3.91836735],0
s2,1,0.003973,8.29602,[35 57] ; [ 3 27],[28.6557377 63.3442623] ; [ 9.3442623 20.6557377],0
d4,1,0.006811,7.322277,[65 27] ; [13 17],[58.81967213 33.18032787] ; [19.18032787 10.81967213],0
b1,1,0.006811,7.322277,[27 65] ; [17 13],[33.18032787 58.81967213] ; [10.81967213 19.18032787],0
v2,1,0.011131,6.444261,[35 54] ; [ 4 25],[29.41525424 59.58474576] ; [ 9.58474576 19.41525424],0
s8,1,0.012328,6.263029,[22 70] ; [ 1 29],[17.3442623 74.6557377] ; [ 5.6557377 24.3442623],0
p8,1,0.013184,6.144201,[30 60] ; [ 3 27],[24.75 65.25] ; [ 8.25 21.75],0
s3,1,0.016574,5.740952,[42 50] ; [ 6 23],[36.49586777 55.50413223] ; [11.50413223 17.49586777],0
d5,1,0.018857,5.514736,[64 27] ; [14 16],[58.66115702 32.33884298] ; [19.33884298 10.66115702],0
r2,1,0.018964,5.504842,[73 15] ; [18 11],[68.44444444 19.55555556] ; [22.55555556  6.44444444],0
d3,1,0.020325,5.38376,[49 41] ; [ 9 21],[43.5 46.5] ; [14.5 15.5],0
n3,1,0.02249,5.20746,[26 11] ; [4 8],[22.65306122 14.34693878] ; [7.34693878 4.65306122],0
p7,1,0.022638,5.196047,[36 53] ; [ 5 24],[30.92372881 58.07627119] ; [10.07627119 18.92372881],0
p6,1,0.092567,2.829148,[18 70] ; [ 2 27],[15.04273504 72.95726496] ; [ 4.95726496 24.04273504],0
d2,1,0.111633,2.530953,[32 59] ; [15 14],[35.64166667 55.35833333] ; [11.35833333 17.64166667],0
s7,1,0.12118,2.402001,[26 64] ; [ 4 24],[22.88135593 67.11864407] ; [ 7.11864407 20.88135593],0
b3,1,0.140194,2.175831,[17 34] ; [10  9],[19.67142857 31.32857143] ; [ 7.32857143 11.67142857],0
b2,1,0.140194,2.175831,[17 34] ; [10  9],[19.67142857 31.32857143] ; [ 7.32857143 11.67142857],0
v3,1,0.144176,2.13281,[27 62] ; [ 5 25],[23.93277311 65.06722689] ; [ 8.06722689 21.93277311],0
d1,1,0.170138,1.881731,[34 58] ; [ 7 23],[30.91803279 61.08196721] ; [10.08196721 19.91803279],0
b4,1,0.205686,1.601536,[58 34] ; [15 15],[55.04918033 36.95081967] ; [17.95081967 12.04918033],0
a6,1,0.208652,1.580758,[52 40] ; [13 17],[49.01639344 42.98360656] ; [15.98360656 14.01639344],0
p3,1,0.252994,1.306697,[21 70] ; [ 4 26],[18.80165289 72.19834711] ; [ 6.19834711 23.80165289],0
n5,1,0.269228,1.220677,[54 38] ; [21  9],[56.55737705 35.44262295] ; [18.44262295 11.55737705],0
s5,1,0.360768,0.835218,[18 68] ; [ 4 26],[16.31034483 69.68965517] ; [ 5.68965517 24.31034483],0
a3,1,0.371693,0.797997,[51 40] ; [14 16],[48.88429752 42.11570248] ; [16.11570248 13.88429752],0
a8,1,0.390497,0.737394,[ 7 79] ; [ 1 28],[ 5.9826087 80.0173913] ; [ 2.0173913 26.9826087],0
p1,1,0.413152,0.669713,[10 81] ; [ 5 25],[11.28099174 79.71900826] ; [ 3.71900826 26.28099174],0
v1,1,0.42307,0.641772,[27 60] ; [ 7 23],[25.28205128 61.71794872] ; [ 8.71794872 21.28205128],0
a2,1,0.502049,0.450602,[10 82] ; [ 2 28],[ 9.04918033 82.95081967] ; [ 2.95081967 27.04918033],0
