Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,32.255404,[60  2] ; [14 16],[49.86956522 12.13043478] ; [24.13043478  5.86956522],1
r3,1,0.0,29.971295,[61  3] ; [14 16],[51.06382979 12.93617021] ; [23.93617021  6.06382979],1
r4,1,1e-06,23.708656,[55  9] ; [11 19],[44.93617021 19.06382979] ; [21.06382979  8.93617021],1
p4,1,1.6e-05,18.656314,[34 30] ; [ 2 28],[24.5106383 39.4893617] ; [11.4893617 18.5106383],1
p11,1,1.8e-05,18.405686,[47 17] ; [ 8 22],[37.44680851 26.55319149] ; [17.55319149 12.44680851],1
p10,1,0.000146,14.428686,[42 21] ; [ 7 22],[33.55434783 29.44565217] ; [15.44565217 13.55434783],1
b5,1,0.000386,12.598488,[46 18] ; [10 20],[38.12765957 25.87234043] ; [17.87234043 12.12765957],1
p7,1,0.000612,11.739254,[38 25] ; [ 6 22],[30.46153846 32.53846154] ; [13.53846154 14.46153846],1
p8,1,0.000672,11.563925,[26 37] ; [ 2 28],[18.96774194 44.03225806] ; [ 9.03225806 20.96774194],1
s6,1,0.004835,7.939998,[37 27] ; [ 8 22],[30.63829787 33.36170213] ; [14.36170213 15.63829787],0
a1,1,0.006273,7.470131,[ 2 62] ; [ 6 24],[ 5.44680851 58.55319149] ; [ 2.55319149 27.44680851],0
d5,1,0.008597,6.904731,[52 12] ; [16 13],[46.79569892 17.20430108] ; [21.20430108  7.79569892],0
b3,1,0.01718,5.677895,[ 7 29] ; [10 10],[10.92857143 25.07142857] ; [ 6.07142857 13.92857143],0
b2,1,0.01718,5.677895,[ 7 29] ; [10 10],[10.92857143 25.07142857] ; [ 6.07142857 13.92857143],0
p9,1,0.021677,5.271555,[44 19] ; [13 16],[39.0326087 23.9673913] ; [17.9673913 11.0326087],0
p6,1,0.027013,4.889956,[17 46] ; [ 2 27],[13.01086957 49.98913043] ; [ 5.98913043 23.01086957],0
r1,1,0.044033,4.055283,[51 13] ; [18 12],[46.9787234 17.0212766] ; [22.0212766  7.9787234],0
u2,1,0.045607,3.996049,[14  4] ; [4 6],[11.57142857  6.42857143] ; [6.42857143 3.57142857],0
u3,1,0.062308,3.474872,[12  6] ; [3 7],[9.64285714 8.35714286] ; [5.35714286 4.64285714],0
s8,1,0.063308,3.448532,[20 44] ; [ 4 26],[16.34042553 47.65957447] ; [ 7.65957447 22.34042553],0
p3,1,0.076162,3.144949,[27 37] ; [ 7 23],[23.14893617 40.85106383] ; [10.85106383 19.14893617],0
d4,1,0.077428,3.118069,[49 15] ; [17 12],[45.41935484 18.58064516] ; [20.58064516  8.41935484],0
b4,1,0.08068,3.051143,[40 24] ; [13 17],[36.08510638 27.91489362] ; [16.91489362 13.08510638],0
v1,1,0.082198,3.020902,[30 31] ; [ 9 21],[26.14285714 34.85714286] ; [12.85714286 17.14285714],0
a6,1,0.082642,3.01216,[45 19] ; [15 14],[41.29032258 22.70967742] ; [18.70967742 10.29032258],0
v2,1,0.091005,2.856499,[30 30] ; [ 9 20],[26.29213483 33.70786517] ; [12.70786517 16.29213483],0
n2,1,0.152881,2.043269,[14  2] ; [12  6],[12.23529412  3.76470588] ; [13.76470588  4.23529412],0
n3,1,0.154044,2.031746,[11  5] ; [7 9],[9. 7.] ; [9. 7.],0
a8,1,0.170862,1.875365,[ 7 51] ; [ 7 23],[ 9.22727273 48.77272727] ; [ 4.77272727 25.22727273],0
a5,1,0.188559,1.72884,[47 17] ; [18 12],[44.25531915 19.74468085] ; [20.74468085  9.25531915],0
a7,1,0.195253,1.677528,[43 21] ; [16 14],[40.17021277 23.82978723] ; [18.82978723 11.17021277],0
n1,1,0.201754,1.62963,[ 5 10] ; [10  8],[6.81818182 8.18181818] ; [8.18181818 9.81818182],0
d3,1,0.202337,1.625425,[42 22] ; [15 14],[39.22580645 24.77419355] ; [17.77419355 11.22580645],0
n5,1,0.203382,1.617923,[36 28] ; [21  9],[38.80851064 25.19148936] ; [18.19148936 11.80851064],0
s5,1,0.214704,1.539418,[13 47] ; [ 3 25],[10.90909091 49.09090909] ; [ 5.09090909 22.90909091],0
u1,1,0.298307,1.081746,[ 6 58] ; [ 1 29],[ 4.76595745 59.23404255] ; [ 2.23404255 27.76595745],0
s7,1,0.424213,0.638613,[22 37] ; [ 8 20],[20.34482759 38.65517241] ; [ 9.65517241 18.34482759],0
s1,1,0.426067,0.63352,[ 2 60] ; [ 2 27],[ 2.72527473 59.27472527] ; [ 1.27472527 27.72527473],0
r2,1,0.434322,0.611239,[55  7] ; [24  5],[53.82417582  8.17582418] ; [25.17582418  3.82417582],0
p1,1,0.532744,0.389155,[ 4 59] ; [ 3 27],[ 4.74193548 58.25806452] ; [ 2.25806452 27.74193548],0
d1,1,0.628277,0.234405,[29 35] ; [12 18],[27.91489362 36.08510638] ; [13.08510638 16.91489362],0
s2,1,0.637954,0.221429,[22 41] ; [ 9 21],[21. 42.] ; [10. 20.],0
a4,1,0.694086,0.154697,[25 39] ; [13 17],[25.87234043 38.12765957] ; [12.12765957 17.87234043],0
s4,1,0.771121,0.084628,[10 54] ; [ 4 26],[ 9.53191489 54.46808511] ; [ 4.46808511 25.53191489],0
a3,1,0.774612,0.081995,[46 18] ; [20  9],[45.41935484 18.58064516] ; [20.58064516  8.41935484],0
a2,1,0.806746,0.059842,[12 52] ; [ 5 25],[11.57446809 52.42553191] ; [ 5.42553191 24.57446809],0
s3,1,0.878173,0.023497,[31 31] ; [14 15],[30.65934066 31.34065934] ; [14.34065934 14.65934066],0
b1,1,0.902228,0.015092,[35 29] ; [16 14],[34.72340426 29.27659574] ; [16.27659574 13.72340426],0
v3,1,0.943626,0.005,[17 41] ; [ 8 20],[16.86046512 41.13953488] ; [ 8.13953488 19.86046512],0
d2,1,0.965279,0.001895,[29 35] ; [13 16],[28.90322581 35.09677419] ; [13.09677419 15.90322581],0
