Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,60.076565,[233  72] ; [37 69],[200.3649635 104.6350365] ; [69.6350365 36.3649635],1
a6,1,0.0,29.902386,[238  67] ; [53 53],[215.94890511  89.05109489] ; [75.05109489 30.94890511],1
d5,1,0.000182,14.012182,[254  51] ; [70 36],[240.4379562  64.5620438] ; [83.5620438 22.4379562],1
a2,1,0.000253,13.392743,[ 69 236] ; [ 7 99],[ 56.39902676 248.60097324] ; [19.60097324 86.39902676],1
u1,1,0.000336,12.859484,[ 45 260] ; [  2 104],[ 34.8783455 270.1216545] ; [12.1216545 93.8783455],1
b5,1,0.00043,12.398993,[208  97] ; [52 54],[192.94403893 112.05596107] ; [67.05596107 38.94403893],1
d1,1,0.000695,11.503116,[179 126] ; [42 64],[164.00243309 140.99756691] ; [56.99756691 49.00243309],1
p2,1,0.00283,8.913723,[255  49] ; [74 31],[244.53789731  59.46210269] ; [84.46210269 20.53789731],0
d4,1,0.004164,8.210682,[255  50] ; [75 31],[244.89051095  60.10948905] ; [85.10948905 20.89051095],0
s5,1,0.007017,7.268676,[ 59 235] ; [33 66],[ 68.82442748 225.17557252] ; [23.17557252 75.82442748],0
p10,1,0.009004,6.821994,[238  63] ; [69 35],[228.1654321  72.8345679] ; [78.8345679 25.1654321],0
u3,1,0.015962,5.807092,[68 41] ; [20 28],[61.0955414 47.9044586] ; [26.9044586 21.0955414],0
r3,1,0.01654,5.744545,[302   3] ; [101   5],[299.06326034   5.93673966] ; [103.93673966   2.06326034],0
s2,1,0.02811,4.821315,[ 98 203] ; [22 82],[ 89.18518519 211.81481481] ; [30.81481481 73.18518519],0
p4,1,0.02994,4.712726,[164 139] ; [43 60],[154.48522167 148.51477833] ; [52.51477833 50.48522167],0
p9,1,0.030133,4.701691,[246  53] ; [76 29],[238.31188119  60.68811881] ; [83.68811881 21.31188119],0
r1,1,0.038273,4.292828,[255  47] ; [80 26],[247.96568627  54.03431373] ; [87.03431373 18.96568627],0
s1,1,0.05395,3.714238,[  3 296] ; [ 4 99],[  5.20646766 293.79353234] ; [  1.79353234 101.20646766],0
a5,1,0.070041,3.282057,[216  89] ; [65 41],[208.52798054  96.47201946] ; [72.47201946 33.52798054],0
r2,1,0.086992,2.929171,[296   7] ; [99  6],[293.34558824   9.65441176] ; [101.65441176   3.34558824],0
a3,1,0.097431,2.747102,[194 110] ; [58 48],[186.84878049 117.15121951] ; [65.15121951 40.84878049],0
v4,1,0.137504,2.20567,[297   8] ; [100   6],[294.6107056  10.3892944] ; [102.3892944   3.6107056],0
n2,1,0.172458,1.861444,[47 17] ; [25  4],[49.5483871 14.4516129] ; [22.4516129  6.5483871],0
n4,1,0.178062,1.813728,[219  85] ; [69 37],[213.54146341  90.45853659] ; [74.45853659 31.54146341],0
s6,1,0.183502,1.769032,[162 137] ; [47 54],[156.2275 142.7725] ; [52.7725 48.2275],0
p8,1,0.193409,1.69146,[152 148] ; [45 59],[146.28712871 153.71287129] ; [50.71287129 53.28712871],0
v2,1,0.227568,1.455997,[155 132] ; [48 54],[149.77120823 137.22879177] ; [53.22879177 48.77120823],0
p5,1,0.280695,1.163722,[ 17 287] ; [ 9 96],[ 19.32518337 284.67481663] ; [ 6.67481663 98.32518337],0
u2,1,0.303948,1.056794,[59 51] ; [21 26],[56.05095541 53.94904459] ; [23.94904459 23.05095541],0
p3,1,0.354493,0.85731,[129 176] ; [39 66],[124.97560976 180.02439024] ; [43.02439024 61.97560976],0
p12,1,0.355541,0.853584,[ 19 284] ; [  4 100],[ 17.12285012 285.87714988] ; [ 5.87714988 98.12285012],0
a8,1,0.368276,0.809472,[ 35 246] ; [ 9 90],[ 32.53684211 248.46315789] ; [11.46315789 87.53684211],0
n3,1,0.385145,0.754216,[51 13] ; [20  8],[49.39130435 14.60869565] ; [21.60869565  6.39130435],0
n6,1,0.39125,0.735054,[249  55] ; [82 23],[246.02444988  57.97555012] ; [84.97555012 20.02444988],0
a4,1,0.406137,0.690082,[124 180] ; [38 67],[120.41075795 183.58924205] ; [41.58924205 63.41075795],0
a1,1,0.416509,0.660145,[  7 298] ; [  4 102],[  8.16301703 296.83698297] ; [  2.83698297 103.16301703],0
v3,1,0.435558,0.607956,[ 97 195] ; [29 71],[ 93.85714286 198.14285714] ; [32.14285714 67.85714286],0
s4,1,0.464257,0.535611,[ 42 255] ; [12 94],[ 39.79652605 257.20347395] ; [14.20347395 91.79652605],0
n1,1,0.548821,0.359434,[21 41] ; [ 8 21],[19.75824176 42.24175824] ; [ 9.24175824 19.75824176],0
s3,1,0.553642,0.350833,[122 177] ; [39 65],[119.4516129 179.5483871] ; [41.5483871 62.4516129],0
p6,1,0.595415,0.281967,[ 86 216] ; [26 75],[ 83.93052109 218.06947891] ; [28.06947891 72.93052109],0
p1,1,0.650296,0.205527,[ 21 282] ; [  6 100],[ 20.00244499 282.99755501] ; [ 6.99755501 99.00244499],0
b1,1,0.660018,0.193502,[105 200] ; [39 67],[106.86131387 198.13868613] ; [37.13868613 68.86131387],0
d2,1,0.746088,0.104847,[130 174] ; [43 62],[128.58679707 175.41320293] ; [44.41320293 60.58679707],0
p11,1,0.753162,0.098893,[246  59] ; [84 22],[244.89051095  60.10948905] ; [85.10948905 20.89051095],0
v1,1,0.787179,0.072887,[145 150] ; [50 55],[143.8125 151.1875] ; [51.1875 53.8125],0
b4,1,0.810752,0.057339,[183 122] ; [65 41],[184.03892944 120.96107056] ; [63.96107056 42.03892944],0
s8,1,0.830204,0.045985,[ 64 241] ; [21 84],[ 63.23170732 241.76829268] ; [21.76829268 83.23170732],0
b2,1,0.83162,0.045209,[ 53 108] ; [21 40],[ 53.66666667 107.33333333] ; [20.33333333 40.66666667],0
b3,1,0.83162,0.045209,[ 53 108] ; [21 40],[ 53.66666667 107.33333333] ; [20.33333333 40.66666667],0
n5,1,0.848959,0.03627,[207  96] ; [70 34],[206.21867322  96.78132678] ; [70.78132678 33.21867322],0
p7,1,0.897464,0.016606,[172 127] ; [60 43],[172.55721393 126.44278607] ; [59.44278607 43.55721393],0
u4,1,0.971021,0.00132,[  3 302] ; [  1 105],[  2.96836983 302.03163017] ; [  1.03163017 104.96836983],0
