Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,62.181405,[ 25 127] ; [134 102],[62.28865979 89.71134021] ; [ 96.71134021 139.28865979],1
v1,1,1e-06,23.733158,[65 89] ; [161  79],[88.33502538 65.66497462] ; [137.66497462 102.33502538],1
p11,1,0.001278,10.373462,[115  39] ; [213  31],[126.91457286  27.08542714] ; [201.08542714  42.91457286],0
u1,1,0.003626,8.462197,[ 23 131] ; [ 67 177],[ 34.8241206 119.1758794] ; [ 55.1758794 188.8241206],0
d3,1,0.005646,7.660094,[107  45] ; [200  43],[118.13670886  33.86329114] ; [188.86329114  54.13670886],0
a6,1,0.007471,7.155992,[109  44] ; [200  42],[119.68860759  33.31139241] ; [189.31139241  52.68860759],0
r1,1,0.013385,6.11744,[119  33] ; [213  30],[127.75696203  24.24303797] ; [204.24303797  38.75696203],0
p10,1,0.020734,5.34902,[124  29] ; [217  26],[131.75  21.25] ; [209.25  33.75],0
p9,1,0.024506,5.058453,[126  25] ; [222  22],[133.03291139  17.96708861] ; [214.96708861  29.03291139],0
s7,1,0.024841,5.034949,[66 78] ; [135  99],[76.57142857 67.42857143] ; [124.42857143 109.57142857],0
d1,1,0.027786,4.841273,[86 68] ; [163  81],[96.34673367 57.65326633] ; [152.65326633  91.34673367],0
a2,1,0.042017,4.134532,[ 37 117] ; [ 82 162],[ 46.04522613 107.95477387] ; [ 72.95477387 171.04522613],0
r3,1,0.043677,4.068987,[145   8] ; [238   4],[148.35189873   4.64810127] ; [234.64810127   7.35189873],0
a4,1,0.045317,4.006806,[59 95] ; [118 125],[68.65994962 85.34005038] ; [108.34005038 134.65994962],0
v4,1,0.04675,3.954348,[146   8] ; [236   4],[149.30964467   4.69035533] ; [232.69035533   7.30964467],0
s8,1,0.050192,3.835041,[62 91] ; [122 119],[71.45177665 81.54822335] ; [112.54822335 128.45177665],0
a5,1,0.051256,3.799891,[110  44] ; [195  49],[118.01507538  35.98492462] ; [186.98492462  57.01507538],0
d2,1,0.066817,3.359537,[63 90] ; [123 120],[71.86363636 81.13636364] ; [114.13636364 128.86363636],0
p3,1,0.067162,3.351065,[86 68] ; [158  85],[94.64987406 59.35012594] ; [149.35012594  93.64987406],0
n5,1,0.081752,3.029721,[111  43] ; [192  49],[118.13164557  35.86835443] ; [184.86835443  56.13164557],0
b1,1,0.090944,2.85759,[66 88] ; [ 84 160],[58.04020101 95.95979899] ; [ 91.95979899 152.04020101],0
p12,1,0.099515,2.713302,[ 10 144] ; [ 28 216],[ 14.70351759 139.29648241] ; [ 23.29648241 220.70351759],0
b4,1,0.103368,2.652789,[80 74] ; [147  97],[87.83417085 66.16582915] ; [139.16582915 104.83417085],0
d4,1,0.139321,2.185448,[123  30] ; [209  34],[128.27272727  24.72727273] ; [203.72727273  39.27272727],0
s5,1,0.146635,2.106907,[ 48 104] ; [ 92 145],[54.70437018 97.29562982] ; [ 85.29562982 151.70437018],0
p5,1,0.147826,2.094537,[ 16 137] ; [ 38 206],[ 20.81108312 132.18891688] ; [ 33.18891688 210.81108312],0
s4,1,0.216788,1.525508,[ 28 122] ; [ 34 209],[ 23.66412214 126.33587786] ; [ 38.33587786 204.66412214],0
a3,1,0.219309,1.508888,[110  43] ; [188  55],[115.13636364  37.86363636] ; [182.86363636  60.13636364],0
p1,1,0.24257,1.365596,[ 11 142] ; [ 26 217],[ 14.29545455 138.70454545] ; [ 22.70454545 220.29545455],0
n1,1,0.271484,1.209235,[13 20] ; [10 27],[10.84285714 22.15714286] ; [12.15714286 24.84285714],0
p6,1,0.325647,0.966129,[70 83] ; [123 119],[74.75696203 78.24303797] ; [118.24303797 123.75696203],0
a1,1,0.32781,0.95753,[  6 148] ; [ 15 229],[  8.12562814 145.87437186] ; [ 12.87437186 231.12562814],0
n6,1,0.340919,0.906972,[130  23] ; [211  28],[133.09438776  19.90561224] ; [207.90561224  31.09438776],0
r2,1,0.346766,0.885256,[144   8] ; [232   8],[145.79591837   6.20408163] ; [230.20408163   9.79591837],0
d5,1,0.363354,0.826267,[123  30] ; [204  39],[126.34090909  26.65909091] ; [200.65909091  42.34090909],0
s3,1,0.374048,0.790171,[82 71] ; [139 100],[86.25765306 66.74234694] ; [134.74234694 104.25765306],0
n4,1,0.386724,0.749219,[118  35] ; [197  47],[121.39798489  31.60201511] ; [193.60201511  50.39798489],0
u4,1,0.387769,0.745926,[  1 153] ; [  4 240],[  1.93467337 152.06532663] ; [  3.06532663 240.93467337],0
n2,1,0.446776,0.578818,[25  9] ; [30  7],[26.33802817  7.66197183] ; [28.66197183  8.33802817],0
p2,1,0.550784,0.355915,[141  13] ; [219  25],[139.29648241  14.70351759] ; [220.70351759  23.29648241],0
s6,1,0.606339,0.26554,[105  46] ; [172  67],[107.24871795  43.75128205] ; [169.75128205  69.24871795],0
s2,1,0.619061,0.24719,[77 76] ; [128 114],[79.40506329 73.59493671] ; [125.59493671 116.40506329],0
r4,1,0.638953,0.220115,[142  12] ; [228  16],[143.16582915  10.83417085] ; [226.83417085  17.16582915],0
n3,1,0.674126,0.176813,[28  6] ; [29  8],[27.29577465  6.70422535] ; [29.70422535  7.29577465],0
p4,1,0.714756,0.133573,[111  43] ; [171  72],[109.39042821  44.60957179] ; [172.60957179  70.39042821],0
a8,1,0.763678,0.090393,[ 25 117] ; [ 40 172],[ 26.07344633 115.92655367] ; [ 38.92655367 173.07344633],0
u2,1,0.798605,0.065103,[25 18] ; [30 24],[24.3814433 18.6185567] ; [30.6185567 23.3814433],0
p8,1,0.811402,0.056939,[106  46] ; [166  76],[104.93401015  47.06598985] ; [167.06598985  74.93401015],0
b5,1,0.839166,0.041193,[100  54] ; [156  88],[99.05527638 54.94472362] ; [156.94472362  87.05527638],0
u3,1,0.920775,0.009892,[25 18] ; [32 24],[24.75757576 18.24242424] ; [32.24242424 23.75757576],0
b2,1,0.973845,0.001075,[33 59] ; [ 57 101],[33.12 58.88] ; [ 56.88 101.12],0
b3,1,0.973845,0.001075,[33 59] ; [ 57 101],[33.12 58.88] ; [ 56.88 101.12],0
s1,1,0.997645,9e-06,[  5 146] ; [  8 234],[  4.99491094 146.00508906] ; [  8.00508906 233.99491094],0
