Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.108815,2.571342,[12  2] ; [14  9],[9.83783784 4.16216216] ; [16.16216216  6.83783784],0
b1,1,0.124907,2.354691,[ 4 10] ; [15 13],[6.33333333 7.66666667] ; [12.66666667 15.33333333],0
s3,1,0.138402,2.195632,[7 6] ; [ 8 19],[4.875 8.125] ; [10.125 16.875],0
s2,1,0.199101,1.648955,[7 7] ; [ 8 19],[5.12195122 8.87804878] ; [ 9.87804878 17.12195122],0
r2,1,0.223666,1.480692,[13  1] ; [21  6],[11.6097561  2.3902439] ; [22.3902439  4.6097561],0
p2,1,0.223666,1.480692,[13  1] ; [21  6],[11.6097561  2.3902439] ; [22.3902439  4.6097561],0
p6,1,0.228101,1.452664,[9 5] ; [12 15],[7.17073171 6.82926829] ; [13.82926829 13.17073171],0
a6,1,0.237971,1.392573,[8 6] ; [21  7],[9.66666667 4.33333333] ; [19.33333333  8.66666667],0
n4,1,0.241567,1.371429,[13  1] ; [22  6],[11.66666667  2.33333333] ; [23.33333333  4.66666667],0
p4,1,0.291875,1.110951,[10  4] ; [23  4],[11.26829268  2.73170732] ; [21.73170732  5.26829268],0
p3,1,0.34514,0.891247,[11  3] ; [18 10],[9.66666667 4.33333333] ; [19.33333333  8.66666667],0
a3,1,0.34514,0.891247,[11  3] ; [18 10],[9.66666667 4.33333333] ; [19.33333333  8.66666667],0
a1,1,0.349575,0.875,[ 3 11] ; [ 3 25],[ 2. 12.] ; [ 4. 24.],0
n5,1,0.349575,0.875,[13  1] ; [23  5],[12.  2.] ; [24.  4.],0
p12,1,0.352637,0.863944,[4 9] ; [ 5 23],[ 2.85365854 10.14634146] ; [ 6.14634146 21.85365854],0
b2,1,0.371949,0.797143,[6 4] ; [ 9 12],[4.83870968 5.16129032] ; [10.16129032 10.83870968],0
b3,1,0.371949,0.797143,[6 4] ; [ 9 12],[4.83870968 5.16129032] ; [10.16129032 10.83870968],0
p10,1,0.481518,0.495424,[12  2] ; [25  2],[12.63414634  1.36585366] ; [24.36585366  2.63414634],0
a7,1,0.494525,0.466667,[10  4] ; [17 11],[9. 5.] ; [18. 10.],0
b4,1,0.494525,0.466667,[10  4] ; [17 11],[9. 5.] ; [18. 10.],0
v1,1,0.495628,0.464286,[6 7] ; [15 11],[7. 6.] ; [14. 12.],0
d2,1,0.508332,0.4375,[7 7] ; [17 11],[8. 6.] ; [16. 12.],0
b5,1,0.508332,0.4375,[7 7] ; [17 11],[8. 6.] ; [16. 12.],0
r4,1,0.578403,0.308824,[12  2] ; [22  6],[11.33333333  2.66666667] ; [22.66666667  5.33333333],0
s1,1,0.608408,0.2625,[ 1 13] ; [ 1 27],[ 0.66666667 13.33333333] ; [ 1.33333333 26.66666667],0
u1,1,0.608408,0.2625,[ 4 10] ; [ 6 22],[ 3.33333333 10.66666667] ; [ 6.66666667 21.33333333],0
p8,1,0.643429,0.214286,[10  4] ; [18 10],[9.33333333 4.66666667] ; [18.66666667  9.33333333],0
d3,1,0.656627,0.197647,[9 5] ; [16 12],[8.33333333 5.66666667] ; [16.66666667 11.33333333],0
d1,1,0.661076,0.19222,[7 7] ; [16 12],[7.66666667 6.33333333] ; [15.33333333 12.66666667],0
v2,1,0.666115,0.18618,[6 8] ; [13 13],[6.65 7.35] ; [12.35 13.65],0
p9,1,0.710119,0.138158,[13  1] ; [25  3],[12.66666667  1.33333333] ; [25.33333333  2.66666667],0
s5,1,0.7445,0.106211,[8 6] ; [15  9],[8.47368421 5.52631579] ; [14.52631579  9.47368421],0
r1,1,0.756014,0.096546,[10  4] ; [18  9],[9.56097561 4.43902439] ; [18.43902439  8.56097561],0
r3,1,0.768321,0.086772,[12  2] ; [24  3],[12.29268293  1.70731707] ; [23.70731707  3.29268293],0
a5,1,0.80401,0.061584,[10  4] ; [21  7],[10.33333333  3.66666667] ; [20.66666667  7.33333333],0
d5,1,0.80401,0.061584,[10  4] ; [21  7],[10.33333333  3.66666667] ; [20.66666667  7.33333333],0
v3,1,0.816275,0.053981,[7 7] ; [12 14],[6.65 7.35] ; [12.35 13.65],0
p1,1,0.816961,0.053571,[5 9] ; [ 9 19],[4.66666667 9.33333333] ; [ 9.33333333 18.66666667],0
u2,1,0.835099,0.043333,[2 1] ; [6 4],[1.84615385 1.15384615] ; [6.15384615 3.84615385],0
p7,1,0.885558,0.020715,[9 4] ; [20  8],[9.19512195 3.80487805] ; [19.80487805  8.19512195],0
n6,1,0.975393,0.000951,[13  1] ; [25  2],[12.97560976  1.02439024] ; [25.02439024  1.97560976],0
a4,1,1.0,0.0,[6 8] ; [12 16],[6. 8.] ; [12. 16.],0
a2,1,1.0,0.0,[ 3 11] ; [ 6 22],[ 3. 11.] ; [ 6. 22.],0
p11,1,1.0,0.0,[12  2] ; [24  4],[12.  2.] ; [24.  4.],0
d4,1,1.0,0.0,[11  3] ; [22  6],[11.  3.] ; [22.  6.],0
