Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,4e-06,21.460538,[86 53] ; [47 91],[66.7400722 72.2599278] ; [66.2599278 71.7400722],1
s8,1,4.8e-05,16.520098,[65 78] ; [ 33 112],[48.65972222 94.34027778] ; [49.34027778 95.65972222],1
b5,1,0.002765,8.956188,[96 48] ; [72 74],[83.42068966 60.57931034] ; [84.57931034 61.42068966],0
r2,1,0.003082,8.758096,[134   8] ; [120  24],[126.11188811  15.88811189] ; [127.88811189  16.11188811],0
v3,1,0.006592,7.380776,[62 82] ; [ 39 102],[51.03157895 92.96842105] ; [49.96842105 91.03157895],0
r4,1,0.009024,6.8181,[128  16] ; [113  33],[119.66896552  24.33103448] ; [121.33103448  24.66896552],0
r3,1,0.012203,6.281182,[135   8] ; [124  21],[128.60069444  14.39930556] ; [130.39930556  14.60069444],0
p9,1,0.020546,5.364873,[117  25] ; [99 41],[108.76595745  33.23404255] ; [107.23404255  32.76595745],0
n1,1,0.031881,4.604897,[16  7] ; [18 25],[11.84848485 11.15151515] ; [22.15151515 20.84848485],0
p10,1,0.033055,4.542915,[111  29] ; [96 45],[103.1316726  36.8683274] ; [103.8683274  37.1316726],0
p11,1,0.035085,4.441056,[116  28] ; [102  44],[108.24827586  35.75172414] ; [109.75172414  36.24827586],0
p6,1,0.03871,4.27353,[54 85] ; [ 39 104],[45.84042553 93.15957447] ; [47.15957447 95.84042553],0
u3,1,0.041577,4.152332,[31 23] ; [26 41],[25.43801653 28.56198347] ; [31.56198347 35.43801653],0
r1,1,0.042386,4.119736,[112  32] ; [98 48],[104.27586207  39.72413793] ; [105.72413793  40.27586207],0
p4,1,0.044285,4.04568,[80 62] ; [64 80],[71.4965035 70.5034965] ; [72.5034965 71.4965035],0
s7,1,0.045078,4.015736,[68 65] ; [53 83],[59.82527881 73.17472119] ; [61.17472119 74.82527881],0
n6,1,0.054201,3.7065,[123  19] ; [113  32],[116.76655052  25.23344948] ; [119.23344948  25.76655052],0
p2,1,0.055938,3.653915,[118  23] ; [108  37],[111.41958042  29.58041958] ; [114.58041958  30.41958042],0
a2,1,0.059304,3.556746,[ 14 130] ; [  6 140],[  9.93103448 134.06896552] ; [ 10.06896552 135.93103448],0
s2,1,0.06989,3.285596,[67 73] ; [54 91],[59.43859649 80.56140351] ; [61.56140351 83.43859649],0
s6,1,0.080382,3.057154,[94 44] ; [83 60],[86.9252669 51.0747331] ; [90.0747331 52.9252669],0
v4,1,0.088492,2.901596,[132  10] ; [126  19],[127.65156794  14.34843206] ; [130.34843206  14.65156794],0
