Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.009991,6.636546,[46 94] ; [13  8],[51.30434783 88.69565217] ; [ 7.69565217 13.30434783],0
s5,1,0.011957,6.317245,[ 27 110] ; [ 9 11],[ 31.41401274 105.58598726] ; [ 4.58598726 15.41401274],0
s6,1,0.023413,5.137633,[47 92] ; [12  8],[51.57861635 87.42138365] ; [ 7.42138365 12.57861635],0
b5,1,0.032815,4.555405,[76 66] ; [ 6 15],[71.43558282 70.56441718] ; [10.56441718 10.43558282],0
b3,1,0.05122,3.801077,[39 45] ; [ 2 10],[35.875 48.125] ; [5.125 6.875],0
b2,1,0.05122,3.801077,[39 45] ; [ 2 10],[35.875 48.125] ; [5.125 6.875],0
p7,1,0.062377,3.47302,[69 70] ; [15  6],[72.975 66.025] ; [11.025  9.975],0
d3,1,0.098227,2.734098,[48 94] ; [11 10],[51.39877301 90.60122699] ; [ 7.60122699 13.39877301],0
v4,1,0.111907,2.527081,[119  22] ; [14  6],[116.47826087  24.52173913] ; [16.52173913  3.47826087],0
s7,1,0.119766,2.420375,[ 30 104] ; [ 8 13],[ 32.8516129 101.1483871] ; [ 5.1483871 15.8516129],0
p6,1,0.130953,2.28117,[ 31 105] ; [ 8 13],[ 33.78343949 102.21656051] ; [ 5.21656051 15.78343949],0
a4,1,0.19047,1.71398,[54 86] ; [ 5 16],[51.30434783 88.69565217] ; [ 7.69565217 13.30434783],0
s3,1,0.213355,1.548511,[ 35 104] ; [ 8 13],[ 37.35625 101.64375] ; [ 5.64375 15.35625],0
n6,1,0.219526,1.507466,[106  36] ; [13  8],[103.66871166  38.33128834] ; [15.33128834  5.66871166],0
u3,1,0.258144,1.278684,[19 41] ; [5 5],[20.57142857 39.42857143] ; [3.42857143 6.57142857],0
b4,1,0.288356,1.127284,[85 57] ; [10 11],[82.7607362 59.2392638] ; [12.2392638  8.7607362],0
n4,1,0.315504,1.007494,[103  39] ; [13  8],[101.05521472  40.94478528] ; [14.94478528  6.05521472],0
v1,1,0.364538,0.822199,[54 85] ; [ 6 15],[52.125 86.875] ; [ 7.875 13.125],0
p10,1,0.384794,0.75533,[85 53] ; [15  6],[86.79245283 51.20754717] ; [13.20754717  7.79245283],0
p1,1,0.387917,0.745462,[ 12 130] ; [ 3 18],[ 13.06748466 128.93251534] ; [ 1.93251534 19.06748466],0
p5,1,0.399746,0.709091,[ 15 126] ; [ 1 20],[ 13.92592593 127.07407407] ; [ 2.07407407 18.92592593],0
v3,1,0.427669,0.629146,[39 98] ; [ 4 16],[37.52229299 99.47770701] ; [ 5.47770701 14.52229299],0
p8,1,0.444486,0.584675,[54 85] ; [10 11],[55.6 83.4] ; [ 8.4 12.6],0
d2,1,0.52681,0.400541,[63 77] ; [11 10],[64.34782609 75.65217391] ; [ 9.65217391 11.34782609],0
r2,1,0.574154,0.315781,[118  21] ; [16  4],[117.14465409  21.85534591] ; [16.85534591  3.14465409],0
r1,1,0.581428,0.303932,[90 52] ; [12  9],[88.85889571 53.14110429] ; [13.14110429  7.85889571],0
p4,1,0.585086,0.298084,[57 81] ; [10 11],[58.1509434 79.8490566] ; [ 8.8490566 12.1509434],0
a6,1,0.588541,0.292629,[63 79] ; [ 8 13],[61.85276074 80.14723926] ; [ 9.14723926 11.85276074],0
s8,1,0.61675,0.250462,[ 27 114] ; [ 5 16],[ 27.85185185 113.14814815] ; [ 4.14814815 16.85185185],0
a3,1,0.617563,0.249308,[82 59] ; [11 10],[80.94444444 60.05555556] ; [12.05555556  8.94444444],0
v2,1,0.620737,0.244833,[53 83] ; [ 7 14],[51.97452229 84.02547771] ; [ 8.02547771 12.97452229],0
r3,1,0.663212,0.189645,[114  28] ; [16  5],[113.25153374  28.74846626] ; [16.74846626  4.25153374],0
p9,1,0.684168,0.165472,[98 40] ; [14  7],[97.20754717 40.79245283] ; [14.79245283  6.20754717],0
n3,1,0.700717,0.147727,[30 14] ; [6 2],[30.46153846 13.53846154] ; [5.53846154 2.46153846],0
p2,1,0.776317,0.080725,[95 44] ; [15  6],[95.5625 43.4375] ; [14.4375  6.5625],0
p11,1,0.777142,0.080115,[99 43] ; [14  7],[98.44171779 43.55828221] ; [14.55828221  6.44171779],0
s1,1,0.783136,0.075754,[  5 136] ; [ 1 20],[  5.22222222 135.77777778] ; [ 0.77777778 20.22222222],0
p12,1,0.793422,0.068576,[  5 134] ; [ 1 20],[  5.2125 133.7875] ; [ 0.7875 20.2125],0
u2,1,0.810371,0.057575,[26 33] ; [4 6],[25.65217391 33.34782609] ; [4.34782609 5.65217391],0
n1,1,0.817745,0.053106,[16 32] ; [3 5],[16.28571429 31.71428571] ; [2.71428571 5.28571429],0
n2,1,0.817745,0.053106,[32 16] ; [5 3],[31.71428571 16.28571429] ; [5.28571429 2.71428571],0
d4,1,0.848934,0.036282,[91 50] ; [14  7],[91.38888889 49.61111111] ; [13.61111111  7.38888889],0
b1,1,0.885928,0.02058,[70 72] ; [10 11],[69.69325153 72.30674847] ; [10.30674847 10.69325153],0
a5,1,0.909677,0.01287,[83 59] ; [12  9],[82.7607362 59.2392638] ; [12.2392638  8.7607362],0
r4,1,0.924788,0.008912,[100  42] ; [15  6],[100.18404908  41.81595092] ; [14.81595092  6.18404908],0
d5,1,0.955369,0.003132,[87 55] ; [13  8],[87.11656442 54.88343558] ; [12.88343558  8.11656442],0
n5,1,0.984672,0.000369,[101  40] ; [15  6],[100.96296296  40.03703704] ; [15.03703704  5.96296296],0
d1,1,0.995285,3.5e-05,[54 88] ; [ 8 13],[54.01226994 87.98773006] ; [ 7.98773006 13.01226994],0
