Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,39.09676,[54 89] ; [122  45],[81.18709677 61.81290323] ; [94.81290323 72.18709677],1
p4,1,1.4e-05,18.936992,[68 84] ; [115  52],[87.19749216 64.80250784] ; [95.80250784 71.19749216],1
v3,1,3e-05,17.434855,[ 33 116] ; [73 91],[50.4600639 98.5399361] ; [ 55.5399361 108.4600639],1
n5,1,0.000286,13.160139,[93 57] ; [135  33],[107.54716981  42.45283019] ; [120.45283019  47.54716981],1
r1,1,0.000468,12.238001,[101  51] ; [140  28],[114.475  37.525] ; [126.525  41.475],1
p3,1,0.000485,12.171908,[55 97] ; [93 74],[70.52037618 81.47962382] ; [77.47962382 89.52037618],1
p6,1,0.001122,10.614967,[ 37 113] ; [69 95],[50.63694268 99.36305732] ; [ 55.36305732 108.63694268],0
p9,1,0.001184,10.515066,[119  32] ; [153  14],[129.1572327  21.8427673] ; [142.8427673  24.1572327],0
u1,1,0.00129,10.356326,[ 11 141] ; [ 33 135],[ 20.9 131.1] ; [ 23.1 144.9],0
p10,1,0.004245,8.175824,[113  38] ; [145  21],[122.89589905  28.10410095] ; [135.10410095  30.89589905],0
p7,1,0.006009,7.547473,[81 70] ; [114  52],[92.88643533 58.11356467] ; [102.11356467  63.88643533],0
a5,1,0.007374,7.179425,[99 53] ; [132  36],[109.725  42.275] ; [121.275  46.725],0
b5,1,0.007456,7.15978,[79 73] ; [112  56],[90.725 61.275] ; [100.275  67.725],0
s6,1,0.010088,6.619242,[53 97] ; [82 83],[64.28571429 85.71428571] ; [70.71428571 94.28571429],0
n4,1,0.01018,6.60311,[102  50] ; [134  34],[112.1  39.9] ; [123.9  44.1],0
p2,1,0.012423,6.24951,[117  34] ; [147  20],[125.35849057  25.64150943] ; [138.64150943  28.35849057],0
a2,1,0.018151,5.581508,[ 19 133] ; [ 38 130],[ 27.075 124.925] ; [ 29.925 138.075],0
p8,1,0.020381,5.378997,[73 77] ; [100  62],[83.17307692 66.82692308] ; [89.82692308 72.17307692],0
d1,1,0.022277,5.223992,[72 80] ; [101  67],[82.175 69.825] ; [90.825 77.175],0
d5,1,0.025166,5.012404,[111  41] ; [140  28],[119.225  32.775] ; [131.775  36.225],0
r4,1,0.039498,4.23934,[128  24] ; [154  14],[133.95  18.05] ; [148.05  19.95],0
v4,1,0.059715,3.545286,[139  13] ; [162   6],[142.975   9.025] ; [158.025   9.975],0
b3,1,0.060764,3.516405,[24 57] ; [48 64],[30.21761658 50.78238342] ; [41.78238342 70.21761658],0
b2,1,0.060764,3.516405,[24 57] ; [48 64],[30.21761658 50.78238342] ; [41.78238342 70.21761658],0
a3,1,0.067155,3.351235,[91 61] ; [117  51],[98.8 53.2] ; [109.2  58.8],0
s8,1,0.070555,3.270054,[ 31 120] ; [ 49 118],[ 37.98742138 113.01257862] ; [ 42.01257862 124.98742138],0
u3,1,0.097078,2.75291,[27 33] ; [31 20],[31.35135135 28.64864865] ; [26.64864865 24.35135135],0
s7,1,0.101135,2.68755,[ 32 113] ; [ 48 110],[ 38.28382838 106.71617162] ; [ 41.71617162 116.28382838],0
s1,1,0.138269,2.197117,[  4 146] ; [  1 167],[  2.35849057 147.64150943] ; [  2.64150943 165.35849057],0
d4,1,0.145939,2.114193,[113  38] ; [137  31],[118.33855799  32.66144201] ; [131.66144201  36.33855799],0
a6,1,0.14899,2.082558,[100  52] ; [123  45],[105.925  46.075] ; [117.075  50.925],0
d2,1,0.167184,1.908018,[59 91] ; [79 89],[65.09433962 84.90566038] ; [72.90566038 95.09433962],0
a4,1,0.175108,1.838663,[56 96] ; [74 93],[61.94357367 90.05642633] ; [68.05642633 98.94357367],0
a1,1,0.175347,1.836626,[  8 144] ; [  4 164],[  5.7 146.3] ; [  6.3 161.7],0
a7,1,0.177204,1.820916,[102  49] ; [125  43],[107.45141066  43.54858934] ; [119.54858934  48.45141066],0
d3,1,0.214749,1.539121,[94 58] ; [115  53],[99.275 52.725] ; [109.725  58.275],0
r2,1,0.227007,1.459515,[132  19] ; [152  14],[135.2807571  15.7192429] ; [148.7192429  17.2807571],0
s2,1,0.282997,1.152639,[ 15 136] ; [ 23 143],[ 18.10094637 132.89905363] ; [ 19.89905363 146.10094637],0
a8,1,0.378344,0.776077,[ 16 127] ; [ 21 122],[ 18.5 124.5] ; [ 18.5 124.5],0
n6,1,0.383869,0.758275,[126  25] ; [146  22],[128.7523511  22.2476489] ; [143.2476489  24.7523511],0
b4,1,0.435499,0.608114,[83 69] ; [99 69],[86.45 65.55] ; [95.55 72.45],0
p5,1,0.456893,0.553496,[ 15 137] ; [ 21 147],[ 17.1 134.9] ; [ 18.9 149.1],0
r3,1,0.471213,0.51913,[142   9] ; [160   7],[143.40251572   7.59748428] ; [158.59748428   8.40251572],0
n1,1,0.515076,0.423742,[14 35] ; [10 18],[15.27272727 33.72727273] ; [ 8.72727273 19.27272727],0
n2,1,0.56223,0.335859,[33 15] ; [21  7],[34.10526316 13.89473684] ; [19.89473684  8.10526316],0
s4,1,0.59571,0.281515,[ 13 138] ; [ 17 147],[ 14.38095238 136.61904762] ; [ 15.61904762 148.38095238],0
u4,1,0.621531,0.243722,[  1 151] ; [  2 166],[  1.425 150.575] ; [  1.575 166.425],0
p1,1,0.767484,0.087419,[ 14 137] ; [ 14 154],[ 13.2539185 137.7460815] ; [ 14.7460815 153.2539185],0
n3,1,0.805037,0.060927,[35 14] ; [20  7],[35.46052632 13.53947368] ; [19.53947368  7.46052632],0
s5,1,0.847645,0.036912,[ 32 119] ; [ 36 127],[ 32.70063694 118.29936306] ; [ 35.29936306 127.70063694],0
b1,1,0.943381,0.005044,[ 51 101] ; [ 57 111],[ 51.3 100.7] ; [ 56.7 111.3],0
p12,1,0.949945,0.003941,[  8 144] ; [  9 157],[  8.12578616 143.87421384] ; [  8.87421384 157.12578616],0
u2,1,0.991745,0.000107,[33 27] ; [28 23],[32.97297297 27.02702703] ; [28.02702703 22.97297297],0
