Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-05,19.444444,[ 2 13] ; [28  7],[9. 6.] ; [21. 14.],1
p2,1,0.054292,3.703704,[8 7] ; [28  7],[10.8  4.2] ; [25.2  9.8],0
p11,1,0.215793,1.532128,[8 7] ; [25 10],[9.9 5.1] ; [23.1 11.9],0
b1,1,0.528733,0.396825,[7 8] ; [13 22],[6. 9.] ; [14. 21.],0
