Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4e-06,21.338246,[26 26] ; [106  21],[38.34636872 13.65363128] ; [93.65363128 33.34636872],1
p8,1,4e-06,21.210309,[20 31] ; [96 31],[33.23595506 17.76404494] ; [82.76404494 44.23595506],1
p3,1,7e-06,20.187251,[19 33] ; [92 35],[32.24581006 19.75418994] ; [78.75418994 48.24581006],1
p6,1,9e-06,19.821569,[13 37] ; [79 46],[26.28571429 23.71428571] ; [65.71428571 59.28571429],1
p7,1,4.3e-05,16.755263,[28 22] ; [107  19],[38.35227273 11.64772727] ; [96.64772727 29.35227273],1
d1,1,0.000216,13.683764,[26 26] ; [99 28],[36.31284916 15.68715084] ; [88.68715084 38.31284916],1
p2,1,0.00188,9.66315,[39 13] ; [117  10],[45.31843575  6.68156425] ; [110.68156425  16.31843575],0
v3,1,0.002201,9.374174,[17 34] ; [74 52],[26.22033898 24.77966102] ; [64.77966102 61.22033898],0
p5,1,0.002924,8.854453,[ 5 47] ; [39 88],[12.78212291 39.21787709] ; [31.21787709 95.78212291],0
n6,1,0.006434,7.424528,[40 11] ; [116   9],[45.20454545  5.79545455] ; [110.79545455  14.20454545],0
s7,1,0.008751,6.872916,[27 25] ; [87 33],[34.46511628 17.53488372] ; [79.53488372 40.46511628],0
u1,1,0.034321,4.478635,[ 7 45] ; [36 91],[12.49162011 39.50837989] ; [30.50837989 96.49162011],0
a7,1,0.054488,3.697679,[30 22] ; [92 35],[35.44134078 16.55865922] ; [86.55865922 40.44134078],0
d5,1,0.065583,3.390253,[43  9] ; [116  10],[46.4494382  5.5505618] ; [112.5505618  13.4494382],0
b5,1,0.07422,3.187145,[35 17] ; [67 60],[29.63128492 22.36871508] ; [72.36871508 54.63128492],0
n4,1,0.0757,3.154881,[38 13] ; [108  18],[42.06779661  8.93220339] ; [103.93220339  22.06779661],0
s8,1,0.095298,2.782524,[30 22] ; [89 37],[34.76404494 17.23595506] ; [84.23595506 41.76404494],0
n5,1,0.102264,2.669883,[39 12] ; [109  17],[42.6440678  8.3559322] ; [105.3559322  20.6440678],0
p11,1,0.111641,2.530834,[38 14] ; [106  21],[41.83240223 10.16759777] ; [102.16759777  24.83240223],0
a2,1,0.136476,2.217244,[11 41] ; [41 86],[15.10614525 36.89385475] ; [36.89385475 90.10614525],0
a8,1,0.152836,2.043711,[10 37] ; [ 15 105],[ 7.03592814 39.96407186] ; [ 17.96407186 102.03592814],0
b2,1,0.175544,1.83495,[18 13] ; [35 45],[14.8018018 16.1981982] ; [38.1981982 41.8018018],0
b3,1,0.175544,1.83495,[18 13] ; [35 45],[14.8018018 16.1981982] ; [38.1981982 41.8018018],0
v2,1,0.215212,1.536017,[29 20] ; [87 39],[32.48 16.52] ; [83.52 42.48],0
a6,1,0.230177,1.43977,[28 23] ; [82 45],[31.51685393 19.48314607] ; [78.48314607 48.51685393],0
p9,1,0.242185,1.36783,[46  6] ; [118   8],[47.91011236  4.08988764] ; [116.08988764   9.91011236],0
d4,1,0.242185,1.36783,[46  6] ; [118   8],[47.91011236  4.08988764] ; [116.08988764   9.91011236],0
p10,1,0.254079,1.300734,[45  7] ; [116  10],[47.03370787  4.96629213] ; [113.96629213  12.03370787],0
a1,1,0.327944,0.956999,[ 2 50] ; [ 10 117],[ 3.48603352 48.51396648] ; [  8.51396648 118.48603352],0
