Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,25.07326,[23  3] ; [ 1 13],[15.6 10.4] ; [8.4 5.6],1
r1,1,0.002063,9.492576,[23  3] ; [6 8],[18.85  7.15] ; [10.15  3.85],0
s8,1,0.016743,5.723095,[11 14] ; [ 1 13],[ 7.69230769 17.30769231] ; [4.30769231 9.69230769],0
p11,1,0.021411,5.29304,[19  7] ; [5 9],[15.6 10.4] ; [8.4 5.6],0
s7,1,0.051612,3.788308,[16  9] ; [4 9],[13.15789474 11.84210526] ; [6.84210526 6.15789474],0
v1,1,0.107102,2.596467,[13 13] ; [ 3 10],[10.66666667 15.33333333] ; [5.33333333 7.66666667],0
u2,1,0.129392,2.299784,[5 5] ; [1 6],[3.52941176 6.47058824] ; [2.47058824 4.52941176],0
r4,1,0.141936,2.15684,[22  4] ; [9 5],[20.15  5.85] ; [10.85  3.15],0
p2,1,0.144424,2.130178,[19  7] ; [7 7],[16.9  9.1] ; [9.1 4.9],0
n3,1,0.164264,1.934524,[6 1] ; [3 3],[4.84615385 2.15384615] ; [4.15384615 1.84615385],0
s2,1,0.169228,1.889773,[17  9] ; [6 8],[14.95 11.05] ; [8.05 5.95],0
s3,1,0.169473,1.8876,[18  7] ; [7 7],[16.02564103  8.97435897] ; [8.97435897 5.02564103],0
b1,1,0.184844,1.758242,[15 11] ; [5 9],[13. 13.] ; [7. 7.],0
b4,1,0.192884,1.695447,[20  6] ; [8 6],[18.2  7.8] ; [9.8 4.2],0
v4,1,0.210228,1.569859,[24  2] ; [11  3],[22.75  3.25] ; [12.25  1.75],0
r2,1,0.231836,1.429561,[25  1] ; [12  2],[24.05  1.95] ; [12.95  1.05],0
v3,1,0.237923,1.392857,[11 15] ; [ 3 10],[ 9.33333333 16.66666667] ; [4.66666667 8.33333333],0
u3,1,0.279642,1.168831,[6 5] ; [2 5],[4.88888889 6.11111111] ; [3.11111111 3.88888889],0
a4,1,0.386362,0.750361,[13 13] ; [5 9],[11.7 14.3] ; [6.3 7.7],0
s4,1,0.393231,0.728926,[ 6 20] ; [5 9],[ 7.15 18.85] ; [ 3.85 10.15],0
b3,1,0.399075,0.711111,[ 6 14] ; [ 2 10],[ 5. 15.] ; [3. 9.],0
b2,1,0.399075,0.711111,[ 6 14] ; [ 2 10],[ 5. 15.] ; [3. 9.],0
r3,1,0.427392,0.629899,[21  4] ; [13  1],[21.79487179  3.20512821] ; [12.20512821  1.79487179],0
v2,1,0.430869,0.620481,[14 11] ; [6 8],[12.82051282 12.17948718] ; [7.17948718 6.82051282],0
p7,1,0.430869,0.620481,[14 11] ; [6 8],[12.82051282 12.17948718] ; [7.17948718 6.82051282],0
a6,1,0.507335,0.43956,[14 12] ; [6 8],[13. 13.] ; [7. 7.],0
n6,1,0.528009,0.398222,[18  8] ; [11  3],[18.85  7.15] ; [10.15  3.85],0
p1,1,0.53482,0.385224,[ 2 23] ; [ 2 12],[ 2.56410256 22.43589744] ; [ 1.43589744 12.56410256],0
p3,1,0.607565,0.263736,[ 9 17] ; [6 8],[ 9.75 16.25] ; [5.25 8.75],0
a5,1,0.607565,0.263736,[17  9] ; [8 6],[16.25  9.75] ; [8.75 5.25],0
d1,1,0.640905,0.21756,[11 15] ; [7 7],[11.7 14.3] ; [6.3 7.7],0
a1,1,0.648172,0.208213,[ 1 25] ; [ 1 13],[ 1.3 24.7] ; [ 0.7 13.3],0
a2,1,0.694618,0.154132,[ 5 21] ; [ 2 12],[ 4.55 21.45] ; [ 2.45 11.55],0
p6,1,0.694618,0.154132,[ 5 21] ; [ 2 12],[ 4.55 21.45] ; [ 2.45 11.55],0
d5,1,0.701883,0.14652,[19  7] ; [11  3],[19.5  6.5] ; [10.5  3.5],0
p9,1,0.769324,0.086001,[10 13] ; [5 8],[ 9.58333333 13.41666667] ; [5.41666667 7.58333333],0
n1,1,0.796762,0.066327,[3 4] ; [3 3],[3.23076923 3.76923077] ; [2.76923077 3.23076923],0
a3,1,0.819382,0.052139,[15 11] ; [7 6],[14.66666667 11.33333333] ; [7.33333333 5.66666667],0
d3,1,0.841559,0.03996,[14 12] ; [8 6],[14.3 11.7] ; [7.7 6.3],0
b5,1,0.864079,0.029304,[16 10] ; [9 5],[16.25  9.75] ; [8.75 5.25],0
a7,1,0.904587,0.014368,[13 12] ; [7 7],[12.82051282 12.17948718] ; [7.17948718 6.82051282],0
s6,1,0.915595,0.011233,[20  5] ; [11  3],[19.87179487  5.12820513] ; [11.12820513  2.87179487],0
u1,1,0.926033,0.008619,[ 4 22] ; [ 2 12],[ 3.9 22.1] ; [ 2.1 11.9],0
d2,1,0.944955,0.004767,[14 11] ; [8 6],[14.1025641 10.8974359] ; [7.8974359 6.1025641],0
s1,1,0.949823,0.00396,[ 2 24] ; [ 1 13],[ 1.95 24.05] ; [ 1.05 12.95],0
p8,1,0.968868,0.001523,[ 7 17] ; [ 4 10],[ 6.94736842 17.05263158] ; [4.05263158 9.94736842],0
p4,1,1.0,0.0,[13 13] ; [7 7],[13. 13.] ; [7. 7.],0
