Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,9.8e-05,15.171804,[ 4 32] ; [13  9],[10.55172414 25.44827586] ; [ 6.44827586 15.55172414],1
p4,1,0.000124,14.724824,[ 3 32] ; [12 10],[ 9.21052632 25.78947368] ; [ 5.78947368 16.21052632],1
p7,1,0.000169,14.150749,[ 4 30] ; [13  9],[10.32142857 23.67857143] ; [ 6.67857143 15.32142857],1
p9,1,0.00063,11.686017,[ 8 25] ; [15  6],[14.05555556 18.94444444] ; [ 8.94444444 12.05555556],1
p10,1,0.000685,11.529971,[ 8 27] ; [15  7],[14.12280702 20.87719298] ; [ 8.87719298 13.12280702],1
p3,1,0.00302,8.795487,[ 4 32] ; [10 12],[ 8.68965517 27.31034483] ; [ 5.31034483 16.68965517],0
v4,1,0.014301,6.000612,[16 20] ; [17  5],[20.48275862 15.51724138] ; [12.51724138  9.48275862],0
s5,1,0.01995,5.416263,[ 2 34] ; [ 6 16],[ 4.96551724 31.03448276] ; [ 3.03448276 18.96551724],0
u2,1,0.023851,5.105455,[ 3 12] ; [7 4],[5.76923077 9.23076923] ; [4.23076923 6.76923077],0
n4,1,0.032275,4.583841,[25 11] ; [ 9 13],[21.10344828 14.89655172] ; [12.89655172  9.10344828],0
p8,1,0.035409,4.425366,[ 6 29] ; [ 9 12],[ 9.375 25.625] ; [ 5.625 15.375],0
d1,1,0.064447,3.41909,[15 21] ; [ 4 18],[11.79310345 24.20689655] ; [ 7.20689655 14.79310345],0
a6,1,0.07866,3.092381,[20 16] ; [ 7 15],[16.75862069 19.24137931] ; [10.24137931 11.75862069],0
s6,1,0.082389,3.01713,[ 5 31] ; [ 7 14],[ 7.57894737 28.42105263] ; [ 4.42105263 16.57894737],0
v1,1,0.088957,2.893152,[ 6 30] ; [ 8 14],[ 8.68965517 27.31034483] ; [ 5.31034483 16.68965517],0
s3,1,0.105793,2.615975,[ 7 27] ; [ 1 20],[ 4.94545455 29.05454545] ; [ 3.05454545 17.94545455],0
a7,1,0.119378,2.425469,[19 17] ; [ 7 15],[16.13793103 19.86206897] ; [ 9.86206897 12.13793103],0
b3,1,0.12011,2.415883,[13 16] ; [2 9],[10.875 18.125] ; [4.125 6.875],0
b2,1,0.12011,2.415883,[13 16] ; [2 9],[10.875 18.125] ; [4.125 6.875],0
s4,1,0.122951,2.379318,[ 3 33] ; [ 5 17],[ 4.96551724 31.03448276] ; [ 3.03448276 18.96551724],0
n5,1,0.129257,2.301407,[28  8] ; [13  9],[25.44827586 10.55172414] ; [15.55172414  6.44827586],0
a2,1,0.169145,1.890502,[ 6 30] ; [ 1 21],[ 4.34482759 31.65517241] ; [ 2.65517241 19.34482759],0
s7,1,0.176052,1.830644,[ 4 30] ; [ 5 14],[ 5.77358491 28.22641509] ; [ 3.22641509 15.77358491],0
n6,1,0.197399,1.661513,[13 22] ; [12 10],[15.35087719 19.64912281] ; [ 9.64912281 12.35087719],0
n1,1,0.207656,1.587696,[11  8] ; [5 9],[9.21212121 9.78787879] ; [6.78787879 7.21212121],0
d2,1,0.212342,1.555387,[17 18] ; [ 7 15],[14.73684211 20.26315789] ; [ 9.26315789 12.73684211],0
b1,1,0.268406,1.224874,[21 15] ; [16  6],[22.96551724 13.03448276] ; [14.03448276  7.96551724],0
p5,1,0.281841,1.158189,[ 3 32] ; [ 4 18],[ 4.29824561 30.70175439] ; [ 2.70175439 19.29824561],0
a4,1,0.288918,1.124658,[14 20] ; [ 6 16],[12.14285714 21.85714286] ; [ 7.85714286 14.14285714],0
p12,1,0.292173,1.109581,[ 1 35] ; [ 2 20],[ 1.86206897 34.13793103] ; [ 1.13793103 20.86206897],0
