Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-05,18.227053,[52  9] ; [11 16],[43.67045455 17.32954545] ; [19.32954545  7.67045455],1
n6,1,7.1e-05,15.777219,[56  5] ; [15 12],[49.21590909 11.78409091] ; [21.78409091  5.21590909],1
v3,1,0.001527,10.046169,[31 27] ; [ 4 21],[24.45783133 33.54216867] ; [10.54216867 14.45783133],0
p11,1,0.00344,8.557782,[50 11] ; [14 13],[44.36363636 16.63636364] ; [19.63636364  7.36363636],0
v1,1,0.003768,8.392265,[36 23] ; [ 7 19],[29.84705882 29.15294118] ; [13.15294118 12.84705882],0
p7,1,0.023384,5.13977,[41 19] ; [11 15],[36.27906977 23.72093023] ; [15.72093023 10.27906977],0
p5,1,0.032602,4.566546,[13 46] ; [ 1 26],[ 9.60465116 49.39534884] ; [ 4.39534884 22.60465116],0
p10,1,0.044853,4.024155,[52  8] ; [17  8],[48.70588235 11.29411765] ; [20.29411765  4.70588235],0
a3,1,0.056949,3.624091,[36 25] ; [10 17],[31.88636364 29.11363636] ; [14.11363636 12.88636364],0
r4,1,0.06655,3.36612,[56  5] ; [21  6],[53.375  7.625] ; [23.625  3.375],0
p9,1,0.068218,3.325386,[52  9] ; [17  8],[48.94186047 12.05813953] ; [20.05813953  4.94186047],0
v2,1,0.10046,2.698229,[34 23] ; [10 15],[30.58536585 26.41463415] ; [13.41463415 11.58536585],0
d2,1,0.107803,2.586142,[19 42] ; [ 4 23],[15.94318182 45.05681818] ; [ 7.05681818 19.94318182],0
u3,1,0.124025,2.365736,[15 10] ; [14  3],[17.26190476  7.73809524] ; [11.73809524  5.26190476],0
a7,1,0.14027,2.175,[37 23] ; [21  6],[40. 20.] ; [18.  9.],0
r3,1,0.143268,2.142498,[59  2] ; [24  3],[57.53409091  3.46590909] ; [25.46590909  1.53409091],0
a4,1,0.148276,2.089895,[15 46] ; [ 3 24],[12.47727273 48.52272727] ; [ 5.52272727 21.47727273],0
p3,1,0.167562,1.904625,[30 31] ; [ 9 18],[27.03409091 33.96590909] ; [11.96590909 15.03409091],0
d1,1,0.195866,1.672936,[27 34] ; [ 8 19],[24.26136364 36.73863636] ; [10.73863636 16.26136364],0
p4,1,0.215036,1.537195,[38 23] ; [13 14],[35.35227273 25.64772727] ; [15.64772727 11.35227273],0
s4,1,0.229715,1.442623,[13 48] ; [ 9 18],[15.25 45.75] ; [ 6.75 20.25],0
p6,1,0.23535,1.408234,[25 33] ; [ 8 19],[22.51764706 35.48235294] ; [10.48235294 16.51764706],0
d3,1,0.285516,1.140647,[39 22] ; [14 13],[36.73863636 24.26136364] ; [16.26136364 10.73863636],0
r1,1,0.327824,0.957473,[46 14] ; [18  9],[44.13793103 15.86206897] ; [19.86206897  7.13793103],0
p12,1,0.347096,0.884047,[ 6 55] ; [ 1 25],[ 4.90804598 56.09195402] ; [ 2.09195402 23.90804598],0
d4,1,0.395714,0.721311,[46 15] ; [18  9],[44.36363636 16.63636364] ; [19.63636364  7.36363636],0
a6,1,0.403431,0.698075,[28 33] ; [15 12],[29.80681818 31.19318182] ; [13.19318182 13.80681818],0
s3,1,0.42198,0.644793,[47 13] ; [19  8],[45.51724138 14.48275862] ; [20.48275862  6.51724138],0
b3,1,0.429314,0.624679,[12 31] ; [ 2 10],[10.94545455 32.05454545] ; [3.05454545 8.94545455],0
b2,1,0.429314,0.624679,[12 31] ; [ 2 10],[10.94545455 32.05454545] ; [3.05454545 8.94545455],0
p1,1,0.519551,0.414785,[10 51] ; [ 3 24],[ 9.01136364 51.98863636] ; [ 3.98863636 23.01136364],0
n2,1,0.550097,0.357143,[9 3] ; [5 3],[8.4 3.6] ; [5.6 2.4],0
n1,1,0.581989,0.30303,[6 6] ; [3 5],[5.4 6.6] ; [3.6 4.4],0
v4,1,0.582763,0.301789,[56  4] ; [26  1],[56.55172414  3.44827586] ; [25.44827586  1.55172414],0
p2,1,0.585873,0.296836,[49 12] ; [23  4],[49.90909091 11.09090909] ; [22.09090909  4.90909091],0
d5,1,0.604354,0.268478,[44 17] ; [18  9],[42.97727273 18.02272727] ; [19.02272727  7.97727273],0
b4,1,0.606296,0.265604,[33 28] ; [13 14],[31.88636364 29.11363636] ; [14.11363636 12.88636364],0
p8,1,0.63039,0.231532,[35 26] ; [14 13],[33.96590909 27.03409091] ; [15.03409091 11.96590909],0
b1,1,0.653106,0.202007,[28 33] ; [11 16],[27.03409091 33.96590909] ; [11.96590909 15.03409091],0
r2,1,0.696049,0.152615,[54  5] ; [24  3],[53.51162791  5.48837209] ; [24.48837209  2.51162791],0
s6,1,0.748432,0.102853,[51 10] ; [21  5],[50.48275862 10.51724138] ; [21.51724138  4.48275862],0
u1,1,0.800882,0.063608,[ 3 58] ; [ 1 26],[ 2.77272727 58.22727273] ; [ 1.22727273 25.77272727],0
u2,1,0.823451,0.049777,[18  7] ; [11  5],[17.68292683  7.31707317] ; [11.31707317  4.68292683],0
n3,1,0.84822,0.03663,[8 4] ; [5 3],[7.8 4.2] ; [5.2 2.8],0
s2,1,0.877654,0.023699,[41 19] ; [18  9],[40.68965517 19.31034483] ; [18.31034483  8.68965517],0
b5,1,0.90176,0.015237,[37 24] ; [16 11],[36.73863636 24.26136364] ; [16.26136364 10.73863636],0
s7,1,0.920397,0.009987,[41 16] ; [17  7],[40.81481481 16.18518519] ; [17.18518519  6.81481481],0
s5,1,0.920402,0.009985,[16 39] ; [ 7 18],[15.8125 39.1875] ; [ 7.1875 17.8125],0
