Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000735,11.398258,[65 18] ; [13 16],[57.80357143 25.19642857] ; [20.19642857  8.80357143],1
r4,1,0.000764,11.326728,[76  7] ; [19 10],[70.40178571 12.59821429] ; [24.59821429  4.40178571],1
n5,1,0.00083,11.172811,[66 17] ; [13 15],[59.07207207 23.92792793] ; [19.92792793  8.07207207],1
s8,1,0.001244,10.423172,[46 37] ; [ 6 23],[38.53571429 44.46428571] ; [13.46428571 15.53571429],0
p11,1,0.002254,9.329911,[65 18] ; [14 15],[58.54464286 24.45535714] ; [20.45535714  8.54464286],0
v4,1,0.002618,9.055945,[79  4] ; [22  7],[74.84821429  8.15178571] ; [26.15178571  2.84821429],0
s6,1,0.002695,9.003547,[57 25] ; [11 18],[50.23423423 31.76576577] ; [17.76576577 11.23423423],0
r3,1,0.009878,6.656846,[79  4] ; [23  6],[75.58928571  7.41071429] ; [26.41071429  2.58928571],0
p10,1,0.01902,5.499685,[73 10] ; [20  9],[68.91964286 14.08035714] ; [24.08035714  4.91964286],0
p4,1,0.049264,3.866331,[35 48] ; [ 6 22],[30.65765766 52.34234234] ; [10.34234234 17.65765766],0
r2,1,0.07162,3.245499,[77  5] ; [24  5],[74.61261261  7.38738739] ; [26.38738739  2.61261261],0
a6,1,0.075107,3.167729,[57 26] ; [14 14],[53.09009009 29.90990991] ; [17.90990991 10.09009009],0
s5,1,0.077416,3.118327,[27 51] ; [ 4 21],[23.47572816 54.52427184] ; [ 7.52427184 17.47572816],0
v2,1,0.077427,3.118094,[45 32] ; [10 16],[41.11650485 35.88349515] ; [13.88349515 12.11650485],0
d3,1,0.081355,3.037632,[54 29] ; [13 15],[50.0990991 32.9009009] ; [16.9009009 11.0990991],0
b1,1,0.09408,2.803143,[31 52] ; [16 13],[34.83035714 48.16964286] ; [12.16964286 16.83035714],0
p6,1,0.099097,2.720011,[25 58] ; [ 4 24],[21.68468468 61.31531532] ; [ 7.31531532 20.68468468],0
s4,1,0.116896,2.45842,[23 58] ; [ 4 25],[19.88181818 61.11818182] ; [ 7.11818182 21.88181818],0
u1,1,0.118113,2.44216,[16 67] ; [ 2 27],[13.33928571 69.66071429] ; [ 4.66071429 24.33928571],0
s7,1,0.163706,1.939658,[39 41] ; [ 9 18],[35.88785047 44.11214953] ; [12.11214953 14.88785047],0
a5,1,0.171607,1.868852,[60 23] ; [17 12],[57.0625 25.9375] ; [19.9375  9.0625],0
p12,1,0.180366,1.794604,[10 73] ; [ 1 28],[ 8.15178571 74.84821429] ; [ 2.84821429 26.15178571],0
a1,1,0.185215,1.755276,[ 5 78] ; [ 4 25],[ 6.66964286 76.33035714] ; [ 2.33035714 26.66964286],0
a8,1,0.228366,1.451007,[ 7 71] ; [ 5 24],[ 8.74766355 69.25233645] ; [ 3.25233645 25.74766355],0
s2,1,0.231582,1.431117,[44 37] ; [12 17],[41.23636364 39.76363636] ; [14.76363636 14.23636364],0
r1,1,0.245315,1.34979,[61 22] ; [18 11],[58.54464286 24.45535714] ; [20.45535714  8.54464286],0
s1,1,0.274695,1.19315,[ 4 78] ; [ 3 25],[ 5.21818182 76.78181818] ; [ 1.78181818 26.21818182],0
n3,1,0.280986,1.162315,[20  5] ; [9 5],[18.58974359  6.41025641] ; [10.41025641  3.58974359],0
p3,1,0.28862,1.126049,[32 51] ; [ 8 21],[29.64285714 53.35714286] ; [10.35714286 18.64285714],0
p5,1,0.289471,1.122078,[ 8 72] ; [ 1 27],[ 6.66666667 73.33333333] ; [ 2.33333333 25.66666667],0
a7,1,0.324911,0.969075,[57 26] ; [17 12],[54.83928571 28.16071429] ; [19.16071429  9.83928571],0
a3,1,0.38003,0.770606,[52 30] ; [21  8],[53.92792793 28.07207207] ; [19.07207207  9.92792793],0
d2,1,0.38437,0.756679,[40 42] ; [11 17],[38.01818182 43.98181818] ; [12.98181818 15.01818182],0
b3,1,0.423652,0.640164,[21 34] ; [ 5 13],[19.5890411 35.4109589] ; [ 6.4109589 11.5890411],0
b2,1,0.423652,0.640164,[21 34] ; [ 5 13],[19.5890411 35.4109589] ; [ 6.4109589 11.5890411],0
b4,1,0.42368,0.640086,[50 33] ; [15 14],[48.16964286 34.83035714] ; [16.83035714 12.16964286],0
d1,1,0.436952,0.604274,[47 36] ; [14 15],[45.20535714 37.79464286] ; [15.79464286 13.20535714],0
v1,1,0.495555,0.464443,[39 41] ; [12 17],[37.43119266 42.56880734] ; [13.56880734 15.43119266],0
a2,1,0.523242,0.407498,[19 64] ; [ 5 24],[17.78571429 65.21428571] ; [ 6.21428571 22.78571429],0
p1,1,0.53348,0.387758,[ 8 75] ; [ 4 25],[ 8.89285714 74.10714286] ; [ 3.10714286 25.89285714],0
p8,1,0.539267,0.376901,[25 58] ; [ 7 22],[23.71428571 59.28571429] ; [ 8.28571429 20.71428571],0
u2,1,0.581831,0.303283,[16 15] ; [5 3],[16.69230769 14.30769231] ; [4.30769231 3.69230769],0
u4,1,0.595893,0.281234,[ 5 78] ; [ 1 28],[ 4.44642857 78.55357143] ; [ 1.55357143 27.44642857],0
v3,1,0.608912,0.261762,[29 48] ; [ 8 17],[27.93137255 49.06862745] ; [ 9.06862745 15.93137255],0
b5,1,0.68304,0.166724,[55 28] ; [18 11],[54.09821429 28.90178571] ; [18.90178571 10.09821429],0
u3,1,0.696829,0.151792,[17 14] ; [5 3],[17.48717949 13.51282051] ; [4.51282051 3.48717949],0
a4,1,0.714145,0.134172,[40 42] ; [13 16],[39.15315315 42.84684685] ; [13.84684685 15.15315315],0
d5,1,0.74664,0.104376,[59 24] ; [19  9],[58.32432432 24.67567568] ; [19.67567568  8.32432432],0
n2,1,0.837716,0.04195,[22  3] ; [12  2],[21.79487179  3.20512821] ; [12.20512821  1.79487179],0
p7,1,0.862949,0.029798,[30 52] ; [10 16],[30.37037037 51.62962963] ; [ 9.62962963 16.37037037],0
d4,1,0.875357,0.024604,[61 22] ; [21  7],[61.31531532 21.68468468] ; [20.68468468  7.31531532],0
n1,1,0.904587,0.014368,[13 12] ; [7 7],[12.82051282 12.17948718] ; [7.17948718 6.82051282],0
s3,1,0.942869,0.005136,[42 38] ; [15 14],[41.83486239 38.16513761] ; [15.16513761 13.83486239],0
