Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.004891,7.919192,[ 5 10] ; [25  8],[9.375 5.625] ; [20.625 12.375],0
p8,1,0.086253,2.94295,[ 4 10] ; [ 3 30],[ 2.08510638 11.91489362] ; [ 4.91489362 28.08510638],0
p7,1,0.105645,2.618182,[6 9] ; [ 6 27],[ 3.75 11.25] ; [ 8.25 24.75],0
p2,1,0.13744,2.206389,[7 8] ; [ 8 24],[ 4.78723404 10.21276596] ; [10.21276596 21.78723404],0
d5,1,0.184156,1.763764,[6 9] ; [20 13],[8.125 6.875] ; [17.875 15.125],0
b3,1,0.184866,1.758063,[2 7] ; [11 12],[3.65625 5.34375] ; [ 9.34375 13.65625],0
b2,1,0.184866,1.758063,[2 7] ; [11 12],[3.65625 5.34375] ; [ 9.34375 13.65625],0
p11,1,0.189068,1.724864,[8 7] ; [11 22],[5.9375 9.0625] ; [13.0625 19.9375],0
a5,1,0.258559,1.276458,[6 9] ; [19 14],[7.8125 7.1875] ; [17.1875 15.8125],0
n1,1,0.293803,1.102114,[2 4] ; [11  8],[3.12 2.88] ; [9.88 9.12],0
n2,1,0.293803,1.102114,[2 4] ; [11  8],[3.12 2.88] ; [9.88 9.12],0
v3,1,0.29476,1.097751,[ 1 14] ; [ 6 27],[ 2.1875 12.8125] ; [ 4.8125 28.1875],0
v2,1,0.362299,0.82991,[ 2 13] ; [ 8 24],[ 3.19148936 11.80851064] ; [ 6.80851064 25.19148936],0
d1,1,0.392783,0.730309,[ 4 11] ; [13 20],[5.3125 9.6875] ; [11.6875 21.3125],0
d4,1,0.392783,0.730309,[11  4] ; [20 13],[9.6875 5.3125] ; [21.3125 11.6875],0
s7,1,0.399901,0.708624,[ 3 10] ; [ 4 27],[ 2.06818182 10.93181818] ; [ 4.93181818 26.06818182],0
s5,1,0.417235,0.658091,[ 2 13] ; [ 2 30],[ 1.27659574 13.72340426] ; [ 2.72340426 29.27659574],0
a6,1,0.459168,0.547921,[6 9] ; [17 16],[7.1875 7.8125] ; [15.8125 17.1875],0
s1,1,0.473453,0.513906,[ 3 12] ; [ 4 29],[ 2.1875 12.8125] ; [ 4.8125 28.1875],0
r1,1,0.508883,0.436364,[6 9] ; [10 23],[ 5. 10.] ; [11. 22.],0
r2,1,0.526168,0.401786,[7 8] ; [17 13],[8. 7.] ; [16. 14.],0
r3,1,0.539368,0.376712,[8 7] ; [14 18],[7.0212766 7.9787234] ; [14.9787234 17.0212766],0
a2,1,0.56637,0.328795,[ 1 14] ; [ 4 29],[ 1.5625 13.4375] ; [ 3.4375 29.5625],0
n6,1,0.575207,0.314047,[ 5 10] ; [13 18],[5.86956522 9.13043478] ; [12.13043478 18.86956522],0
s3,1,0.595082,0.282477,[ 5 10] ; [ 8 23],[ 4.23913043 10.76086957] ; [ 8.76086957 22.23913043],0
p10,1,0.605286,0.267097,[6 9] ; [10 21],[5.2173913 9.7826087] ; [10.7826087 20.2173913],0
a7,1,0.612531,0.256506,[8 7] ; [15 18],[7.1875 7.8125] ; [15.8125 17.1875],0
n3,1,0.615228,0.252632,[3 2] ; [ 9 10],[2.5 2.5] ; [9.5 9.5],0
b5,1,0.635696,0.224416,[7 8] ; [13 20],[6.25 8.75] ; [13.75 19.25],0
s4,1,0.65561,0.198901,[ 2 13] ; [ 3 30],[ 1.5625 13.4375] ; [ 3.4375 29.5625],0
d2,1,0.658545,0.195295,[6 9] ; [15 17],[6.70212766 8.29787234] ; [14.29787234 17.70212766],0
r4,1,0.676103,0.174545,[ 2 13] ; [ 6 27],[ 2.5 12.5] ; [ 5.5 27.5],0
p3,1,0.676103,0.174545,[ 2 13] ; [ 6 27],[ 2.5 12.5] ; [ 5.5 27.5],0
b4,1,0.687673,0.161616,[10  5] ; [20 13],[9.375 5.625] ; [20.625 12.375],0
a4,1,0.708318,0.139963,[6 9] ; [11 21],[5.42553191 9.57446809] ; [11.57446809 20.42553191],0
b1,1,0.783602,0.075421,[8 7] ; [19 14],[8.4375 6.5625] ; [18.5625 14.4375],0
p9,1,0.831002,0.045547,[6 9] ; [13 17],[6.33333333 8.66666667] ; [12.66666667 17.33333333],0
d3,1,0.874529,0.024935,[6 9] ; [14 19],[6.25 8.75] ; [13.75 19.25],0
p4,1,0.881087,0.022378,[ 3 12] ; [ 6 27],[ 2.8125 12.1875] ; [ 6.1875 26.8125],0
u2,1,0.891305,0.018674,[1 5] ; [ 2 12],[0.9 5.1] ; [ 2.1 11.9],0
v1,1,0.90278,0.014921,[ 4 11] ; [ 8 24],[ 3.82978723 11.17021277] ; [ 8.17021277 23.82978723],0
p1,1,0.906307,0.013853,[ 2 13] ; [ 4 29],[ 1.875 13.125] ; [ 4.125 28.875],0
u1,1,0.935917,0.006465,[ 1 14] ; [ 2 31],[ 0.9375 14.0625] ; [ 2.0625 30.9375],0
s2,1,0.936394,0.006369,[ 2 13] ; [ 4 28],[ 1.91489362 13.08510638] ; [ 4.08510638 27.91489362],0
a3,1,0.967535,0.001656,[9 6] ; [19 13],[8.93617021 6.06382979] ; [19.06382979 12.93617021],0
