Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000427,12.409091,[12  2] ; [27 50],[6. 8.] ; [33. 44.],1
s7,1,0.000448,12.322485,[8 5] ; [12 60],[3.05882353 9.94117647] ; [16.94117647 55.05882353],1
r1,1,0.00383,8.36293,[13  1] ; [39 37],[8.08888889 5.91111111] ; [43.91111111 32.08888889],0
p9,1,0.004843,7.936999,[7 7] ; [12 62],[ 3.02272727 10.97727273] ; [15.97727273 58.02272727],0
s2,1,0.006857,7.310083,[8 6] ; [17 60],[ 3.84615385 10.15384615] ; [21.15384615 55.84615385],0
v3,1,0.007639,7.116128,[8 5] ; [18 55],[3.93023256 9.06976744] ; [22.06976744 50.93023256],0
p6,1,0.007977,7.038632,[5 9] ; [ 7 68],[ 1.88764045 12.11235955] ; [10.11235955 64.88764045],0
b1,1,0.015033,5.912567,[12  2] ; [39 38],[7.84615385 6.15384615] ; [43.15384615 33.84615385],0
v4,1,0.015657,5.841024,[13  1] ; [45 31],[9.02222222 4.97777778] ; [48.97777778 27.02222222],0
v1,1,0.015878,5.816327,[8 6] ; [19 57],[4.2 9.8] ; [22.8 53.2],0
r3,1,0.023686,5.117481,[13  1] ; [47 29],[9.33333333 4.66666667] ; [50.66666667 25.33333333],0
u2,1,0.024473,5.060829,[6 1] ; [12 19],[3.31578947 3.68421053] ; [14.68421053 16.31578947],0
n4,1,0.039886,4.222732,[12  2] ; [43 33],[8.55555556 5.44444444] ; [46.44444444 29.55555556],0
u4,1,0.049713,3.851097,[ 2 12] ; [ 2 75],[ 0.61538462 13.38461538] ; [ 3.38461538 73.61538462],0
p5,1,0.051843,3.780818,[ 2 12] ; [ 2 74],[ 0.62222222 13.37777778] ; [ 3.37777778 72.62222222],0
a5,1,0.093582,2.811659,[11  3] ; [42 35],[8.15384615 5.84615385] ; [44.84615385 32.15384615],0
s5,1,0.101784,2.67736,[4 9] ; [10 67],[ 2.02222222 10.97777778] ; [11.97777778 65.02222222],0
p8,1,0.143671,2.138193,[ 4 10] ; [10 66],[ 2.17777778 11.82222222] ; [11.82222222 64.17777778],0
p11,1,0.171445,1.870259,[7 7] ; [24 53],[4.76923077 9.23076923] ; [26.23076923 50.76923077],0
p3,1,0.186367,1.746106,[5 9] ; [15 61],[ 3.11111111 10.88888889] ; [16.88888889 59.11111111],0
n6,1,0.210326,1.569182,[10  4] ; [40 35],[7.86516854 6.13483146] ; [42.13483146 32.86516854],0
n5,1,0.225146,1.471269,[10  4] ; [41 35],[7.93333333 6.06666667] ; [43.06666667 32.93333333],0
d5,1,0.229495,1.443986,[11  3] ; [47 29],[9.02222222 4.97777778] ; [48.97777778 27.02222222],0
p4,1,0.272988,1.201671,[5 9] ; [17 60],[ 3.38461538 10.61538462] ; [18.61538462 58.38461538],0
d1,1,0.323043,0.976585,[8 6] ; [33 44],[6.30769231 7.69230769] ; [34.69230769 42.30769231],0
v2,1,0.333523,0.935172,[6 8] ; [22 52],[4.45454545 9.54545455] ; [23.54545455 50.45454545],0
n2,1,0.34096,0.906818,[3 1] ; [19 19],[2.0952381 1.9047619] ; [19.9047619 18.0952381],0
b5,1,0.347167,0.883787,[9 5] ; [39 38],[7.38461538 6.61538462] ; [40.61538462 36.38461538],0
a8,1,0.402391,0.70117,[ 2 11] ; [ 6 68],[ 1.1954023 11.8045977] ; [ 6.8045977 67.1954023],0
s3,1,0.430174,0.622354,[6 8] ; [24 51],[4.71910112 9.28089888] ; [25.28089888 49.71910112],0
d4,1,0.446304,0.580021,[11  3] ; [52 24],[9.8 4.2] ; [53.2 22.8],0
s4,1,0.458395,0.549812,[ 1 13] ; [11 65],[ 1.86666667 12.13333333] ; [10.13333333 65.86666667],0
s1,1,0.458395,0.549812,[ 1 13] ; [11 65],[ 1.86666667 12.13333333] ; [10.13333333 65.86666667],0
a3,1,0.485849,0.485707,[7 7] ; [45 30],[8.17977528 5.82022472] ; [43.82022472 31.17977528],0
n3,1,0.517397,0.419079,[2 1] ; [17 19],[1.46153846 1.53846154] ; [17.53846154 18.46153846],0
a7,1,0.560786,0.338346,[6 8] ; [39 37],[7. 7.] ; [38. 38.],0
d2,1,0.591603,0.287848,[8 6] ; [37 38],[7.07865169 6.92134831] ; [37.92134831 37.07865169],0
a1,1,0.616917,0.250224,[ 1 13] ; [ 9 68],[ 1.53846154 12.46153846] ; [ 8.46153846 68.53846154],0
u1,1,0.783902,0.075207,[ 2 12] ; [ 9 68],[ 1.69230769 12.30769231] ; [ 9.30769231 67.69230769],0
a2,1,0.809598,0.058054,[ 2 12] ; [13 64],[ 2.30769231 11.69230769] ; [12.69230769 64.30769231],0
n1,1,0.84057,0.040467,[2 2] ; [17 21],[1.80952381 2.19047619] ; [17.19047619 20.80952381],0
a4,1,0.915425,0.011278,[6 8] ; [31 44],[5.82022472 8.17977528] ; [31.17977528 43.82022472],0
d3,1,0.927886,0.008191,[7 7] ; [37 39],[6.84444444 7.15555556] ; [37.15555556 38.84444444],0
b4,1,0.928241,0.008111,[8 6] ; [43 34],[7.84615385 6.15384615] ; [43.15384615 33.84615385],0
b2,1,0.941452,0.005394,[5 8] ; [19 29],[5.1147541 7.8852459] ; [18.8852459 29.1147541],0
b3,1,0.941452,0.005394,[5 8] ; [19 29],[5.1147541 7.8852459] ; [18.8852459 29.1147541],0
p7,1,0.961992,0.002271,[ 3 10] ; [18 58],[3.06741573 9.93258427] ; [17.93258427 58.06741573],0
a6,1,1.0,0.0,[7 7] ; [38 38],[7. 7.] ; [38. 38.],0
