Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,50.522559,[23 32] ; [121  13],[41.9047619 13.0952381] ; [102.0952381  31.9047619],1
n6,1,1e-06,23.461811,[33 22] ; [120  13],[44.7606383 10.2393617] ; [108.2393617  24.7606383],1
p10,1,0.000243,13.464918,[34 21] ; [115  19],[43.35978836 11.64021164] ; [105.64021164  28.35978836],1
p9,1,0.007802,7.07826,[38 17] ; [115  19],[44.52380952 10.47619048] ; [108.47619048  25.52380952],0
v1,1,0.008426,6.940515,[21 31] ; [81 50],[28.98360656 23.01639344] ; [73.01639344 57.98360656],0
p11,1,0.011887,6.327608,[38 17] ; [114  20],[44.23280423 10.76719577] ; [107.76719577  26.23280423],0
u1,1,0.029896,4.715285,[ 4 51] ; [ 27 107],[ 9.02116402 45.97883598] ; [ 21.97883598 112.02116402],0
v3,1,0.032161,4.589893,[12 41] ; [51 79],[18.24590164 34.75409836] ; [44.75409836 85.24590164],0
d5,1,0.034696,4.460069,[39 16] ; [113  21],[44.23280423 10.76719577] ; [107.76719577  26.23280423],0
v2,1,0.065513,3.392016,[25 28] ; [80 49],[30.57692308 22.42307692] ; [74.42307692 54.57692308],0
a8,1,0.067014,3.354685,[ 2 48] ; [ 16 102],[ 5.35714286 44.64285714] ; [ 12.64285714 105.35714286],0
b2,1,0.096469,2.762972,[ 7 25] ; [31 50],[10.76106195 21.23893805] ; [27.23893805 53.76106195],0
b3,1,0.096469,2.762972,[ 7 25] ; [31 50],[10.76106195 21.23893805] ; [27.23893805 53.76106195],0
r4,1,0.097835,2.74048,[46  9] ; [123  11],[49.17989418  5.82010582] ; [119.82010582  14.17989418],0
p5,1,0.112899,2.513161,[ 3 52] ; [ 18 116],[ 6.11111111 48.88888889] ; [ 14.88888889 119.11111111],0
a2,1,0.153543,2.03669,[ 8 47] ; [ 32 102],[11.64021164 43.35978836] ; [ 28.35978836 105.64021164],0
s4,1,0.16785,1.902045,[ 5 50] ; [ 22 108],[ 8.02702703 46.97297297] ; [ 18.97297297 111.02702703],0
d2,1,0.180723,1.791672,[21 34] ; [65 68],[25.15957447 29.84042553] ; [60.84042553 72.15957447],0
a4,1,0.212024,1.557551,[20 35] ; [62 72],[23.86243386 31.13756614] ; [58.13756614 75.86243386],0
a6,1,0.233739,1.417963,[35 20] ; [97 37],[38.41269841 16.58730159] ; [93.58730159 40.41269841],0
r3,1,0.244899,1.352173,[49  6] ; [125   8],[50.90425532  4.09574468] ; [123.09574468   9.90425532],0
p4,1,0.264689,1.244065,[38 17] ; [103  31],[41.03174603 13.96825397] ; [99.96825397 34.03174603],0
u3,1,0.27499,1.191687,[17  8] ; [28 23],[14.80263158 10.19736842] ; [30.19736842 20.80263158],0
d1,1,0.29331,1.104364,[27 28] ; [77 57],[30.26455026 24.73544974] ; [73.73544974 60.26455026],0
a3,1,0.346307,0.886942,[30 25] ; [83 51],[32.88359788 22.11640212] ; [80.11640212 53.88359788],0
p7,1,0.375186,0.786416,[36 18] ; [98 36],[38.4893617 15.5106383] ; [95.5106383 38.4893617],0
n3,1,0.396898,0.717703,[10  1] ; [15  4],[9.16666667 1.83333333] ; [15.83333333  3.16666667],0
b4,1,0.405685,0.69141,[36 19] ; [79 55],[33.46560847 21.53439153] ; [81.53439153 52.46560847],0
u2,1,0.414175,0.666785,[14 11] ; [23 27],[12.33333333 12.66666667] ; [24.66666667 25.33333333],0
n1,1,0.423925,0.639408,[2 9] ; [ 6 13],[2.93333333 8.06666667] ; [ 5.06666667 13.93333333],0
r1,1,0.485227,0.487093,[40 14] ; [104  28],[41.80645161 12.19354839] ; [102.19354839  29.80645161],0
b1,1,0.525653,0.402788,[27 28] ; [59 75],[25.02645503 29.97354497] ; [60.97354497 73.02645503],0
b5,1,0.547318,0.362145,[33 22] ; [74 60],[31.13756614 23.86243386] ; [75.86243386 58.13756614],0
s6,1,0.558075,0.343048,[32 23] ; [69 60],[30.19021739 24.80978261] ; [70.80978261 58.19021739],0
a1,1,0.593022,0.285649,[ 3 52] ; [  5 129],[ 2.32804233 52.67195767] ; [  5.67195767 128.32804233],0
p2,1,0.609335,0.261144,[46  8] ; [110  24],[44.80851064  9.19148936] ; [111.19148936  22.80851064],0
p1,1,0.620336,0.245395,[ 7 47] ; [ 14 120],[ 6.03191489 47.96808511] ; [ 14.96808511 119.03191489],0
p8,1,0.658028,0.195927,[33 22] ; [85 49],[34.33862434 20.66137566] ; [83.66137566 50.33862434],0
r2,1,0.72475,0.123987,[50  4] ; [125   8],[50.53475936  3.46524064] ; [124.46524064   8.53475936],0
p12,1,0.748262,0.102997,[ 4 51] ; [  8 125],[ 3.5106383 51.4893617] ; [  8.4893617 124.5106383],0
s3,1,0.798343,0.065276,[21 32] ; [55 77],[21.77297297 31.22702703] ; [54.22702703 77.77297297],0
s2,1,0.823175,0.049936,[18 37] ; [41 91],[17.35294118 37.64705882] ; [41.64705882 90.35294118],0
d4,1,0.844574,0.038434,[43 12] ; [103  31],[42.48677249 12.51322751] ; [103.51322751  30.48677249],0
s1,1,0.855197,0.033303,[ 1 54] ; [  3 131],[ 1.16402116 53.83597884] ; [  2.83597884 131.16402116],0
s5,1,0.893436,0.017945,[14 38] ; [36 93],[14.36464088 37.63535912] ; [35.63535912 93.36464088],0
v4,1,0.90103,0.015466,[51  4] ; [124   9],[51.19680851  3.80319149] ; [123.80319149   9.19680851],0
a7,1,0.926255,0.008567,[41 14] ; [100  33],[41.25 13.75] ; [99.75 33.25],0
p6,1,0.926701,0.008463,[19 34] ; [49 85],[19.27272727 33.72727273] ; [48.72727273 85.27272727],0
s8,1,0.954334,0.003279,[15 40] ; [36 98],[14.84126984 40.15873016] ; [36.15873016 97.84126984],0
n2,1,0.954452,0.003262,[8 3] ; [14  5],[8.06666667 2.93333333] ; [13.93333333  5.06666667],0
a5,1,0.962169,0.00225,[40 15] ; [97 37],[39.86772487 15.13227513] ; [97.13227513 36.86772487],0
d3,1,0.97894,0.000697,[35 20] ; [85 49],[34.92063492 20.07936508] ; [85.07936508 48.92063492],0
