Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.006769,7.333333,[10  1] ; [20 24],[6. 5.] ; [24. 20.],0
v1,1,0.027751,4.843481,[6 4] ; [11 34],[3.09090909 6.90909091] ; [13.90909091 31.09090909],0
n6,1,0.035558,4.418182,[8 2] ; [19 25],[5. 5.] ; [22. 22.],0
s4,1,0.098398,2.731313,[3 8] ; [ 4 41],[1.375 9.625] ; [ 5.625 39.375],0
v3,1,0.119439,2.424667,[4 7] ; [ 7 38],[2.16071429 8.83928571] ; [ 8.83928571 36.16071429],0
p11,1,0.157479,1.998264,[7 4] ; [18 27],[4.91071429 6.08928571] ; [20.08928571 24.91071429],0
s8,1,0.169708,1.885522,[3 8] ; [ 5 40],[1.57142857 9.42857143] ; [ 6.42857143 38.57142857],0
p8,1,0.20425,1.611722,[ 1 10] ; [12 32],[2.6 8.4] ; [10.4 33.6],0
s6,1,0.224429,1.475826,[5 6] ; [12 33],[3.33928571 7.66071429] ; [13.66071429 31.33928571],0
b1,1,0.253489,1.303972,[7 4] ; [20 25],[5.30357143 5.69642857] ; [21.69642857 23.30357143],0
d3,1,0.310905,1.026827,[6 5] ; [17 28],[4.51785714 6.48214286] ; [18.48214286 26.51785714],0
p4,1,0.327231,0.959824,[2 9] ; [15 30],[3.33928571 7.66071429] ; [13.66071429 31.33928571],0
p10,1,0.33868,0.915421,[6 5] ; [17 27],[4.6 6.4] ; [18.4 25.6],0
d4,1,0.362788,0.828218,[8 3] ; [26 19],[6.67857143 4.32142857] ; [27.32142857 17.67857143],0
r1,1,0.367757,0.81123,[5 6] ; [14 31],[3.73214286 7.26785714] ; [15.26785714 29.73214286],0
p1,1,0.371706,0.797953,[2 9] ; [ 4 41],[1.17857143 9.82142857] ; [ 4.82142857 40.17857143],0
a2,1,0.371706,0.797953,[2 9] ; [ 4 41],[1.17857143 9.82142857] ; [ 4.82142857 40.17857143],0
a5,1,0.38023,0.769958,[7 4] ; [22 23],[5.69642857 5.30357143] ; [23.30357143 21.69642857],0
a7,1,0.455255,0.557534,[4 7] ; [22 23],[5.10714286 5.89285714] ; [20.89285714 24.10714286],0
d5,1,0.455255,0.557534,[7 4] ; [23 22],[5.89285714 5.10714286] ; [24.10714286 20.89285714],0
b5,1,0.455255,0.557534,[7 4] ; [23 22],[5.89285714 5.10714286] ; [24.10714286 20.89285714],0
d2,1,0.48345,0.491071,[3 8] ; [17 27],[4. 7.] ; [16. 28.],0
s1,1,0.52501,0.40404,[2 9] ; [ 5 40],[1.375 9.625] ; [ 5.625 39.375],0
a6,1,0.547066,0.3626,[6 5] ; [20 25],[5.10714286 5.89285714] ; [20.89285714 24.10714286],0
p6,1,0.54927,0.358627,[ 1 10] ; [ 7 36],[1.62962963 9.37037037] ; [ 6.37037037 36.62962963],0
r3,1,0.586591,0.295699,[7 4] ; [24 20],[6.2 4.8] ; [24.8 19.2],0
s2,1,0.598222,0.277686,[3 8] ; [ 9 36],[2.35714286 8.64285714] ; [ 9.64285714 35.35714286],0
r2,1,0.614092,0.254259,[6 4] ; [22 21],[5.28301887 4.71698113] ; [22.71698113 20.28301887],0
n3,1,0.615228,0.252632,[3 2] ; [ 9 10],[2.5 2.5] ; [9.5 9.5],0
n2,1,0.615228,0.252632,[3 2] ; [ 9 10],[2.5 2.5] ; [9.5 9.5],0
d1,1,0.628867,0.2336,[4 7] ; [13 32],[3.33928571 7.66071429] ; [13.66071429 31.33928571],0
a8,1,0.702119,0.146277,[2 9] ; [ 6 38],[1.6 9.4] ; [ 6.4 37.6],0
b4,1,0.723299,0.125354,[7 4] ; [26 19],[6.48214286 4.51785714] ; [26.51785714 18.48214286],0
n4,1,0.738095,0.111808,[7 4] ; [31 14],[7.46428571 3.53571429] ; [30.53571429 14.46428571],0
s3,1,0.77045,0.085139,[3 8] ; [14 30],[3.4 7.6] ; [13.6 30.4],0
v2,1,0.773828,0.082583,[4 7] ; [14 30],[3.6 7.4] ; [14.4 29.6],0
u1,1,0.779585,0.078322,[ 1 10] ; [ 3 42],[ 0.78571429 10.21428571] ; [ 3.21428571 41.78571429],0
b2,1,0.79246,0.069231,[3 7] ; [ 9 17],[3.33333333 6.66666667] ; [ 8.66666667 17.33333333],0
b3,1,0.79246,0.069231,[3 7] ; [ 9 17],[3.33333333 6.66666667] ; [ 8.66666667 17.33333333],0
a1,1,0.846026,0.03771,[ 1 10] ; [ 5 40],[1.17857143 9.82142857] ; [ 4.82142857 40.17857143],0
p3,1,0.846026,0.03771,[3 8] ; [11 34],[2.75 8.25] ; [11.25 33.75],0
r4,1,0.846026,0.03771,[3 8] ; [11 34],[2.75 8.25] ; [11.25 33.75],0
n5,1,0.849086,0.036208,[7 4] ; [30 15],[7.26785714 3.73214286] ; [29.73214286 15.26785714],0
p7,1,0.849086,0.036208,[4 7] ; [15 30],[3.73214286 7.26785714] ; [15.26785714 29.73214286],0
a4,1,0.881993,0.022035,[3 8] ; [13 31],[3.2 7.8] ; [12.8 31.2],0
p2,1,0.88963,0.019258,[4 7] ; [17 27],[4.2 6.8] ; [16.8 27.2],0
p9,1,0.896694,0.016858,[5 5] ; [21 23],[4.81481481 5.18518519] ; [21.18518519 22.81481481],0
n1,1,0.932294,0.007218,[2 3] ; [ 8 11],[2.08333333 2.91666667] ; [ 7.91666667 11.08333333],0
