Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000149,14.388371,[ 4 30] ; [84 96],[13.98130841 20.01869159] ; [ 74.01869159 105.98130841],1
s3,1,0.000222,13.632051,[23 12] ; [163  19],[30.  5.] ; [156.  26.],1
s7,1,0.000973,10.877833,[13 21] ; [123  58],[21.50697674 12.49302326] ; [114.49302326  66.50697674],1
s8,1,0.001973,9.574127,[10 25] ; [105  79],[18.37899543 16.62100457] ; [96.62100457 87.37899543],0
n6,1,0.005762,7.623199,[22 12] ; [155  28],[27.73271889  6.26728111] ; [149.26728111  33.73271889],0
d3,1,0.012286,6.269057,[17 17] ; [132  52],[23.23853211 10.76146789] ; [125.76146789  58.23853211],0
r4,1,0.01947,5.45877,[27  8] ; [168  17],[31.02272727  3.97727273] ; [163.97727273  21.02272727],0
r1,1,0.022228,5.227876,[23 12] ; [152  32],[27.96803653  7.03196347] ; [147.03196347  36.96803653],0
a5,1,0.034981,4.446102,[18 17] ; [129  56],[23.38636364 11.61363636] ; [123.61363636  61.38636364],0
d5,1,0.042009,4.13485,[22 12] ; [148  36],[26.51376147  7.48623853] ; [143.48623853  40.51376147],0
b5,1,0.050664,3.819338,[17 18] ; [122  63],[22.11363636 12.88636364] ; [116.88636364  68.11363636],0
p4,1,0.078884,3.087743,[10 25] ; [ 82 102],[14.70319635 20.29680365] ; [ 77.29680365 106.70319635],0
d1,1,0.078913,3.087142,[15 20] ; [109  76],[19.72727273 15.27272727] ; [104.27272727  80.72727273],0
a4,1,0.083171,3.001826,[10 25] ; [ 82 103],[14.63636364 20.36363636] ; [ 77.36363636 107.63636364],0
v4,1,0.08346,2.996207,[31  3] ; [178   5],[32.74654378  1.25345622] ; [176.25345622   6.74654378],0
a2,1,0.092677,2.827246,[ 4 31] ; [ 45 140],[ 7.79545455 27.20454545] ; [ 41.20454545 143.79545455],0
s4,1,0.123644,2.370539,[ 5 30] ; [ 48 133],[ 8.58796296 26.41203704] ; [ 44.41203704 136.58796296],0
u3,1,0.125719,2.34459,[6 8] ; [34 18],[8.48484848 5.51515152] ; [31.51515152 20.48484848],0
b4,1,0.14811,2.091614,[16 19] ; [109  76],[19.88636364 15.11363636] ; [105.11363636  79.88636364],0
a3,1,0.204387,1.610744,[21 14] ; [131  54],[24.18181818 10.81818182] ; [127.81818182  57.18181818],0
r3,1,0.218797,1.512242,[32  3] ; [176   7],[33.39449541  1.60550459] ; [174.60550459   8.39449541],0
n4,1,0.261073,1.26306,[22 13] ; [133  51],[24.7716895 10.2283105] ; [130.2283105  53.7716895],0
v3,1,0.302423,1.06348,[ 9 23] ; [ 67 111],[11.58095238 20.41904762] ; [ 64.41904762 113.58095238],0
a6,1,0.329103,0.952424,[20 15] ; [121  63],[22.53424658 12.46575342] ; [118.46575342  65.53424658],0
p8,1,0.340564,0.908309,[11 24] ; [ 72 108],[13.51162791 21.48837209] ; [ 69.48837209 110.51162791],0
v1,1,0.354132,0.858594,[15 19] ; [95 85],[17.47663551 16.52336449] ; [92.52336449 87.47663551],0
a7,1,0.360411,0.83646,[23 11] ; [139  46],[25.15068493  8.84931507] ; [136.84931507  48.15068493],0
n1,1,0.385674,0.752537,[2 8] ; [16 31],[3.15789474 6.84210526] ; [14.84210526 32.15789474],0
