Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.8e-05,17.525029,[15 15] ; [87 14],[23.35877863  6.64122137] ; [78.64122137 22.35877863],1
p9,1,0.00024,13.491785,[17 13] ; [88 13],[24.04580153  5.95419847] ; [80.95419847 20.04580153],1
n5,1,0.002419,9.200621,[17 13] ; [84 17],[23.12977099  6.87022901] ; [77.87022901 23.12977099],0
p6,1,0.00478,7.960714,[ 6 25] ; [47 51],[12.73643411 18.26356589] ; [40.26356589 57.73643411],0
b1,1,0.006647,7.366079,[22  9] ; [44 58],[15.38345865 15.61654135] ; [50.61654135 51.38345865],0
s1,1,0.007234,7.213958,[ 5 26] ; [ 3 98],[ 1.87878788 29.12121212] ; [ 6.12121212 94.87878788],0
s3,1,0.007378,7.178579,[22  9] ; [92 10],[26.57142857  4.42857143] ; [87.42857143 14.57142857],0
p7,1,0.009388,6.747507,[15 16] ; [72 26],[20.90697674 10.09302326] ; [66.09302326 31.90697674],0
v4,1,0.011141,6.44267,[25  6] ; [96  5],[28.41666667  2.58333333] ; [92.58333333  8.41666667],0
a3,1,0.014003,6.037814,[19 12] ; [84 18],[24.0075188  6.9924812] ; [78.9924812 23.0075188],0
r3,1,0.017801,5.615652,[26  5] ; [98  4],[28.90225564  2.09774436] ; [95.09774436  6.90225564],0
n6,1,0.018061,5.590239,[19 10] ; [86 15],[23.42307692  5.57692308] ; [81.57692308 19.42307692],0
n4,1,0.018498,5.548352,[19 11] ; [85 17],[23.63636364  6.36363636] ; [80.36363636 21.63636364],0
r4,1,0.018785,5.521375,[21 10] ; [88 14],[25.40601504  5.59398496] ; [83.59398496 18.40601504],0
p2,1,0.034149,4.487252,[19 12] ; [80 20],[23.42748092  7.57251908] ; [75.57251908 24.42748092],0
s8,1,0.036481,4.374492,[17 14] ; [76 26],[21.67669173  9.32330827] ; [71.32330827 30.67669173],0
s7,1,0.061415,3.498743,[16 10] ; [80 21],[19.65354331  6.34645669] ; [76.34645669 24.65354331],0
r2,1,0.070526,3.270746,[25  6] ; [93  8],[27.71212121  3.28787879] ; [90.28787879 10.71212121],0
a5,1,0.078175,3.102444,[18 13] ; [76 26],[21.90977444  9.09022556] ; [72.09022556 29.90977444],0
d5,1,0.085461,2.957851,[21 10] ; [83 18],[24.42424242  6.57575758] ; [79.57575758 21.42424242],0
a6,1,0.089733,2.879154,[ 7 24] ; [40 62],[10.95488722 20.04511278] ; [36.04511278 65.95488722],0
d3,1,0.093771,2.808409,[19 12] ; [45 57],[14.91729323 16.08270677] ; [49.08270677 52.91729323],0
n2,1,0.104475,2.635862,[9 6] ; [20  4],[11.15384615  3.84615385] ; [17.84615385  6.15384615],0
r1,1,0.122324,2.387314,[19 12] ; [77 25],[22.37593985  8.62406015] ; [73.62406015 28.37593985],0
p1,1,0.124383,2.36125,[ 4 27] ; [ 5 96],[ 2.11363636 28.88636364] ; [ 6.88636364 94.11363636],0
b4,1,0.137948,2.200702,[19 12] ; [47 55],[15.38345865 15.61654135] ; [50.61654135 51.38345865],0
v3,1,0.274157,1.19583,[11 19] ; [48 52],[13.61538462 16.38461538] ; [45.38461538 54.61538462],0
p12,1,0.306983,1.043611,[ 1 29] ; [ 9 91],[ 2.30769231 27.69230769] ; [ 7.69230769 92.30769231],0
b3,1,0.312712,1.019186,[ 6 13] ; [35 44],[ 7.94897959 11.05102041] ; [33.05102041 45.94897959],0
b2,1,0.312712,1.019186,[ 6 13] ; [35 44],[ 7.94897959 11.05102041] ; [33.05102041 45.94897959],0
p8,1,0.351844,0.866797,[13 18] ; [51 48],[15.26153846 15.73846154] ; [48.73846154 50.26153846],0
a2,1,0.476847,0.506065,[ 2 29] ; [11 91],[ 3.03007519 27.96992481] ; [ 9.96992481 92.03007519],0
s5,1,0.491592,0.47304,[13 17] ; [49 48],[14.64566929 15.35433071] ; [47.35433071 49.64566929],0
a1,1,0.502959,0.448688,[ 4 27] ; [ 9 93],[ 3.03007519 27.96992481] ; [ 9.96992481 92.03007519],0
n3,1,0.504985,0.444444,[10  5] ; [14 11],[9. 6.] ; [15. 10.],0
p4,1,0.544464,0.367329,[20 11] ; [59 42],[18.5530303 12.4469697] ; [60.4469697 40.5530303],0
u2,1,0.547403,0.361991,[6 6] ; [11  7],[6.8 5.2] ; [10.2  7.8],0
a8,1,0.572946,0.317778,[ 3 28] ; [13 83],[ 3.90551181 27.09448819] ; [12.09448819 83.90551181],0
s6,1,0.575524,0.313527,[24  5] ; [86 13],[24.921875  4.078125] ; [85.078125 13.921875],0
b5,1,0.606384,0.265474,[15 16] ; [44 58],[13.7518797 17.2481203] ; [45.2481203 56.7518797],0
p5,1,0.609478,0.260936,[ 3 28] ; [13 86],[ 3.81538462 27.18461538] ; [12.18461538 86.81538462],0
d4,1,0.644428,0.212998,[24  7] ; [82 19],[24.89393939  6.10606061] ; [81.10606061 19.89393939],0
d2,1,0.727399,0.121513,[16 15] ; [49 53],[15.15037594 15.84962406] ; [49.84962406 52.15037594],0
a4,1,0.77868,0.078983,[14 17] ; [49 53],[14.68421053 16.31578947] ; [48.31578947 53.68421053],0
v1,1,0.849096,0.036203,[20 11] ; [62 37],[19.55384615 11.44615385] ; [62.44615385 36.55384615],0
u4,1,0.858447,0.031809,[ 1 30] ; [ 4 98],[ 1.16541353 29.83458647] ; [ 3.83458647 98.16541353],0
u3,1,0.879072,0.023148,[7 5] ; [11  7],[7.2 4.8] ; [10.8  7.2],0
s4,1,0.905636,0.014053,[ 8 23] ; [25 76],[ 7.75 23.25] ; [25.25 75.75],0
n1,1,0.94422,0.004895,[8 7] ; [12 11],[7.89473684 7.10526316] ; [12.10526316 10.89473684],0
p3,1,0.970096,0.001405,[17 14] ; [55 46],[16.90909091 14.09090909] ; [55.09090909 45.90909091],0
d1,1,0.972918,0.001153,[16 15] ; [53 49],[16.08270677 14.91729323] ; [52.91729323 49.08270677],0
v2,1,0.9845,0.000377,[17 14] ; [53 44],[16.953125 14.046875] ; [53.046875 43.953125],0
