Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.5e-05,18.700547,[22 15] ; [12 55],[12.09615385 24.90384615] ; [21.90384615 45.09615385],1
s4,1,0.000304,13.047729,[11 26] ; [ 3 64],[ 4.98076923 32.01923077] ; [ 9.01923077 57.98076923],1
s6,1,0.000944,10.93459,[30  7] ; [31 34],[22.12745098 14.87254902] ; [38.87254902 26.12745098],1
s2,1,0.001302,10.340371,[22 15] ; [18 48],[14.36893204 22.63106796] ; [25.63106796 40.36893204],0
s3,1,0.004081,8.247399,[24 13] ; [23 42],[17.04901961 19.95098039] ; [29.95098039 35.04901961],0
p2,1,0.006521,7.400462,[36  1] ; [50 15],[31.19607843  5.80392157] ; [54.80392157 10.19607843],0
n4,1,0.01974,5.434743,[19 18] ; [19 48],[13.51923077 23.48076923] ; [24.48076923 42.51923077],0
a3,1,0.026919,4.895977,[26 11] ; [32 35],[20.63461538 16.36538462] ; [37.36538462 29.63461538],0
a8,1,0.029033,4.76567,[ 4 28] ; [ 1 59],[ 1.73913043 30.26086957] ; [ 3.26086957 56.73913043],0
s5,1,0.04986,3.846154,[14 21] ; [14 51],[ 9.8 25.2] ; [18.2 46.8],0
p10,1,0.051732,3.784429,[30  6] ; [43 23],[25.76470588 10.23529412] ; [47.23529412 18.76470588],0
p9,1,0.061958,3.484173,[32  5] ; [47 20],[28.10576923  8.89423077] ; [50.89423077 16.10576923],0
b5,1,0.090297,2.869067,[18 19] ; [44 23],[22.05769231 14.94230769] ; [39.94230769 27.05769231],0
u3,1,0.098947,2.722438,[8 3] ; [15 19],[5.62222222 5.37777778] ; [17.37777778 16.62222222],0
u2,1,0.160622,1.968356,[8 3] ; [17 18],[5.97826087 5.02173913] ; [19.02173913 15.97826087],0
a2,1,0.16464,1.931082,[ 6 31] ; [ 5 62],[ 3.91346154 33.08653846] ; [ 7.08653846 59.91346154],0
d3,1,0.171453,1.870194,[30  7] ; [46 21],[27.03846154  9.96153846] ; [48.96153846 18.03846154],0
p7,1,0.197814,1.658443,[30  6] ; [46 18],[27.36  8.64] ; [48.64 15.36],0
u1,1,0.217173,1.522952,[ 4 33] ; [ 3 64],[ 2.49038462 34.50961538] ; [ 4.50961538 62.49038462],0
d5,1,0.217185,1.522872,[31  6] ; [49 18],[28.46153846  8.53846154] ; [51.53846154 15.46153846],0
p12,1,0.223088,1.484398,[ 1 36] ; [ 6 61],[ 2.49038462 34.50961538] ; [ 4.50961538 62.49038462],0
r1,1,0.223466,1.481975,[30  7] ; [47 20],[27.39423077  9.60576923] ; [49.60576923 17.39423077],0
b3,1,0.255461,1.293187,[ 7 18] ; [ 5 27],[ 5.26315789 19.73684211] ; [ 6.73684211 25.26315789],0
b2,1,0.255461,1.293187,[ 7 18] ; [ 5 27],[ 5.26315789 19.73684211] ; [ 6.73684211 25.26315789],0
d4,1,0.281389,1.160368,[31  6] ; [50 17],[28.81730769  8.18269231] ; [52.18269231 14.81730769],0
r3,1,0.318902,0.993444,[36  1] ; [62  5],[34.86538462  2.13461538] ; [63.13461538  3.86538462],0
r4,1,0.336701,0.922953,[33  4] ; [55 12],[31.30769231  5.69230769] ; [56.69230769 10.30769231],0
