Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.001175,10.528809,[ 4 10] ; [282 123],[9.55608592 4.44391408] ; [276.44391408 128.55608592],0
r2,1,0.006136,7.509905,[11  2] ; [394  10],[12.62589928  0.37410072] ; [392.37410072  11.62589928],0
s2,1,0.010059,6.624394,[ 2 12] ; [197 203],[6.7294686 7.2705314] ; [192.2705314 207.7294686],0
p10,1,0.026937,4.89486,[7 7] ; [301  95],[10.51707317  3.48292683] ; [297.48292683  98.51707317],0
a8,1,0.034396,4.474903,[5 9] ; [ 55 316],[ 2.18181818 11.81818182] ; [ 57.81818182 313.18181818],0
v1,1,0.051475,3.79274,[ 3 11] ; [190 207],[6.57420925 7.42579075] ; [186.42579075 210.57420925],0
p7,1,0.085755,2.952316,[ 4 10] ; [201 186],[7.15710723 6.84289277] ; [197.84289277 189.15710723],0
p5,1,0.092485,2.83057,[ 2 12] ; [ 18 383],[ 0.6746988 13.3253012] ; [ 19.3253012 381.6746988],0
s6,1,0.092507,2.830199,[6 8] ; [256 139],[8.96821516 5.03178484] ; [253.03178484 141.96821516],0
u2,1,0.1118,2.528585,[1 4] ; [74 58],[2.73722628 2.26277372] ; [72.26277372 59.73722628],0
n1,1,0.116184,2.468016,[3 1] ; [41 72],[1.5042735 2.4957265] ; [42.4957265 70.5042735],0
b4,1,0.116548,2.463111,[11  3] ; [233 172],[8.15274463 5.84725537] ; [235.84725537 169.15274463],0
p9,1,0.122436,2.385875,[9 5] ; [319  75],[11.25490196  2.74509804] ; [316.74509804  77.25490196],0
u4,1,0.145553,2.118244,[ 1 13] ; [  7 398],[ 0.2673031 13.7326969] ; [  7.7326969 397.2673031],0
b1,1,0.153917,2.032995,[7 7] ; [129 276],[4.54415274 9.45584726] ; [131.45584726 273.54415274],0
a6,1,0.155987,2.012707,[7 7] ; [275 129],[9.44497608 4.55502392] ; [272.55502392 131.44497608],0
d5,1,0.17615,1.829808,[13  1] ; [313  90],[10.94484412  3.05515588] ; [315.05515588  87.94484412],0
p4,1,0.18748,1.737311,[ 3 11] ; [155 244],[5.3559322 8.6440678] ; [152.6440678 246.3559322],0
r1,1,0.194978,1.6796,[10  4] ; [340  63],[11.75059952  2.24940048] ; [338.24940048  64.75059952],0
s7,1,0.205517,1.602728,[ 3 10] ; [159 233],[5.2 7.8] ; [156.8 235.2],0
p2,1,0.227935,1.453704,[9 5] ; [315  89],[10.85167464  3.14832536] ; [313.14832536  90.85167464],0
d4,1,0.268176,1.226054,[13  1] ; [328  76],[11.42105263  2.57894737] ; [329.57894737  74.42105263],0
s5,1,0.289151,1.123571,[ 2 11] ; [112 276],[3.6957606 9.3042394] ; [110.3042394 277.6957606],0
d3,1,0.305068,1.05191,[8 6] ; [282 121],[9.73621103 4.26378897] ; [280.26378897 122.73621103],0
d2,1,0.309222,1.033994,[8 6] ; [175 228],[6.14388489 7.85611511] ; [176.85611511 226.14388489],0
p11,1,0.313286,1.016771,[9 5] ; [308  97],[10.59188544  3.40811456] ; [306.40811456  98.59188544],0
a4,1,0.318419,0.995428,[ 4 10] ; [169 234],[5.80815348 8.19184652] ; [167.19184652 235.80815348],0
n5,1,0.322105,0.980381,[8 6] ; [279 122],[9.68192771 4.31807229] ; [277.31807229 123.68192771],0
p6,1,0.325577,0.966413,[ 2 12] ; [103 294],[ 3.57664234 10.42335766] ; [101.42335766 295.57664234],0
d1,1,0.397525,0.7158,[6 8] ; [220 185],[7.55131265 6.44868735] ; [218.44868735 186.55131265],0
p8,1,0.406477,0.689083,[ 4 10] ; [156 238],[5.49019608 8.50980392] ; [154.50980392 239.49019608],0
u3,1,0.456858,0.55358,[2 3] ; [75 57],[2.81021898 2.18978102] ; [74.18978102 57.81021898],0
n4,1,0.521002,0.411909,[11  3] ; [284 118],[9.92788462 4.07211538] ; [285.07211538 116.92788462],0
b5,1,0.602461,0.271301,[8 6] ; [259 146],[8.92124105 5.07875895] ; [258.07875895 146.92124105],0
v2,1,0.64698,0.209729,[8 6] ; [195 188],[7.15869018 6.84130982] ; [195.84130982 187.15869018],0
v3,1,0.666969,0.185168,[ 4 10] ; [131 253],[4.74874372 9.25125628] ; [130.25125628 253.74874372],0
p12,1,0.681484,0.16846,[ 1 13] ; [ 19 381],[ 0.6763285 13.3236715] ; [ 19.3236715 380.6763285],0
n6,1,0.694417,0.154345,[11  3] ; [333  70],[11.54916067  2.45083933] ; [332.45083933  70.54916067],0
s3,1,0.786666,0.073247,[7 7] ; [212 183],[7.49633252 6.50366748] ; [211.50366748 183.49633252],0
b2,1,0.80614,0.060225,[3 5] ; [ 75 150],[2.67811159 5.32188841] ; [ 75.32188841 149.67811159],0
b3,1,0.80614,0.060225,[3 5] ; [ 75 150],[2.67811159 5.32188841] ; [ 75.32188841 149.67811159],0
a3,1,0.827032,0.047747,[9 5] ; [271 133],[9.37799043 4.62200957] ; [270.62200957 133.37799043],0
a7,1,0.878619,0.023324,[10  4] ; [296 108],[10.24880383  3.75119617] ; [295.75119617 108.24880383],0
s8,1,0.888347,0.019711,[5 9] ; [151 251],[5.25 8.75] ; [150.75 251.25],0
n2,1,0.936111,0.006425,[3 1] ; [89 27],[3.06666667 0.93333333] ; [88.93333333 27.06666667],0
