Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.001103,10.645783,[19 10] ; [ 7 23],[12.77966102 16.22033898] ; [13.22033898 16.77966102],0
r3,1,0.001281,10.370032,[22  6] ; [11 19],[15.93103448 12.06896552] ; [17.06896552 12.93103448],0
s6,1,0.003567,8.492266,[14 15] ; [ 4 26],[ 8.84745763 20.15254237] ; [ 9.15254237 20.84745763],0
s8,1,0.00458,8.038421,[ 9 20] ; [ 1 29],[ 4.91525424 24.08474576] ; [ 5.08474576 24.91525424],0
p10,1,0.00471,7.987512,[16 12] ; [ 6 23],[10.80701754 17.19298246] ; [11.19298246 17.80701754],0
n5,1,0.009536,6.719625,[23  6] ; [14 16],[18.18644068 10.81355932] ; [18.81355932 11.18644068],0
b3,1,0.020604,5.359977,[ 2 15] ; [ 9 10],[ 5.19444444 11.80555556] ; [ 5.80555556 13.19444444],0
b2,1,0.020604,5.359977,[ 2 15] ; [ 9 10],[ 5.19444444 11.80555556] ; [ 5.80555556 13.19444444],0
r4,1,0.030064,4.705615,[11 18] ; [ 4 26],[ 7.37288136 21.62711864] ; [ 7.62711864 22.37288136],0
p2,1,0.030394,4.686869,[15 14] ; [ 7 22],[11. 18.] ; [11. 18.],0
s7,1,0.035558,4.418182,[ 8 19] ; [ 2 25],[ 5. 22.] ; [ 5. 22.],0
d5,1,0.047416,3.930567,[20  9] ; [13 17],[16.22033898 12.77966102] ; [16.77966102 13.22033898],0
v2,1,0.050182,3.835358,[13 16] ; [ 6 23],[ 9.5 19.5] ; [ 9.5 19.5],0
p9,1,0.063217,3.450922,[16 11] ; [10 19],[12.53571429 14.46428571] ; [13.46428571 15.53571429],0
p4,1,0.074586,3.179086,[12 17] ; [ 6 24],[ 8.84745763 20.15254237] ; [ 9.15254237 20.84745763],0
s2,1,0.086064,2.946504,[ 9 19] ; [ 4 26],[ 6.27586207 21.72413793] ; [ 6.72413793 23.27586207],0
d3,1,0.091185,2.853334,[16 13] ; [10 20],[12.77966102 16.22033898] ; [13.22033898 16.77966102],0
n4,1,0.119431,2.424773,[22  7] ; [17 13],[19.16949153  9.83050847] ; [19.83050847 10.16949153],0
n3,1,0.134481,2.24,[7 2] ; [7 8],[5.25 3.75] ; [8.75 6.25],0
a2,1,0.141632,2.160142,[ 2 27] ; [ 6 24],[ 3.93220339 25.06779661] ; [ 4.06779661 25.93220339],0
a4,1,0.142139,2.154649,[ 7 21] ; [13 17],[ 9.65517241 18.34482759] ; [10.34482759 19.65517241],0
b5,1,0.14965,2.075813,[18 11] ; [13 17],[15.23728814 13.76271186] ; [15.76271186 14.23728814],0
b1,1,0.152636,2.045707,[12 17] ; [18 12],[14.74576271 14.25423729] ; [15.25423729 14.74576271],0
b4,1,0.218395,1.514887,[20  9] ; [16 14],[17.69491525 11.30508475] ; [18.30508475 11.69491525],0
d4,1,0.328744,0.953841,[20  9] ; [17 13],[18.18644068 10.81355932] ; [18.81355932 11.18644068],0
n2,1,0.3411,0.906294,[6 3] ; [7 8],[4.875 4.125] ; [8.125 6.875],0
s3,1,0.348897,0.877463,[11 17] ; [ 8 21],[ 9.33333333 18.66666667] ; [ 9.66666667 19.33333333],0
p7,1,0.354585,0.856981,[11 18] ; [ 8 22],[ 9.33898305 19.66101695] ; [ 9.66101695 20.33898305],0
a8,1,0.382429,0.762878,[ 5 22] ; [ 3 26],[ 3.85714286 23.14285714] ; [ 4.14285714 24.85714286],0
s1,1,0.413478,0.668778,[ 2 27] ; [ 4 26],[ 2.94915254 26.05084746] ; [ 3.05084746 26.94915254],0
p1,1,0.413478,0.668778,[ 2 27] ; [ 4 26],[ 2.94915254 26.05084746] ; [ 3.05084746 26.94915254],0
s4,1,0.416662,0.659711,[ 5 24] ; [ 3 27],[ 3.93220339 25.06779661] ; [ 4.06779661 25.93220339],0
v1,1,0.456722,0.553915,[10 18] ; [ 8 22],[ 8.68965517 19.31034483] ; [ 9.31034483 20.68965517],0
p3,1,0.493494,0.4689,[ 8 21] ; [ 6 24],[ 6.88135593 22.11864407] ; [ 7.11864407 22.88135593],0
