Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4e-06,21.155556,[104  16] ; [17 17],[94.28571429 25.71428571] ; [26.71428571  7.28571429],1
p7,1,3.7e-05,16.993963,[91 29] ; [12 20],[81.31578947 38.68421053] ; [21.68421053 10.31578947],1
p8,1,5.8e-05,16.159391,[68 52] ; [ 6 28],[57.66233766 62.33766234] ; [16.33766234 17.66233766],1
p9,1,0.000148,14.399699,[103  18] ; [18 15],[95.07142857 25.92857143] ; [25.92857143  7.07142857],1
n5,1,0.000385,12.604437,[98 22] ; [17 16],[90.19607843 29.80392157] ; [24.80392157  8.19607843],1
n6,1,0.000605,11.761811,[98 22] ; [18 16],[90.38961039 29.61038961] ; [25.61038961  8.38961039],1
p10,1,0.001271,10.383532,[98 22] ; [18 15],[90.98039216 29.01960784] ; [25.01960784  7.98039216],0
p11,1,0.005025,7.870462,[99 22] ; [20 14],[92.89677419 28.10322581] ; [26.10322581  7.89677419],0
s1,1,0.006142,7.508071,[  2 118] ; [ 4 29],[  4.70588235 115.29411765] ; [ 1.29411765 31.70588235],0
p6,1,0.009578,6.711688,[51 68] ; [ 6 27],[44.625 74.375] ; [12.375 20.625],0
p4,1,0.014125,6.022506,[73 48] ; [12 21],[66.78571429 54.21428571] ; [18.21428571 14.78571429],0
v4,1,0.017372,5.658357,[110   8] ; [27  7],[106.35526316  11.64473684] ; [30.64473684  3.35526316],0
p3,1,0.031158,4.644223,[68 53] ; [12 22],[62.4516129 58.5483871] ; [17.5483871 16.4516129],0
s6,1,0.102846,2.660839,[93 23] ; [22 11],[89.53020134 26.46979866] ; [25.46979866  7.53020134],0
u3,1,0.122624,2.383479,[13 18] ; [7 3],[15.12195122 15.87804878] ; [4.87804878 5.12195122],0
a8,1,0.138066,2.199381,[18 96] ; [ 2 32],[15.40540541 98.59459459] ; [ 4.59459459 29.40540541],0
n1,1,0.143218,2.143043,[13 16] ; [9 4],[15.19047619 13.80952381] ; [6.80952381 6.19047619],0
v3,1,0.148015,2.092594,[52 68] ; [ 9 22],[48.47682119 71.52317881] ; [12.52317881 18.47682119],0
r3,1,0.153501,2.037115,[115   6] ; [30  4],[113.19354839   7.80645161] ; [31.80645161  2.19354839],0
s5,1,0.164524,1.932144,[54 61] ; [11 22],[50.50675676 64.49324324] ; [14.49324324 18.50675676],0
s7,1,0.180596,1.792716,[82 34] ; [18 13],[78.91156463 37.08843537] ; [21.08843537  9.91156463],0
d3,1,0.190699,1.71221,[58 63] ; [12 22],[54.64516129 66.35483871] ; [15.35483871 18.64516129],0
p1,1,0.191462,1.706328,[  9 112] ; [ 5 29],[ 10.92903226 110.07096774] ; [ 3.07096774 30.92903226],0
s8,1,0.208773,1.579912,[75 46] ; [17 17],[71.81935484 49.18064516] ; [20.18064516 13.81935484],0
a4,1,0.226814,1.46073,[53 67] ; [19 15],[56.1038961 63.8961039] ; [15.8961039 18.1038961],0
r4,1,0.232803,1.423654,[103  18] ; [26  8],[100.70322581  20.29677419] ; [28.29677419  5.70322581],0
n2,1,0.24324,1.361717,[25  4] ; [10  4],[23.60465116  5.39534884] ; [11.39534884  2.60465116],0
b1,1,0.282126,1.156819,[55 66] ; [19 15],[57.76774194 63.23225806] ; [16.23225806 17.76774194],0
a5,1,0.331299,0.943815,[82 39] ; [20 14],[79.62580645 41.37419355] ; [22.37419355 11.62580645],0
a6,1,0.344215,0.894669,[50 71] ; [11 23],[47.61935484 73.38064516] ; [13.38064516 20.61935484],0
r2,1,0.429771,0.623443,[111   9] ; [30  4],[109.87012987  10.12987013] ; [31.12987013  2.87012987],0
s4,1,0.468019,0.52665,[28 92] ; [10 24],[29.61038961 90.38961039] ; [ 8.38961039 25.61038961],0
p5,1,0.485418,0.486667,[ 17 104] ; [ 3 29],[ 15.81699346 105.18300654] ; [ 4.18300654 27.81699346],0
s2,1,0.534645,0.385555,[86 35] ; [26  8],[87.43225806 33.56774194] ; [24.56774194  9.43225806],0
a3,1,0.604549,0.268189,[90 30] ; [24 10],[88.83116883 31.16883117] ; [25.16883117  8.83116883],0
d1,1,0.632038,0.229307,[59 62] ; [15 19],[57.76774194 63.23225806] ; [16.23225806 17.76774194],0
a1,1,0.65718,0.196968,[  8 113] ; [ 3 31],[  8.58709677 112.41290323] ; [ 2.41290323 31.58709677],0
r1,1,0.657832,0.196168,[90 31] ; [24 10],[88.99354839 32.00645161] ; [25.00645161  8.99354839],0
b5,1,0.701093,0.147338,[56 65] ; [17 17],[56.98709677 64.01290323] ; [16.01290323 17.98709677],0
d4,1,0.723921,0.124767,[91 28] ; [25  9],[90.22222222 28.77777778] ; [25.77777778  8.22222222],0
p12,1,0.776804,0.080365,[  9 111] ; [ 2 31],[  8.62745098 111.37254902] ; [ 2.37254902 30.62745098],0
b4,1,0.801321,0.063321,[67 54] ; [18 16],[66.35483871 54.64516129] ; [18.64516129 15.35483871],0
d5,1,0.826381,0.048113,[87 33] ; [24 10],[86.49350649 33.50649351] ; [24.50649351  9.49350649],0
n3,1,0.832811,0.044562,[21  9] ; [8 4],[20.71428571  9.28571429] ; [8.28571429 3.71428571],0
a2,1,0.848834,0.036331,[ 12 109] ; [ 3 31],[ 11.70967742 109.29032258] ; [ 3.29032258 30.70967742],0
