Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.6e-05,18.578798,[43 20] ; [ 8 27],[32.78571429 30.21428571] ; [18.21428571 16.78571429],1
d2,1,0.000225,13.611171,[45 18] ; [12 24],[36.27272727 26.72727273] ; [20.72727273 15.27272727],1
s2,1,0.00071,11.463969,[47 16] ; [14 21],[39.21428571 23.78571429] ; [21.78571429 13.21428571],1
a3,1,0.000754,11.351025,[53 10] ; [19 17],[45.81818182 17.18181818] ; [26.18181818  9.81818182],1
a5,1,0.000754,11.351025,[53 10] ; [19 17],[45.81818182 17.18181818] ; [26.18181818  9.81818182],1
s5,1,0.000755,11.348156,[29 28] ; [ 5 28],[21.53333333 35.46666667] ; [12.46666667 20.53333333],1
s6,1,0.001291,10.355167,[51 11] ; [18 17],[44.10309278 17.89690722] ; [24.89690722 10.10309278],0
u1,1,0.001684,9.865839,[26 37] ; [ 4 32],[19.09090909 43.90909091] ; [10.90909091 25.09090909],0
s3,1,0.003204,8.687424,[43 19] ; [14 22],[36.06122449 25.93877551] ; [20.93877551 15.06122449],0
p10,1,0.004716,7.985185,[55  8] ; [22 13],[49.5 13.5] ; [27.5  7.5],0
a2,1,0.007832,7.071429,[27 36] ; [ 6 30],[21. 42.] ; [12. 24.],0
v3,1,0.01197,6.315356,[25 37] ; [ 5 28],[19.57894737 42.42105263] ; [10.42105263 22.57894737],0
d1,1,0.020212,5.393462,[43 20] ; [16 20],[37.54545455 25.45454545] ; [21.45454545 14.54545455],0
n4,1,0.029981,4.710409,[55  8] ; [25 11],[50.90909091 12.09090909] ; [29.09090909  6.90909091],0
n1,1,0.032556,4.568961,[11  9] ; [ 2 10],[ 8.125 11.875] ; [4.875 7.125],0
p9,1,0.042918,4.098646,[58  5] ; [28  8],[54.72727273  8.27272727] ; [31.27272727  4.72727273],0
d5,1,0.060914,3.512331,[56  7] ; [26  9],[52.71428571 10.28571429] ; [29.28571429  5.71428571],0
a4,1,0.062586,3.467484,[41 22] ; [16 19],[36.64285714 26.35714286] ; [20.35714286 14.64285714],0
u3,1,0.086673,2.935101,[9 1] ; [10  7],[7.03703704 2.96296296] ; [11.96296296  5.03703704],0
v2,1,0.088244,2.906114,[41 22] ; [15 17],[37.13684211 25.86315789] ; [18.86315789 13.13684211],0
d4,1,0.101043,2.689004,[54  9] ; [26 10],[50.90909091 12.09090909] ; [29.09090909  6.90909091],0
n6,1,0.138011,2.2,[56  7] ; [28  8],[53.45454545  9.54545455] ; [30.54545455  5.45454545],0
u2,1,0.14753,2.097605,[9 1] ; [11  6],[7.40740741 2.59259259] ; [12.59259259  4.40740741],0
a6,1,0.191094,1.709166,[48 15] ; [23 13],[45.18181818 17.81818182] ; [25.81818182 10.18181818],0
n2,1,0.20082,1.636401,[11  9] ; [10  3],[12.72727273  7.27272727] ; [8.27272727 4.72727273],0
b5,1,0.219207,1.509555,[46 17] ; [22 14],[43.27272727 19.72727273] ; [24.72727273 11.27272727],0
r2,1,0.274719,1.193033,[61  1] ; [34  2],[60.10204082  1.89795918] ; [34.89795918  1.10204082],0
p11,1,0.305898,1.048302,[41 22] ; [27  9],[43.27272727 19.72727273] ; [24.72727273 11.27272727],0
s4,1,0.312428,1.020385,[12 50] ; [ 4 31],[10.22680412 51.77319588] ; [ 5.77319588 29.22680412],0
d3,1,0.330129,0.948391,[45 18] ; [21 13],[42.86597938 20.13402062] ; [23.13402062 10.86597938],0
p1,1,0.344433,0.89386,[ 5 58] ; [ 5 31],[ 6.36363636 56.63636364] ; [ 3.63636364 32.36363636],0
p4,1,0.407016,0.6875,[42 21] ; [21 15],[40.09090909 22.90909091] ; [22.90909091 13.09090909],0
p3,1,0.469335,0.523541,[31 32] ; [15 21],[29.27272727 33.72727273] ; [16.72727273 19.27272727],0
v4,1,0.473736,0.513249,[60  3] ; [33  3],[59.18181818  3.81818182] ; [33.81818182  2.18181818],0
n3,1,0.480584,0.497538,[16  4] ; [9 4],[15.15151515  4.84848485] ; [9.84848485 3.15151515],0
b1,1,0.535717,0.383535,[24 39] ; [16 20],[25.45454545 37.54545455] ; [14.54545455 21.45454545],0
v1,1,0.552746,0.352421,[34 28] ; [17 18],[32.59793814 29.40206186] ; [18.40206186 16.59793814],0
p5,1,0.562752,0.334962,[ 2 61] ; [ 2 34],[ 2.54545455 60.45454545] ; [ 1.45454545 34.54545455],0
p7,1,0.615455,0.252307,[42 19] ; [23 13],[40.87628866 20.12371134] ; [24.12371134 11.87628866],0
