Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,107.726557,[215 175] ; [ 50 253],[149.13419913 240.86580087] ; [115.86580087 187.13419913],1
v1,1,0.0,49.631251,[253 142] ; [114 192],[206.79743224 188.20256776] ; [160.20256776 145.79743224],1
a5,1,0.000101,15.124299,[321  82] ; [207 103],[298.43478261 104.56521739] ; [229.56521739  80.43478261],1
r1,1,0.000299,13.07424,[359  43] ; [245  63],[341.98309859  60.01690141] ; [262.01690141  45.98309859],1
p10,1,0.001028,10.776322,[334  65] ; [226  81],[316.48725212  82.51274788] ; [243.51274788  63.48725212],0
d1,1,0.001226,10.451339,[259 144] ; [162 148],[237.95652174 165.04347826] ; [183.04347826 126.95652174],0
p3,1,0.002012,9.538155,[210 193] ; [125 184],[189.61376404 213.38623596] ; [145.38623596 163.61376404],0
p9,1,0.002043,9.510322,[345  52] ; [239  67],[329.79800853  67.20199147] ; [254.20199147  51.79800853],0
s7,1,0.002312,9.28372,[200 188] ; [117 177],[180.34604106 207.65395894] ; [136.65395894 157.34604106],0
d4,1,0.003231,8.672152,[348  55] ; [240  68],[333.28270042  69.71729958] ; [254.71729958  53.28270042],0
a3,1,0.005504,7.70603,[302 100] ; [202 106],[285.36338028 116.63661972] ; [218.63661972  89.36338028],0
s8,1,0.009024,6.817975,[188 212] ; [115 194],[170.94499295 229.05500705] ; [132.05500705 176.94499295],0
d5,1,0.012649,6.217581,[343  60] ; [239  68],[330.34647887  72.65352113] ; [251.65352113  55.34647887],0
d3,1,0.014314,5.999006,[296 107] ; [200 108],[281.13642757 121.86357243] ; [214.86357243  93.13642757],0
s1,1,0.015588,5.848785,[  6 389] ; [ 14 291],[ 11.28571429 383.71428571] ; [  8.71428571 296.28571429],0
p7,1,0.019178,5.485239,[262 131] ; [177 128],[247.17335244 145.82664756] ; [191.82664756 113.17335244],0
u1,1,0.019678,5.44023,[ 86 317] ; [ 45 265],[ 74.04347826 328.95652174] ; [ 56.95652174 253.04347826],0
s4,1,0.023382,5.139894,[ 59 341] ; [ 65 240],[ 70.35460993 329.64539007] ; [ 53.64539007 251.35460993],0
p8,1,0.025281,5.004534,[212 182] ; [140 169],[197.2802276 196.7197724] ; [154.7197724 154.2802276],0
n4,1,0.031912,4.60321,[316  85] ; [222  87],[303.85633803  97.14366197] ; [234.14366197  74.85633803],0
a6,1,0.042608,4.110887,[290 112] ; [201 108],[277.61181435 124.38818565] ; [213.38818565  95.61181435],0
a2,1,0.043517,4.075219,[111 292] ; [ 65 245],[ 99.47826087 303.52173913] ; [ 76.52173913 233.47826087],0
n6,1,0.046956,3.946973,[347  53] ; [252  58],[337.46478873  62.53521127] ; [261.53521127  48.46478873],0
d2,1,0.047256,3.936255,[209 193] ; [137 171],[195.90422535 206.09577465] ; [150.09577465 157.90422535],0
p12,1,0.062818,3.461382,[ 27 373] ; [ 11 297],[ 21.46892655 378.53107345] ; [ 16.53107345 291.46892655],0
s2,1,0.064057,3.429112,[210 189] ; [140 167],[197.80453258 201.19546742] ; [152.19546742 154.80453258],0
p4,1,0.075152,3.166755,[239 161] ; [164 145],[227.36248237 172.63751763] ; [175.63751763 133.36248237],0
a7,1,0.094524,2.795589,[306  96] ; [218  91],[296.27004219 105.72995781] ; [227.72995781  81.27004219],0
n5,1,0.109204,2.565705,[298 101] ; [214  95],[288.54237288 110.45762712] ; [223.45762712  85.54237288],0
b1,1,0.13072,2.283936,[139 264] ; [124 186],[148.65217391 254.34782609] ; [114.34782609 195.65217391],0
