Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.8e-05,18.40637,[40 41] ; [44  7],[51.54545455 29.45454545] ; [32.45454545 18.54545455],1
p3,1,0.000207,13.770344,[33 49] ; [38 14],[43.44776119 38.55223881] ; [27.55223881 24.44776119],1
p4,1,0.000282,13.189189,[43 40] ; [43  9],[52.87407407 30.12592593] ; [33.12592593 18.87407407],1
p8,1,0.019212,5.482129,[33 48] ; [32 20],[39.58646617 41.41353383] ; [25.41353383 26.58646617],0
s5,1,0.034304,4.479495,[25 57] ; [24 25],[30.67175573 51.32824427] ; [18.32824427 30.67175573],0
p5,1,0.03638,4.379221,[ 5 78] ; [ 9 43],[ 8.60740741 74.39259259] ; [ 5.39259259 46.60740741],0
p12,1,0.068859,3.310005,[ 2 80] ; [ 5 47],[ 4.28358209 77.71641791] ; [ 2.71641791 49.28358209],0
b5,1,0.081849,3.027804,[51 32] ; [24 28],[46.11111111 36.88888889] ; [28.88888889 23.11111111],0
v4,1,0.095022,2.787165,[71 10] ; [50  2],[73.69172932  7.30827068] ; [47.30827068  4.69172932],0
p10,1,0.097506,2.745874,[60 23] ; [44  8],[63.94074074 19.05925926] ; [40.05925926 11.94074074],0
p9,1,0.108307,2.578755,[60 20] ; [45  7],[63.63636364 16.36363636] ; [41.36363636 10.63636364],0
r4,1,0.131733,2.271958,[67 16] ; [47  5],[70.08888889 12.91111111] ; [43.91111111  8.08888889],0
b2,1,0.133642,2.249683,[16 39] ; [16 20],[19.34065934 35.65934066] ; [12.65934066 23.34065934],0
b3,1,0.133642,2.249683,[16 39] ; [16 20],[19.34065934 35.65934066] ; [12.65934066 23.34065934],0
p1,1,0.139487,2.183615,[ 5 78] ; [ 7 45],[ 7.37777778 75.62222222] ; [ 4.62222222 47.37777778],0
a8,1,0.174068,1.847559,[15 60] ; [ 5 42],[12.29508197 62.70491803] ; [ 7.70491803 39.29508197],0
r1,1,0.224401,1.476,[63 20] ; [44  8],[65.78518519 17.21481481] ; [41.21481481 10.78518519],0
d3,1,0.234891,1.410994,[57 25] ; [41 11],[59.97014925 22.02985075] ; [38.02985075 13.97014925],0
v3,1,0.245816,1.346928,[25 55] ; [21 30],[28.09160305 51.90839695] ; [17.90839695 33.09160305],0
d5,1,0.264947,1.24272,[68 14] ; [39 13],[65.47761194 16.52238806] ; [41.52238806 10.47761194],0
