Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,23.143143,[2 4] ; [70  4],[5.4 0.6] ; [66.6  7.4],1
r1,1,1e-05,19.471939,[1 5] ; [65  9],[4.95 1.05] ; [61.05 12.95],1
n6,1,0.003879,8.339768,[3 3] ; [67  7],[5.25 0.75] ; [64.75  9.25],0
a7,1,0.020772,5.345802,[2 4] ; [56 17],[4.40506329 1.59493671] ; [53.59493671 19.40506329],0
a5,1,0.02139,5.294715,[1 5] ; [47 26],[3.64556962 2.35443038] ; [44.35443038 28.64556962],0
b1,1,0.042133,4.129844,[5 1] ; [30 44],[2.625 3.375] ; [32.375 41.625],0
s3,1,0.044163,4.050335,[1 5] ; [42 29],[3.35064935 2.64935065] ; [39.64935065 31.35064935],0
v3,1,0.049713,3.851124,[1 5] ; [43 31],[3.3 2.7] ; [40.7 33.3],0
b5,1,0.078048,3.105094,[1 5] ; [40 34],[3.075 2.925] ; [37.925 36.075],0
p3,1,0.102083,2.672697,[1 5] ; [37 35],[2.92307692 3.07692308] ; [35.07692308 36.92307692],0
d2,1,0.141446,2.162162,[3 3] ; [17 57],[1.5 4.5] ; [18.5 55.5],0
p2,1,0.154949,2.022845,[3 3] ; [55 17],[4.46153846 1.53846154] ; [53.53846154 18.46153846],0
s4,1,0.158928,1.984396,[2 4] ; [ 9 63],[0.84615385 5.15384615] ; [10.15384615 61.84615385],0
v4,1,0.172775,1.858701,[5 1] ; [71  3],[5.7 0.3] ; [70.3  3.7],0
b4,1,0.188529,1.729079,[2 4] ; [45 29],[3.525 2.475] ; [43.475 30.525],0
p6,1,0.229262,1.445436,[1 5] ; [30 42],[2.38461538 3.61538462] ; [28.61538462 43.38461538],0
s8,1,0.317196,1.000472,[1 5] ; [27 46],[2.12658228 3.87341772] ; [25.87341772 47.12658228],0
d1,1,0.375419,0.785651,[1 5] ; [ 5 69],[0.45 5.55] ; [ 5.55 68.45],0
a6,1,0.438066,0.601344,[3 3] ; [48 25],[3.87341772 2.12658228] ; [47.12658228 25.87341772],0
n1,1,0.438578,0.6,[1 4] ; [4 6],[1.66666667 3.33333333] ; [3.33333333 6.66666667],0
p4,1,0.452363,0.564725,[2 4] ; [35 36],[2.88311688 3.11688312] ; [34.11688312 36.88311688],0
p9,1,0.4888,0.479168,[4 2] ; [56 15],[4.67532468 1.32467532] ; [55.32467532 15.67532468],0
v1,1,0.545399,0.365625,[3 3] ; [45 27],[3.69230769 2.30769231] ; [44.30769231 27.69230769],0
s2,1,0.554207,0.349834,[2 4] ; [33 39],[2.69230769 3.30769231] ; [32.30769231 39.69230769],0
a8,1,0.578691,0.308356,[1 4] ; [ 8 61],[0.60810811 4.39189189] ; [ 8.39189189 60.60810811],0
n2,1,0.591208,0.288462,[4 1] ; [9 1],[4.33333333 0.66666667] ; [8.66666667 1.33333333],0
p10,1,0.635599,0.224545,[5 1] ; [53 18],[4.51948052 1.48051948] ; [53.48051948 17.51948052],0
p8,1,0.641818,0.216372,[3 3] ; [43 29],[3.53846154 2.46153846] ; [42.46153846 29.53846154],0
n5,1,0.659761,0.193814,[5 1] ; [55 18],[4.55696203 1.44303797] ; [55.44303797 17.55696203],0
s6,1,0.691398,0.157576,[3 3] ; [42 30],[3.46153846 2.53846154] ; [41.53846154 30.46153846],0
a3,1,0.709645,0.138632,[4 2] ; [43 30],[3.56962025 2.43037975] ; [43.43037975 29.56962025],0
n4,1,0.755179,0.09723,[4 2] ; [53 20],[4.32911392 1.67088608] ; [52.67088608 20.32911392],0
p5,1,0.769287,0.086029,[1 5] ; [ 9 63],[0.76923077 5.23076923] ; [ 9.23076923 62.76923077],0
u2,1,0.854,0.033862,[1 1] ; [17 13],[1.125 0.875] ; [16.875 13.125],0
p7,1,0.926246,0.008569,[4 2] ; [46 25],[3.8961039 2.1038961] ; [46.1038961 24.8961039],0
a4,1,0.943881,0.004955,[1 5] ; [13 60],[1.06329114 4.93670886] ; [12.93670886 60.06329114],0
u3,1,0.964716,0.001957,[1 1] ; [16 15],[1.03030303 0.96969697] ; [15.96969697 15.03030303],0
d4,1,0.974266,0.001041,[3 3] ; [37 36],[3.03797468 2.96202532] ; [36.96202532 36.03797468],0
d3,1,0.974266,0.001041,[3 3] ; [36 37],[2.96202532 3.03797468] ; [36.03797468 36.96202532],0
n3,1,1.0,0.0,[4 1] ; [8 2],[4. 1.] ; [8. 2.],0
