Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5e-06,21.034777,[135  14] ; [35 20],[124.16666667  24.83333333] ; [45.83333333  9.16666667],1
s2,1,1.5e-05,18.705298,[113  36] ; [23 30],[100.31683168  48.68316832] ; [35.68316832 17.31683168],1
s3,1,2.1e-05,18.060155,[122  26] ; [28 25],[110.44776119  37.55223881] ; [39.55223881 13.44776119],1
n5,1,0.003385,8.587646,[120  28] ; [33 21],[112.0990099  35.9009901] ; [40.9009901 13.0990099],0
a3,1,0.008561,6.912278,[126  24] ; [37 18],[119.26829268  30.73170732] ; [43.73170732 11.26829268],0
p10,1,0.019233,5.480184,[133  16] ; [42 13],[127.81862745  21.18137255] ; [47.18137255  7.81862745],0
s5,1,0.038634,4.276889,[61 85] ; [13 38],[54.84263959 91.15736041] ; [19.15736041 31.84263959],0
p9,1,0.056612,3.633971,[135  15] ; [44 11],[130.97560976  19.02439024] ; [48.02439024  6.97560976],0
d4,1,0.068456,3.319656,[126  24] ; [40 15],[121.46341463  28.53658537] ; [44.53658537 10.46341463],0
a5,1,0.099697,2.710379,[120  30] ; [38 17],[115.6097561  34.3902439] ; [42.3902439 12.6097561],0
u1,1,0.114947,2.484848,[ 34 116] ; [ 7 48],[ 30. 120.] ; [11. 44.],0
p1,1,0.172273,1.863054,[ 10 140] ; [ 1 54],[  8.04878049 141.95121951] ; [ 2.95121951 52.04878049],0
p5,1,0.186942,1.741553,[ 17 128] ; [ 3 52],[ 14.5 130.5] ; [ 5.5 49.5],0
n6,1,0.190426,1.71432,[127  21] ; [43 12],[123.9408867  24.0591133] ; [46.0591133  8.9408867],0
v3,1,0.200871,1.636032,[70 71] ; [20 31],[66.09375 74.90625] ; [23.90625 27.09375],0
p4,1,0.224093,1.477968,[82 67] ; [25 30],[78.15196078 70.84803922] ; [28.84803922 26.15196078],0
d3,1,0.284515,1.145397,[102  48] ; [33 22],[98.7804878 51.2195122] ; [36.2195122 18.7804878],0
n4,1,0.285737,1.139598,[118  30] ; [40 15],[115.19211823  32.80788177] ; [42.80788177 12.19211823],0
n1,1,0.318071,0.996863,[19 18] ; [5 9],[17.41176471 19.58823529] ; [6.58823529 7.41176471],0
