Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000996,10.834613,[ 5 30] ; [4 1],[ 7.875 27.125] ; [1.125 3.875],1
d2,1,0.040879,4.181029,[11 23] ; [4 1],[13.07692308 20.92307692] ; [1.92307692 3.07692308],0
p2,1,0.053337,3.733333,[ 7 28] ; [3 2],[ 8.75 26.25] ; [1.25 3.75],0
p5,1,0.106377,2.607234,[ 1 33] ; [1 4],[ 1.74358974 32.25641026] ; [0.25641026 4.74358974],0
s6,1,0.177313,1.82,[ 7 28] ; [2 2],[ 8.07692308 26.92307692] ; [0.92307692 3.07692308],0
d5,1,0.18804,1.732904,[18 17] ; [1 4],[16.625 18.375] ; [2.375 2.625],0
b1,1,0.210228,1.569859,[24 11] ; [2 3],[22.75 12.25] ; [3.25 1.75],0
s4,1,0.231998,1.428571,[ 6 29] ; [2 3],[ 7. 28.] ; [1. 4.],0
a3,1,0.313628,1.015336,[21 12] ; [2 3],[19.97368421 13.02631579] ; [3.02631579 1.97368421],0
n6,1,0.355582,0.853437,[13 21] ; [3 2],[13.94871795 20.05128205] ; [2.05128205 2.94871795],0
d3,1,0.387534,0.746667,[14 21] ; [1 4],[13.125 21.875] ; [1.875 3.125],0
v4,1,0.397422,0.716113,[14 21] ; [3 2],[14.875 20.125] ; [2.125 2.875],0
p1,1,0.425556,0.634921,[ 3 32] ; [1 4],[ 3.5 31.5] ; [0.5 4.5],0
n3,1,0.427205,0.630409,[ 8 11] ; [2 1],[ 8.63636364 10.36363636] ; [1.36363636 1.63636364],0
s3,1,0.455869,0.556017,[ 8 25] ; [2 3],[ 8.68421053 24.31578947] ; [1.31578947 3.68421053],0
n1,1,0.483578,0.490783,[ 9 11] ; [2 1],[ 9.56521739 10.43478261] ; [1.43478261 1.56521739],0
p7,1,0.503368,0.447828,[ 9 26] ; [2 3],[ 9.625 25.375] ; [1.375 3.625],0
s7,1,0.515252,0.423387,[ 4 27] ; [1 3],[ 4.42857143 26.57142857] ; [0.57142857 3.42857143],0
n4,1,0.523496,0.407,[23 12] ; [4 1],[23.625 11.375] ; [3.375 1.625],0
r4,1,0.587746,0.293878,[ 4 31] ; [1 4],[ 4.375 30.625] ; [0.625 4.375],0
b5,1,0.632585,0.228571,[18 17] ; [2 3],[17.5 17.5] ; [2.5 2.5],0
a6,1,0.632585,0.228571,[18 17] ; [2 3],[17.5 17.5] ; [2.5 2.5],0
d1,1,0.688038,0.161218,[10 25] ; [1 4],[ 9.625 25.375] ; [1.375 3.625],0
r1,1,0.701883,0.14652,[11 24] ; [2 3],[11.375 23.625] ; [1.625 3.375],0
b4,1,0.719582,0.128894,[18 17] ; [3 2],[18.375 16.625] ; [2.625 2.375],0
d4,1,0.719582,0.128894,[17 18] ; [2 3],[16.625 18.375] ; [2.375 2.625],0
a5,1,0.719582,0.128894,[18 17] ; [3 2],[18.375 16.625] ; [2.625 2.375],0
s2,1,0.737828,0.112045,[ 5 30] ; [1 4],[ 5.25 29.75] ; [0.75 4.25],0
r2,1,0.862362,0.030057,[19 15] ; [3 2],[19.17948718 14.82051282] ; [2.82051282 2.17948718],0
u2,1,0.86952,0.026984,[ 4 10] ; [1 2],[4.11764706 9.88235294] ; [0.88235294 2.11764706],0
a4,1,0.875179,0.024675,[12 21] ; [2 3],[12.15789474 20.84210526] ; [1.84210526 3.15789474],0
a7,1,0.903778,0.014615,[15 20] ; [2 3],[14.875 20.125] ; [2.125 2.875],0
a1,1,1.0,0.0,[ 7 28] ; [1 4],[ 7. 28.] ; [1. 4.],0
p3,1,1.0,0.0,[ 7 28] ; [1 4],[ 7. 28.] ; [1. 4.],0
