Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,141.023755,[373  25] ; [18 34],[345.81777778  52.18222222] ; [45.18222222  6.81777778],1
p11,1,0.0,45.113511,[361  40] ; [29 23],[345.23178808  55.76821192] ; [44.76821192  7.23178808],1
n6,1,2e-06,22.94379,[355  42] ; [34 18],[343.94877506  53.05122494] ; [45.05122494  6.94877506],1
n5,1,7e-06,20.095889,[324  75] ; [28 24],[311.41463415  87.58536585] ; [40.58536585 11.41463415],1
v1,1,0.000164,14.199412,[243 149] ; [18 34],[230.43243243 161.56756757] ; [30.56756757 21.43243243],1
b1,1,0.000169,14.148211,[139 262] ; [32 20],[151.37086093 249.62913907] ; [19.62913907 32.37086093],1
r4,1,0.000398,12.541156,[382  19] ; [43  9],[376.21412804  24.78587196] ; [48.78587196  3.21412804],1
p2,1,0.000443,12.341141,[372  27] ; [41 11],[365.38137472  33.61862528] ; [47.61862528  4.38137472],1
a3,1,0.000459,12.276253,[287 112] ; [25 27],[276.02660754 122.97339246] ; [35.97339246 16.02660754],1
a4,1,0.001057,10.724192,[180 220] ; [11 41],[169.02654867 230.97345133] ; [21.97345133 30.02654867],0
n4,1,0.0012,10.489938,[325  76] ; [32 20],[316.01986755  84.98013245] ; [40.98013245 11.01986755],0
s8,1,0.001894,9.649905,[209 189] ; [15 36],[198.55679287 199.44320713] ; [25.44320713 25.55679287],0
s5,1,0.004955,7.895731,[156 229] ; [10 40],[146.91954023 238.08045977] ; [19.08045977 30.91954023],0
p3,1,0.005004,7.877828,[261 139] ; [23 28],[251.88470067 148.11529933] ; [32.11529933 18.88470067],0
b3,1,0.005809,7.608622,[ 96 144] ; [ 4 25],[ 89.21933086 150.78066914] ; [10.78066914 18.21933086],0
b2,1,0.005809,7.608622,[ 96 144] ; [ 4 25],[ 89.21933086 150.78066914] ; [10.78066914 18.21933086],0
p5,1,0.021609,5.277024,[ 74 326] ; [ 3 49],[ 68.14159292 331.85840708] ; [ 8.85840708 43.14159292],0
a5,1,0.02238,5.216035,[312  89] ; [33 19],[305.39735099  95.60264901] ; [39.60264901 12.39735099],0
s7,1,0.024944,5.027755,[210 173] ; [19 31],[202.55658199 180.44341801] ; [26.44341801 23.55658199],0
v3,1,0.033162,4.537414,[176 214] ; [15 36],[168.91156463 221.08843537] ; [22.08843537 28.91156463],0
n3,1,0.077504,3.116488,[43 14] ; [6 6],[40.47826087 16.52173913] ; [8.52173913 3.47826087],0
r1,1,0.104379,2.637332,[336  64] ; [39 13],[331.85840708  68.14159292] ; [43.14159292  8.85840708],0
p4,1,0.108207,2.580211,[296 104] ; [33 19],[291.15044248 108.84955752] ; [37.84955752 14.15044248],0
r2,1,0.120636,2.409043,[377  18] ; [47  5],[374.67561521  20.32438479] ; [49.32438479  2.67561521],0
p6,1,0.138008,2.200027,[199 199] ; [19 30],[194.10290828 203.89709172] ; [23.89709172 25.10290828],0
a2,1,0.147107,2.101991,[ 89 312] ; [ 7 45],[ 84.98013245 316.01986755] ; [11.01986755 40.98013245],0
s6,1,0.18939,1.722356,[278 110] ; [32 19],[273.98633257 114.01366743] ; [36.01366743 14.98633257],0
d5,1,0.209348,1.575932,[328  71] ; [39 13],[324.68514412  74.31485588] ; [42.31485588  9.68514412],0
v4,1,0.240419,1.378137,[387  11] ; [49  3],[385.61777778  12.38222222] ; [50.38222222  1.61777778],0
p7,1,0.244085,1.356844,[329  67] ; [39 12],[326.01342282  69.98657718] ; [41.98657718  9.01342282],0
v2,1,0.262921,1.253313,[233 155] ; [27 25],[229.27272727 158.72727273] ; [30.72727273 21.27272727],0
b5,1,0.267903,1.227452,[222 179] ; [33 19],[225.72847682 175.27152318] ; [29.27152318 22.72847682],0
b4,1,0.379932,0.77092,[221 180] ; [32 20],[223.9580574 177.0419426] ; [29.0419426 22.9580574],0
d3,1,0.414955,0.66456,[278 122] ; [39 13],[280.53097345 119.46902655] ; [36.46902655 15.53097345],0
a8,1,0.429925,0.623025,[ 57 309] ; [ 5 40],[ 55.21167883 310.78832117] ; [ 6.78832117 38.21167883],0
a7,1,0.439456,0.597702,[297 103] ; [36 16],[294.69026549 105.30973451] ; [38.30973451 13.69026549],0
n1,1,0.464673,0.534614,[22 35] ; [6 6],[23.13043478 33.86956522] ; [4.86956522 7.13043478],0
s2,1,0.473846,0.512992,[209 190] ; [24 27],[206.59333333 192.40666667] ; [26.40666667 24.59333333],0
u1,1,0.580196,0.305917,[ 66 335] ; [ 7 45],[ 64.62030905 336.37969095] ; [ 8.37969095 43.62030905],0
d1,1,0.586868,0.295262,[247 154] ; [30 22],[245.20309051 155.79690949] ; [31.79690949 20.20309051],0
d4,1,0.592265,0.286821,[334  65] ; [42 10],[332.64745011  66.35254989] ; [43.35254989  8.64745011],0
d2,1,0.65873,0.19507,[187 213] ; [26 26],[188.49557522 211.50442478] ; [24.50442478 27.49557522],0
a1,1,0.667335,0.184735,[ 21 380] ; [ 2 50],[ 20.3598234 380.6401766] ; [ 2.6401766 49.3598234],0
p1,1,0.677743,0.172677,[ 46 352] ; [ 5 47],[ 45.10666667 352.89333333] ; [ 5.89333333 46.10666667],0
s1,1,0.725275,0.123494,[ 11 388] ; [ 1 51],[ 10.61640798 388.38359202] ; [ 1.38359202 50.61640798],0
u4,1,0.728992,0.120039,[ 11 390] ; [ 1 51],[ 10.62251656 390.37748344] ; [ 1.37748344 50.62251656],0
n2,1,0.751141,0.100575,[46 12] ; [10  2],[46.4 11.6] ; [9.6 2.4],0
s4,1,0.806252,0.060154,[ 66 331] ; [ 9 41],[ 66.61073826 330.38926174] ; [ 8.38926174 41.61073826],0
u3,1,0.806868,0.059765,[61 51] ; [14 13],[60.43165468 51.56834532] ; [14.56834532 12.43165468],0
s3,1,0.808405,0.058799,[229 169] ; [29 23],[228.18666667 169.81333333] ; [29.81333333 22.18666667],0
a6,1,0.898029,0.016423,[265 134] ; [35 17],[265.41019956 133.58980044] ; [34.58980044 17.41019956],0
u2,1,0.9126,0.012047,[62 52] ; [15 12],[62.25531915 51.74468085] ; [14.74468085 12.25531915],0
