Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.254146,[19  3] ; [32 69],[ 9.12195122 12.87804878] ; [41.87804878 59.12195122],1
p8,1,0.000245,13.453212,[14  8] ; [24 77],[ 6.79674797 15.20325203] ; [31.20325203 69.79674797],1
a5,1,0.018738,5.525847,[ 6 16] ; [56 46],[11. 11.] ; [51. 51.],0
p2,1,0.018738,5.525847,[16  6] ; [46 56],[11. 11.] ; [51. 51.],0
b4,1,0.02391,5.101125,[ 9 13] ; [68 34],[13.66129032  8.33870968] ; [63.33870968 38.66129032],0
a6,1,0.03615,4.390037,[ 8 14] ; [62 40],[12.41935484  9.58064516] ; [57.58064516 44.41935484],0
s2,1,0.039251,4.249973,[10 12] ; [24 77],[ 6.08130081 15.91869919] ; [27.91869919 73.08130081],0
s7,1,0.051714,3.785005,[ 8 12] ; [19 77],[ 4.65517241 15.34482759] ; [22.34482759 73.65517241],0
r3,1,0.065172,3.400616,[20  2] ; [73 28],[16.63414634  5.36585366] ; [76.36585366 24.63414634],0
n3,1,0.069903,3.2853,[6 1] ; [20 21],[3.79166667 3.20833333] ; [22.20833333 18.79166667],0
d5,1,0.09666,2.759812,[12 10] ; [74 28],[15.25806452  6.74193548] ; [70.74193548 31.25806452],0
p3,1,0.1,2.705544,[ 9 13] ; [24 77],[ 5.90243902 16.09756098] ; [27.09756098 73.90243902],0
v4,1,0.10779,2.586334,[20  2] ; [76 25],[17.17073171  4.82926829] ; [78.82926829 22.17073171],0
r4,1,0.144633,2.127956,[17  5] ; [62 40],[14.01612903  7.98387097] ; [64.98387097 37.01612903],0
b5,1,0.184447,1.761427,[14  8] ; [49 53],[11.17741935 10.82258065] ; [51.82258065 50.17741935],0
p4,1,0.188743,1.727403,[11 11] ; [35 65],[ 8.29508197 13.70491803] ; [37.70491803 62.29508197],0
u2,1,0.19477,1.681159,[8 4] ; [21 25],[6. 6.] ; [23. 23.],0
p11,1,0.201746,1.629692,[13  9] ; [45 57],[10.29032258 11.70967742] ; [47.70967742 54.29032258],0
s3,1,0.209194,1.576997,[11 11] ; [36 65],[ 8.40650407 13.59349593] ; [38.59349593 62.40650407],0
s6,1,0.230632,1.436963,[11 11] ; [37 65],[ 8.51612903 13.48387097] ; [39.48387097 62.51612903],0
a8,1,0.25229,1.31058,[ 3 19] ; [ 6 88],[ 1.70689655 20.29310345] ; [ 7.29310345 86.70689655],0
s4,1,0.255529,1.29282,[ 5 15] ; [15 87],[ 3.27868852 16.72131148] ; [16.72131148 85.27868852],0
a2,1,0.270379,1.214825,[ 1 21] ; [13 89],[ 2.48387097 19.51612903] ; [11.51612903 90.48387097],0
n2,1,0.29141,1.113095,[5 2] ; [22 22],[3.70588235 3.29411765] ; [23.29411765 20.70588235],0
s8,1,0.299993,1.074225,[ 6 16] ; [18 84],[ 4.25806452 17.74193548] ; [19.74193548 82.25806452],0
v3,1,0.321588,0.982479,[ 3 19] ; [23 76],[ 4.72727273 17.27272727] ; [21.27272727 77.72727273],0
n1,1,0.333416,0.935584,[3 3] ; [13 30],[1.95918367 4.04081633] ; [14.04081633 28.95918367],0
n4,1,0.351168,0.869234,[11 11] ; [62 40],[12.9516129  9.0483871] ; [60.0483871 41.9516129],0
a1,1,0.431419,0.619002,[ 1 21] ; [10 92],[ 1.9516129 20.0483871] ; [ 9.0483871 92.9516129],0
r1,1,0.441848,0.591477,[13  9] ; [69 33],[14.5483871  7.4516129] ; [67.4516129 34.5483871],0
a3,1,0.443455,0.587327,[10 12] ; [55 46],[11.62601626 10.37398374] ; [53.37398374 47.62601626],0
u1,1,0.48862,0.479565,[ 3 19] ; [ 9 93],[ 2.12903226 19.87096774] ; [ 9.87096774 92.12903226],0
n5,1,0.615081,0.252842,[11 11] ; [57 45],[12.06451613  9.93548387] ; [55.93548387 46.06451613],0
a4,1,0.621818,0.243321,[ 6 16] ; [33 68],[ 6.97560976 15.02439024] ; [32.02439024 68.97560976],0
a7,1,0.651454,0.204072,[14  8] ; [59 42],[13.05691057  8.94308943] ; [59.94308943 41.05691057],0
d3,1,0.698919,0.149599,[12 10] ; [51 51],[11.17741935 10.82258065] ; [51.82258065 50.17741935],0
p5,1,0.705848,0.142459,[ 1 21] ; [ 3 98],[ 0.71544715 21.28455285] ; [ 3.28455285 97.71544715],0
b1,1,0.719826,0.12866,[13  9] ; [56 46],[12.24193548  9.75806452] ; [56.75806452 45.24193548],0
