Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,58.975971,[104  22] ; [ 2 25],[87.29411765 38.70588235] ; [18.70588235  8.29411765],1
r2,1,0.0,39.095064,[113  13] ; [10 17],[101.29411765  24.70588235] ; [21.70588235  5.29411765],1
r3,1,0.0,38.802451,[114  12] ; [10 16],[102.78947368  23.21052632] ; [21.21052632  4.78947368],1
p11,1,0.0,25.535368,[96 30] ; [ 7 20],[84.82352941 41.17647059] ; [18.17647059  8.82352941],1
n6,1,7e-06,20.24642,[99 27] ; [ 9 17],[89.52631579 36.47368421] ; [18.47368421  7.52631579],1
p2,1,5.1e-05,16.392857,[93 33] ; [ 9 18],[84. 42.] ; [18.  9.],1
s1,1,0.000346,12.804878,[  4 119] ; [ 6 21],[  8.2 114.8] ; [ 1.8 25.2],1
p9,1,0.000383,12.611298,[92 32] ; [10 16],[84.32 39.68] ; [17.68  8.32],1
a7,1,0.001133,10.596263,[76 50] ; [ 7 20],[68.35294118 57.64705882] ; [14.64705882 12.35294118],0
r1,1,0.001285,10.364516,[84 42] ; [ 9 18],[76.58823529 49.41176471] ; [16.41176471 10.58823529],0
v2,1,0.002419,9.200629,[52 68] ; [ 3 23],[45.20547945 74.79452055] ; [ 9.79452055 16.20547945],0
p10,1,0.002847,8.903278,[86 38] ; [10 16],[79.36 44.64] ; [16.64  9.36],0
n2,1,0.004763,7.967324,[29  5] ; [7 8],[24.97959184  9.02040816] ; [11.02040816  3.97959184],0
a1,1,0.005015,7.873847,[  3 123] ; [ 4 23],[  5.76470588 120.23529412] ; [ 1.23529412 25.76470588],0
a6,1,0.005931,7.571036,[74 52] ; [ 8 19],[67.52941176 58.47058824] ; [14.47058824 12.52941176],0
u2,1,0.009143,6.794605,[30 26] ; [ 3 14],[25.31506849 30.68493151] ; [7.68493151 9.31506849],0
d3,1,0.012531,6.234141,[56 70] ; [ 5 22],[50.23529412 75.76470588] ; [10.76470588 16.23529412],0
u3,1,0.028482,4.798649,[27 30] ; [ 3 14],[23.10810811 33.89189189] ; [ 6.89189189 10.10810811],0
s6,1,0.030401,4.686467,[56 69] ; [ 6 21],[50.98684211 74.01315789] ; [11.01315789 15.98684211],0
n3,1,0.056024,3.651344,[24  8] ; [7 8],[21.10638298 10.89361702] ; [9.89361702 5.10638298],0
s7,1,0.063321,3.448196,[41 80] ; [ 4 22],[37.04081633 83.95918367] ; [ 7.95918367 18.04081633],0
s8,1,0.068919,3.308581,[35 91] ; [ 3 24],[31.29411765 94.70588235] ; [ 6.70588235 20.29411765],0
p8,1,0.09258,2.828933,[56 69] ; [ 7 19],[52.15231788 72.84768212] ; [10.84768212 15.15231788],0
s3,1,0.10762,2.588827,[62 61] ; [ 9 18],[58.22 64.78] ; [12.78 14.22],0
p7,1,0.116953,2.457658,[65 56] ; [10 17],[61.31756757 59.68243243] ; [13.68243243 13.31756757],0
v1,1,0.130397,2.287767,[56 67] ; [ 8 19],[52.48 70.52] ; [11.52 15.48],0
a3,1,0.138959,2.189453,[68 57] ; [10 16],[64.56953642 60.43046358] ; [13.43046358 12.56953642],0
v3,1,0.172872,1.857856,[39 84] ; [ 5 22],[36.08 86.92] ; [ 7.92 19.08],0
b4,1,0.185602,1.752189,[69 57] ; [11 16],[65.88235294 60.11764706] ; [14.11764706 12.88235294],0
a5,1,0.200423,1.639286,[59 67] ; [ 9 18],[56. 70.] ; [12. 15.],0
b5,1,0.200423,1.639286,[73 53] ; [12 15],[70. 56.] ; [15. 12.],0
p4,1,0.208294,1.583245,[53 71] ; [ 8 19],[50.09271523 73.90728477] ; [10.90728477 16.09271523],0
p6,1,0.234769,1.411735,[33 92] ; [ 4 22],[30.62913907 94.37086093] ; [ 6.37086093 19.62913907],0
d4,1,0.250283,1.321723,[62 64] ; [10 17],[59.29411765 66.70588235] ; [12.70588235 14.29411765],0
p3,1,0.258831,1.275,[42 84] ; [ 6 21],[39.52941176 86.47058824] ; [ 8.47058824 18.52941176],0
b3,1,0.376278,0.782828,[25 50] ; [ 8 10],[26.61290323 48.38709677] ; [ 6.38709677 11.61290323],0
