Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,31.397682,[83 38] ; [12 41],[66.06321839 54.93678161] ; [28.93678161 24.06321839],1
s8,1,0.0,27.243134,[70 51] ; [ 8 45],[54.24137931 66.75862069] ; [23.75862069 29.24137931],1
s3,1,0.0,26.704399,[88 33] ; [16 36],[72.73988439 48.26011561] ; [31.26011561 20.73988439],1
s7,1,1e-06,25.193557,[76 37] ; [12 37],[61.38271605 51.61728395] ; [26.61728395 22.38271605],1
s5,1,5e-06,20.96203,[56 63] ; [ 5 45],[42.95266272 76.04733728] ; [18.04733728 31.95266272],1
r1,1,0.000225,13.612746,[97 24] ; [28 25],[86.92528736 34.07471264] ; [38.07471264 14.92528736],1
r3,1,0.000553,11.928277,[116   4] ; [43 10],[110.28901734   9.71098266] ; [48.71098266  4.28901734],1
r4,1,0.001396,10.211545,[111  10] ; [39 14],[104.31034483  16.68965517] ; [45.68965517  7.31034483],0
s4,1,0.001814,9.729175,[38 82] ; [ 5 48],[29.8265896 90.1734104] ; [13.1734104 39.8265896],0
p5,1,0.004914,7.910862,[25 95] ; [ 2 50],[ 18.8372093 101.1627907] ; [ 8.1627907 43.8372093],0
a4,1,0.005053,7.860513,[62 59] ; [15 38],[53.54597701 67.45402299] ; [23.45402299 29.54597701],0
p4,1,0.009192,6.785099,[103  18] ; [36 17],[96.66091954 24.33908046] ; [42.33908046 10.66091954],0
p9,1,0.010581,6.534383,[106  15] ; [38 15],[100.13793103  20.86206897] ; [43.86206897  9.13793103],0
p10,1,0.01131,6.415891,[100  20] ; [35 18],[93.6416185 26.3583815] ; [41.3583815 11.6416185],0
v4,1,0.013505,6.101761,[117   4] ; [46  7],[113.35057471   7.64942529] ; [49.64942529  3.35057471],0
p8,1,0.01871,5.528435,[80 41] ; [25 28],[73.01724138 47.98275862] ; [31.98275862 21.01724138],0
p11,1,0.024199,5.080297,[97 24] ; [34 19],[91.09770115 29.90229885] ; [39.90229885 13.09770115],0
a5,1,0.048079,3.907215,[89 32] ; [31 22],[83.44827586 37.55172414] ; [36.55172414 16.44827586],0
n5,1,0.067853,3.334209,[91 29] ; [33 20],[86.01156069 33.98843931] ; [37.98843931 15.01156069],0
d2,1,0.069592,3.292615,[60 61] ; [18 34],[54.55491329 66.44508671] ; [23.44508671 28.55491329],0
p6,1,0.071564,3.246778,[58 61] ; [18 35],[52.58139535 66.41860465] ; [23.41860465 29.58139535],0
a3,1,0.085976,2.948144,[86 35] ; [30 22],[81.13294798 39.86705202] ; [34.86705202 17.13294798],0
a2,1,0.088677,2.898232,[27 94] ; [ 6 47],[22.94827586 98.05172414] ; [10.05172414 42.94827586],0
p7,1,0.094965,2.788135,[87 32] ; [32 21],[82.33139535 36.66860465] ; [36.66860465 16.33139535],0
u3,1,0.097433,2.747067,[25  9] ; [12 11],[22.07017544 11.92982456] ; [14.92982456  8.07017544],0
n6,1,0.144989,2.124191,[104  17] ; [40 12],[100.71676301  20.28323699] ; [43.28323699  8.71676301],0
a1,1,0.147614,2.096738,[  9 112] ; [ 1 52],[  6.95402299 114.04597701] ; [ 3.04597701 49.95402299],0
u1,1,0.171205,1.872361,[24 97] ; [ 6 47],[ 20.86206897 100.13793103] ; [ 9.13793103 43.86206897],0
u2,1,0.17602,1.83091,[23 12] ; [11 12],[20.51724138 14.48275862] ; [13.48275862  9.51724138],0
a7,1,0.200118,1.641509,[77 44] ; [39 14],[80.66666667 40.33333333] ; [35.33333333 17.66666667],0
p2,1,0.206644,1.594781,[105  16] ; [42 11],[102.22413793  18.77586207] ; [44.77586207  8.22413793],0
d1,1,0.293964,1.101378,[72 49] ; [27 26],[68.84482759 52.15517241] ; [30.15517241 22.84482759],0
a6,1,0.321051,0.984659,[75 46] ; [37 16],[77.88505747 43.11494253] ; [34.11494253 18.88505747],0
b1,1,0.32592,0.965041,[60 61] ; [22 31],[57.02298851 63.97701149] ; [24.97701149 28.02298851],0
v3,1,0.334968,0.929597,[29 90] ; [ 9 42],[26.6 92.4] ; [11.4 39.6],0
d4,1,0.349782,0.874247,[98 22] ; [40 13],[95.72254335 24.27745665] ; [42.27745665 10.72254335],0
v1,1,0.387045,0.748207,[52 64] ; [20 33],[49.42011834 66.57988166] ; [22.57988166 30.42011834],0
b5,1,0.397357,0.71631,[67 54] ; [33 20],[69.54022989 51.45977011] ; [30.45977011 22.54022989],0
n3,1,0.403173,0.698842,[14  9] ; [9 3],[15.11428571  7.88571429] ; [7.88571429 4.11428571],0
b3,1,0.44622,0.580234,[29 50] ; [ 9 22],[27.29090909 51.70909091] ; [10.70909091 20.29090909],0
b2,1,0.44622,0.580234,[29 50] ; [ 9 22],[27.29090909 51.70909091] ; [10.70909091 20.29090909],0
d3,1,0.48025,0.498296,[82 39] ; [33 20],[79.97126437 41.02873563] ; [35.02873563 17.97126437],0
a8,1,0.498105,0.458972,[  9 107] ; [ 5 40],[ 10.08695652 105.91304348] ; [ 3.91304348 41.08695652],0
s1,1,0.573864,0.316261,[  7 113] ; [ 2 51],[  6.24277457 113.75722543] ; [ 2.75722543 50.24277457],0
r2,1,0.678635,0.171666,[110   9] ; [48  5],[109.31395349   9.68604651] ; [48.68604651  4.31395349],0
n1,1,0.736183,0.11351,[ 9 14] ; [4 8],[ 8.54285714 14.45714286] ; [4.45714286 7.54285714],0
n2,1,0.884411,0.021135,[14  9] ; [7 5],[13.8  9.2] ; [7.2 4.8],0
b4,1,0.903242,0.014778,[65 56] ; [29 24],[65.36781609 55.63218391] ; [28.63218391 24.36781609],0
n4,1,0.961978,0.002273,[94 27] ; [41 12],[93.87931034 27.12068966] ; [41.12068966 11.87931034],0
d5,1,0.963228,0.002125,[97 23] ; [43 10],[97.10982659 22.89017341] ; [42.89017341 10.10982659],0
p1,1,0.99777,8e-06,[ 16 105] ; [ 7 46],[ 15.99425287 105.00574713] ; [ 7.00574713 45.99425287],0
