Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,45.264702,[38 10] ; [14 63],[19.968 28.032] ; [32.032 44.968],1
s6,1,0.0,37.985157,[40  7] ; [22 56],[23.312 23.688] ; [38.688 39.312],1
s8,1,1.4e-05,18.839937,[22 26] ; [ 9 69],[11.80952381 36.19047619] ; [19.19047619 58.80952381],1
s4,1,3.5e-05,17.121889,[18 30] ; [ 6 72],[ 9.14285714 38.85714286] ; [14.85714286 63.14285714],1
s5,1,4.9e-05,16.499401,[20 24] ; [ 9 65],[10.81355932 33.18644068] ; [18.18644068 55.81355932],1
s7,1,0.001286,10.361987,[20 24] ; [13 60],[12.41025641 31.58974359] ; [20.58974359 52.41025641],0
r4,1,0.002442,9.183607,[43  5] ; [51 27],[35.80952381 12.19047619] ; [58.19047619 19.80952381],0
p9,1,0.003896,8.33157,[35 10] ; [39 37],[27.52066116 17.47933884] ; [46.47933884 29.52066116],0
v1,1,0.005608,7.672137,[26 20] ; [24 53],[18.69918699 27.30081301] ; [31.30081301 45.69918699],0
p4,1,0.010695,6.515385,[20 28] ; [16 62],[13.71428571 34.28571429] ; [22.28571429 55.71428571],0
u1,1,0.013294,6.129523,[ 8 40] ; [ 3 75],[ 4.19047619 43.80952381] ; [ 6.80952381 71.19047619],0
r3,1,0.025617,4.981655,[47  1] ; [67 11],[43.42857143  4.57142857] ; [70.57142857  7.42857143],0
v4,1,0.027767,4.842472,[45  3] ; [61 16],[40.704  7.296] ; [65.296 11.704],0
r2,1,0.031388,4.631622,[46  2] ; [63 13],[42.19354839  5.80645161] ; [66.80645161  9.19354839],0
n2,1,0.032829,4.554656,[12  3] ; [14 16],[8.66666667 6.33333333] ; [17.33333333 12.66666667],0
n1,1,0.037001,4.350348,[8 7] ; [ 7 24],[ 4.89130435 10.10869565] ; [10.10869565 20.89130435],0
p10,1,0.042589,4.111658,[29 17] ; [34 43],[23.56097561 22.43902439] ; [39.43902439 37.56097561],0
u3,1,0.057572,3.605983,[17  5] ; [16 15],[13.69811321  8.30188679] ; [19.30188679 11.69811321],0
p3,1,0.060961,3.511053,[15 33] ; [13 64],[10.752 37.248] ; [17.248 59.752],0
d1,1,0.06658,3.365385,[29 19] ; [34 44],[24. 24.] ; [39. 39.],0
a5,1,0.066973,3.355698,[32 16] ; [39 39],[27.04761905 20.95238095] ; [43.95238095 34.04761905],0
n3,1,0.067863,3.333964,[12  3] ; [15 14],[9.20454545 5.79545455] ; [17.79545455 11.20454545],0
p5,1,0.116518,2.463516,[ 3 44] ; [ 1 77],[ 1.504 45.496] ; [ 2.496 75.504],0
d2,1,0.120309,2.413288,[22 26] ; [25 53],[17.9047619 30.0952381] ; [29.0952381 48.9047619],0
a1,1,0.302352,1.06379,[ 2 46] ; [ 1 77],[ 1.14285714 46.85714286] ; [ 1.85714286 76.14285714],0
d4,1,0.324872,0.969231,[42  6] ; [63 15],[40.  8.] ; [65. 13.],0
p6,1,0.343628,0.896849,[ 7 41] ; [ 7 70],[ 5.376 42.624] ; [ 8.624 68.376],0
d5,1,0.387885,0.745562,[40  8] ; [60 18],[38.0952381  9.9047619] ; [61.9047619 16.0952381],0
b1,1,0.411981,0.673077,[15 33] ; [30 48],[17.14285714 30.85714286] ; [27.85714286 50.14285714],0
a2,1,0.466415,0.530457,[ 7 41] ; [ 8 70],[ 5.71428571 42.28571429] ; [ 9.28571429 68.71428571],0
a6,1,0.501304,0.452174,[26 22] ; [47 31],[27.80952381 20.19047619] ; [45.19047619 32.80952381],0
a3,1,0.501304,0.452174,[26 22] ; [47 31],[27.80952381 20.19047619] ; [45.19047619 32.80952381],0
u2,1,0.531566,0.391398,[14  7] ; [18 13],[12.92307692  8.07692308] ; [19.07692308 11.92307692],0
n6,1,0.58733,0.294533,[27 21] ; [40 38],[25.52380952 22.47619048] ; [41.47619048 36.52380952],0
b5,1,0.657332,0.196781,[27 21] ; [47 31],[28.19047619 19.80952381] ; [45.80952381 32.19047619],0
v3,1,0.679224,0.171001,[13 31] ; [19 54],[12.03418803 31.96581197] ; [19.96581197 53.03418803],0
p1,1,0.698732,0.149794,[ 4 44] ; [ 5 72],[ 3.456 44.544] ; [ 5.544 71.456],0
v2,1,0.704786,0.143541,[23 21] ; [37 39],[22. 22.] ; [38. 38.],0
r1,1,0.712194,0.136095,[34 13] ; [54 24],[33.088 13.912] ; [54.912 23.088],0
a8,1,0.716083,0.132277,[ 3 40] ; [ 4 71],[ 2.55084746 40.44915254] ; [ 4.44915254 70.55084746],0
p11,1,0.739129,0.110894,[25 23] ; [43 35],[25.9047619 22.0952381] ; [42.0952381 35.9047619],0
d3,1,0.742787,0.107692,[30 18] ; [51 27],[30.85714286 17.14285714] ; [50.14285714 27.85714286],0
b2,1,0.803612,0.061839,[ 8 14] ; [17 26],[ 8.46153846 13.53846154] ; [16.53846154 26.46153846],0
b3,1,0.803612,0.061839,[ 8 14] ; [17 26],[ 8.46153846 13.53846154] ; [16.53846154 26.46153846],0
s1,1,0.805586,0.060577,[ 2 46] ; [ 4 74],[ 2.28571429 45.71428571] ; [ 3.71428571 74.28571429],0
p8,1,0.866785,0.028138,[ 9 38] ; [14 64],[ 8.648 38.352] ; [14.352 63.648],0
n4,1,0.914049,0.011649,[18 30] ; [30 48],[18.28571429 29.71428571] ; [29.71428571 48.28571429],0
b4,1,0.914049,0.011649,[30 18] ; [48 30],[29.71428571 18.28571429] ; [48.28571429 29.71428571],0
p2,1,0.94357,0.00501,[28 20] ; [45 33],[27.80952381 20.19047619] ; [45.19047619 32.80952381],0
a7,1,0.969399,0.001472,[34 14] ; [55 23],[33.9047619 14.0952381] ; [55.0952381 22.9047619],0
a4,1,0.971181,0.001305,[18 30] ; [29 49],[17.9047619 30.0952381] ; [29.0952381 48.9047619],0
