Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,6.8e-05,15.870685,[ 7 17] ; [40 12],[14.84210526  9.15789474] ; [32.15789474 19.84210526],1
p2,1,0.000966,10.890808,[ 5 19] ; [32 20],[11.68421053 12.31578947] ; [25.31578947 26.68421053],1
n6,1,0.003216,8.680653,[ 8 16] ; [36 16],[13.89473684 10.10526316] ; [30.10526316 21.89473684],0
r4,1,0.005719,7.636715,[ 4 20] ; [26 26],[ 9.47368421 14.52631579] ; [20.52631579 31.47368421],0
r2,1,0.012972,6.172937,[12 10] ; [42  9],[16.2739726  5.7260274] ; [37.7260274 13.2739726],0
p1,1,0.017291,5.666614,[ 5 19] ; [ 2 50],[ 2.21052632 21.78947368] ; [ 4.78947368 47.21052632],0
u2,1,0.022353,5.218067,[ 1 11] ; [12 14],[4.10526316 7.89473684] ; [ 8.89473684 17.10526316],0
s6,1,0.034946,4.447791,[ 3 20] ; [19 32],[ 6.83783784 16.16216216] ; [15.16216216 35.83783784],0
n1,1,0.03596,4.399003,[6 4] ; [ 4 15],[3.44827586 6.55172414] ; [ 6.55172414 12.44827586],0
n4,1,0.04481,4.025766,[17  7] ; [24 28],[12.94736842 11.05263158] ; [28.05263158 23.94736842],0
s2,1,0.057429,3.610125,[ 4 20] ; [20 32],[ 7.57894737 16.42105263] ; [16.42105263 35.57894737],0
s5,1,0.058562,3.57764,[ 2 21] ; [14 35],[ 5.11111111 17.88888889] ; [10.88888889 38.11111111],0
b5,1,0.075026,3.169491,[11 13] ; [35 17],[14.52631579  9.47368421] ; [31.47368421 20.52631579],0
p8,1,0.096259,2.76645,[ 2 21] ; [13 38],[ 4.66216216 18.33783784] ; [10.33783784 40.66216216],0
s8,1,0.11518,2.481663,[ 1 23] ; [ 9 43],[ 3.15789474 20.84210526] ; [ 6.84210526 45.15789474],0
p9,1,0.129571,2.297631,[ 9 14] ; [28 20],[11.98591549 11.01408451] ; [25.01408451 22.98591549],0
b4,1,0.144504,2.129331,[14 10] ; [21 31],[11.05263158 12.94736842] ; [23.94736842 28.05263158],0
d4,1,0.147941,2.093349,[11 13] ; [33 19],[13.89473684 10.10526316] ; [30.10526316 21.89473684],0
s4,1,0.160748,1.967175,[ 3 21] ; [14 38],[ 5.36842105 18.63157895] ; [11.63157895 40.36842105],0
p7,1,0.161301,1.961989,[ 7 17] ; [24 28],[ 9.78947368 14.21052632] ; [21.21052632 30.78947368],0
v2,1,0.173562,1.851907,[ 4 19] ; [17 35],[ 6.44 16.56] ; [14.56 37.44],0
n5,1,0.174366,1.845005,[16  8] ; [26 26],[13.26315789 10.73684211] ; [28.73684211 23.26315789],0
a8,1,0.180999,1.789398,[ 3 21] ; [ 2 47],[ 1.64383562 22.35616438] ; [ 3.35616438 45.64383562],0
v1,1,0.205186,1.605075,[ 5 19] ; [18 33],[ 7.36 16.64] ; [15.64 35.36],0
p10,1,0.212037,1.557466,[ 6 17] ; [21 30],[ 8.39189189 14.60810811] ; [18.60810811 32.39189189],0
n2,1,0.233297,1.420648,[4 6] ; [12  7],[5.51724138 4.48275862] ; [10.48275862  8.51724138],0
a1,1,0.236018,1.404223,[ 4 20] ; [ 4 48],[ 2.52631579 21.47368421] ; [ 5.47368421 46.52631579],0
s7,1,0.300195,1.073327,[ 3 19] ; [12 37],[ 4.64788732 17.35211268] ; [10.35211268 38.64788732],0
d5,1,0.378396,0.775906,[12 12] ; [31 20],[13.76 10.24] ; [29.24 21.76],0
s1,1,0.415466,0.663105,[ 2 22] ; [ 2 50],[ 1.26315789 22.73684211] ; [ 2.73684211 49.26315789],0
p6,1,0.47048,0.520847,[ 3 20] ; [10 40],[ 4.09589041 18.90410959] ; [ 8.90410959 41.09589041],0
p4,1,0.492348,0.47139,[ 7 17] ; [19 32],[ 8.32 15.68] ; [17.68 33.32],0
d3,1,0.510555,0.432929,[11 13] ; [27 23],[12.32432432 11.67567568] ; [25.67567568 24.32432432],0
n3,1,0.517613,0.418647,[4 6] ; [10  9],[4.82758621 5.17241379] ; [9.17241379 9.82758621],0
a6,1,0.621625,0.24359,[13 11] ; [25 27],[12. 12.] ; [26. 26.],0
