Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6e-06,20.533592,[29 71] ; [41 22],[42.94478528 57.05521472] ; [27.05521472 35.94478528],1
v3,1,0.000681,11.540246,[15 90] ; [23 39],[23.89221557 81.10778443] ; [14.10778443 47.89221557],1
a5,1,0.001105,10.643045,[45 62] ; [44 21],[55.36627907 51.63372093] ; [33.63372093 31.36627907],0
s7,1,0.001935,9.609814,[16 85] ; [24 41],[24.3373494 76.6626506] ; [15.6626506 49.3373494],0
p3,1,0.008726,6.878061,[22 85] ; [25 39],[29.40935673 77.59064327] ; [17.59064327 46.40935673],0
a3,1,0.008874,6.84807,[54 53] ; [46 19],[62.20930233 44.79069767] ; [37.79069767 27.20930233],0
s6,1,0.009957,6.642515,[37 70] ; [35 29],[45.05263158 61.94736842] ; [26.94736842 37.05263158],0
p9,1,0.015653,5.841433,[65 40] ; [51 13],[72.07100592 32.92899408] ; [43.92899408 20.07100592],0
a2,1,0.029326,4.748369,[ 8 99] ; [12 53],[12.44186047 94.55813953] ; [ 7.55813953 57.44186047],0
a4,1,0.031977,4.599731,[22 85] ; [23 42],[27.99418605 79.00581395] ; [17.00581395 47.99418605],0
r1,1,0.046648,3.958038,[63 44] ; [48 17],[69.05232558 37.94767442] ; [41.94767442 23.05232558],0
p11,1,0.054668,3.692184,[60 47] ; [46 19],[65.94186047 41.05813953] ; [40.05813953 24.94186047],0
p10,1,0.057533,3.607103,[59 47] ; [45 19],[64.84705882 41.15294118] ; [39.15294118 24.84705882],0
b4,1,0.083624,2.993027,[53 54] ; [41 24],[58.47674419 48.52325581] ; [35.52325581 29.47674419],0
p1,1,0.137566,2.204979,[  2 105] ; [ 4 61],[  3.73255814 103.26744186] ; [ 2.26744186 62.73255814],0
p2,1,0.141188,2.164963,[71 36] ; [50 15],[75.27325581 31.72674419] ; [45.72674419 19.27325581],0
n2,1,0.143924,2.13549,[26 18] ; [17  5],[28.66666667 15.33333333] ; [14.33333333  7.66666667],0
n5,1,0.177351,1.819681,[37 69] ; [29 35],[41.15294118 64.84705882] ; [24.84705882 39.15294118],0
s4,1,0.213873,1.545016,[21 86] ; [ 8 57],[18.04069767 88.95930233] ; [10.95930233 54.04069767],0
r4,1,0.229288,1.44527,[75 32] ; [51 14],[78.38372093 28.61627907] ; [47.61627907 17.38372093],0
d4,1,0.243622,1.359511,[71 35] ; [49 16],[74.38596491 31.61403509] ; [45.61403509 19.38596491],0
p7,1,0.255861,1.291017,[50 54] ; [36 27],[53.55688623 50.44311377] ; [32.44311377 30.55688623],0
p5,1,0.276929,1.182098,[  3 103] ; [ 4 60],[  4.36470588 101.63529412] ; [ 2.63529412 61.36470588],0
u3,1,0.307208,1.042641,[28 23] ; [13  6],[29.87142857 21.12857143] ; [11.12857143  7.87142857],0
b3,1,0.328683,0.954082,[11 39] ; [11 24],[12.94117647 37.05882353] ; [ 9.05882353 25.94117647],0
b2,1,0.328683,0.954082,[11 39] ; [11 24],[12.94117647 37.05882353] ; [ 9.05882353 25.94117647],0
u2,1,0.34347,0.897436,[28 24] ; [12  6],[29.71428571 22.28571429] ; [10.28571429  7.71428571],0
r2,1,0.410531,0.677263,[87 20] ; [56  9],[88.95930233 18.04069767] ; [54.04069767 10.95930233],0
p8,1,0.438039,0.601415,[40 66] ; [28 36],[42.4 63.6] ; [25.6 38.4],0
a6,1,0.47695,0.505828,[65 42] ; [43 22],[67.18604651 39.81395349] ; [40.81395349 24.18604651],0
p4,1,0.53603,0.382947,[39 67] ; [27 38],[40.9122807 65.0877193] ; [25.0877193 39.9122807],0
n6,1,0.558565,0.342194,[61 46] ; [40 25],[62.83139535 44.16860465] ; [38.16860465 26.83139535],0
d2,1,0.589339,0.291378,[32 75] ; [22 43],[33.59302326 73.40697674] ; [20.40697674 44.59302326],0
d3,1,0.618343,0.248203,[67 38] ; [39 26],[65.47058824 39.52941176] ; [40.52941176 24.47058824],0
d5,1,0.636305,0.223608,[68 38] ; [44 21],[69.42690058 36.57309942] ; [42.57309942 22.42690058],0
n1,1,0.670242,0.181319,[10 34] ; [ 4 18],[ 9.33333333 34.66666667] ; [ 4.66666667 17.33333333],0
b5,1,0.697252,0.151346,[69 38] ; [40 25],[67.80813953 39.19186047] ; [41.19186047 23.80813953],0
b1,1,0.699875,0.148602,[46 61] ; [26 39],[44.79069767 62.20930233] ; [27.20930233 37.79069767],0
d1,1,0.732211,0.117091,[40 67] ; [26 39],[41.05813953 65.94186047] ; [24.94186047 40.05813953],0
u1,1,0.741263,0.10902,[ 8 99] ; [ 4 61],[ 7.46511628 99.53488372] ; [ 4.53488372 60.46511628],0
s1,1,0.761775,0.0919,[  4 103] ; [ 3 61],[  4.38011696 102.61988304] ; [ 2.61988304 61.38011696],0
n3,1,0.762215,0.091551,[29 16] ; [15  7],[29.55223881 15.44776119] ; [14.44776119  7.55223881],0
v4,1,0.767786,0.087186,[93 13] ; [58  7],[93.60233918 12.39766082] ; [57.39766082  7.60233918],0
p6,1,0.800328,0.06397,[21 86] ; [11 50],[20.38095238 86.61904762] ; [11.61904762 49.38095238],0
a1,1,0.872381,0.025804,[  2 105] ; [ 1 64],[  1.86627907 105.13372093] ; [ 1.13372093 63.86627907],0
r3,1,0.873235,0.025457,[91 16] ; [55  9],[91.35672515 15.64327485] ; [54.64327485  9.35672515],0
a8,1,0.874418,0.02498,[ 6 95] ; [ 4 57],[ 6.2345679 94.7654321] ; [ 3.7654321 57.2345679],0
s8,1,0.891319,0.018669,[24 83] ; [14 51],[23.63953488 83.36046512] ; [14.36046512 50.63953488],0
s2,1,0.894265,0.017665,[32 74] ; [19 46],[31.61403509 74.38596491] ; [19.38596491 45.61403509],0
a7,1,0.894265,0.017665,[74 32] ; [46 19],[74.38596491 31.61403509] ; [45.61403509 19.38596491],0
s3,1,0.951734,0.003664,[40 67] ; [24 41],[39.81395349 67.18604651] ; [24.18604651 40.81395349],0
