Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,83.506512,[ 82 104] ; [428 110],[131.02209945  54.97790055] ; [378.97790055 159.02209945],1
d3,1,0.0,76.792739,[87 99] ; [433 106],[133.40689655  52.59310345] ; [386.59310345 152.40689655],1
a2,1,0.0,38.357876,[ 17 169] ; [175 366],[ 49.12242091 136.87757909] ; [142.87757909 398.12242091],1
u1,1,0.0,27.980427,[ 13 173] ; [136 405],[ 38.12104539 147.87895461] ; [110.87895461 430.12104539],1
b5,1,1e-06,23.920123,[ 82 104] ; [349 192],[110.2696011  75.7303989] ; [320.7303989 220.2696011],1
d1,1,0.00018,14.030968,[94 92] ; [357 184],[115.38651994  70.61348006] ; [335.61348006 205.38651994],1
b3,1,0.000463,12.259183,[62 58] ; [107 213],[46.09090909 73.90909091] ; [122.90909091 197.09090909],1
b2,1,0.000463,12.259183,[62 58] ; [107 213],[46.09090909 73.90909091] ; [122.90909091 197.09090909],1
p4,1,0.00246,9.170075,[92 91] ; [337 198],[109.34122563  73.65877437] ; [319.65877437 215.34122563],0
p2,1,0.004987,7.884148,[138  44] ; [457  81],[150.40277778  31.59722222] ; [444.59722222  93.40277778],0
v2,1,0.014034,6.033873,[91 87] ; [318 198],[104.90201729  73.09798271] ; [304.09798271 211.90201729],0
d4,1,0.014781,5.942442,[144  40] ; [463  76],[154.47856155  29.52143845] ; [452.52143845  86.47856155],0
s5,1,0.018761,5.523657,[ 75 101] ; [171 350],[ 62.11764706 113.88235294] ; [183.88235294 337.11764706],0
d5,1,0.025413,4.995532,[142  43] ; [453  86],[152.03729282  32.96270718] ; [442.96270718  96.03729282],0
u3,1,0.050492,3.825032,[26 25] ; [95 48],[31.80927835 19.19072165] ; [89.19072165 53.80927835],0
b1,1,0.051397,3.795279,[ 82 104] ; [195 346],[ 70.869326 115.130674] ; [206.130674 334.869326],0
p9,1,0.054691,3.691474,[143  39] ; [450  81],[151.36886396  30.63113604] ; [441.63113604  89.36886396],0
v4,1,0.06244,3.471358,[175   9] ; [528  12],[178.66298343   5.33701657] ; [524.33701657  15.66298343],0
p8,1,0.07052,3.27087,[86 96] ; [291 238],[96.50351617 85.49648383] ; [280.49648383 248.50351617],0
p1,1,0.086373,2.940699,[ 10 174] ; [ 51 485],[ 15.58888889 168.41111111] ; [ 45.41111111 490.58888889],0
r4,1,0.094363,2.798331,[177   9] ; [528  13],[180.37138927   5.62861073] ; [524.62861073  16.37138927],0
s8,1,0.114272,2.494124,[93 91] ; [234 300],[ 83.7994429 100.2005571] ; [243.2005571 290.7994429],0
p10,1,0.155104,2.021324,[139  42] ; [436  98],[145.55944056  35.44055944] ; [429.44055944 104.55944056],0
r3,1,0.173781,1.850022,[176   9] ; [523  15],[178.85892116   6.14107884] ; [520.14107884  17.85892116],0
a5,1,0.191371,1.707035,[136  50] ; [421 120],[142.50618982  43.49381018] ; [414.49381018 126.50618982],0
p11,1,0.24287,1.363856,[151  35] ; [417 124],[145.32049519  40.67950481] ; [422.67950481 118.32049519],0
b4,1,0.283573,1.149888,[102  84] ; [321 220],[108.22283356  77.77716644] ; [314.77716644 226.22283356],0
n6,1,0.317844,0.997798,[149  34] ; [455  83],[153.3037448  29.6962552] ; [450.6962552  87.3037448],0
s7,1,0.351332,0.868639,[95 82] ; [254 258],[89.65602322 87.34397678] ; [259.34397678 252.65602322],0
u4,1,0.353195,0.861945,[  6 180] ; [ 11 530],[  4.34938102 181.65061898] ; [ 12.65061898 528.34938102],0
p12,1,0.374888,0.787398,[ 12 168] ; [ 47 489],[ 14.83240223 165.16759777] ; [ 44.16759777 491.83240223],0
a1,1,0.38413,0.757441,[ 10 176] ; [ 21 520],[  7.93122421 178.06877579] ; [ 23.06877579 517.93122421],0
a8,1,0.404773,0.6941,[ 22 156] ; [ 71 405],[ 25.31192661 152.68807339] ; [ 67.68807339 408.31192661],0
s4,1,0.408074,0.684404,[ 34 150] ; [ 84 446],[ 30.40896359 153.59103641] ; [ 87.59103641 442.40896359],0
n1,1,0.425235,0.635802,[22 27] ; [42 68],[19.72327044 29.27672956] ; [44.27672956 65.72327044],0
s2,1,0.495964,0.463562,[92 92] ; [282 251],[95.9776848 88.0223152] ; [278.0223152 254.9776848],0
s3,1,0.498208,0.458752,[111  73] ; [304 225],[107.09677419  76.90322581] ; [307.90322581 221.09677419],0
n3,1,0.502127,0.450438,[32 14] ; [83 28],[33.69426752 12.30573248] ; [81.30573248 29.69426752],0
d2,1,0.518092,0.41769,[91 95] ; [278 260],[94.79834254 91.20165746] ; [274.20165746 263.79834254],0
s1,1,0.532176,0.390235,[  8 174] ; [ 18 513],[  6.63674614 175.36325386] ; [ 19.36325386 511.63674614],0
a4,1,0.562913,0.334686,[ 84 101] ; [258 281],[87.38950276 97.61049724] ; [254.61049724 284.38950276],0
s6,1,0.571533,0.320125,[120  58] ; [370 161],[123.01833568  54.98166432] ; [366.98166432 164.01833568],0
v1,1,0.614275,0.253997,[104  77] ; [292 236],[101.09449929  79.90550071] ; [294.90550071 233.09449929],0
p6,1,0.656995,0.197195,[ 63 117] ; [196 336],[ 65.47752809 114.52247191] ; [193.52247191 338.47752809],0
n4,1,0.732483,0.116844,[146  38] ; [422 118],[144.35359116  39.64640884] ; [423.64640884 116.35359116],0
a3,1,0.785152,0.074317,[135  51] ; [396 142],[136.41712707  49.58287293] ; [394.58287293 143.41712707],0
n5,1,0.804559,0.061232,[138  44] ; [403 135],[136.75277778  45.24722222] ; [404.24722222 133.75277778],0
p7,1,0.839046,0.041255,[114  66] ; [335 187],[115.12820513  64.87179487] ; [333.87179487 188.12820513],0
p3,1,0.847237,0.037112,[91 93] ; [270 267],[92.12760055 91.87239945] ; [268.87239945 268.12760055],0
p5,1,0.935442,0.006561,[ 21 160] ; [ 61 475],[ 20.70013947 160.29986053] ; [ 61.29986053 474.70013947],0
n2,1,0.947944,0.004263,[36 13] ; [81 30],[35.83125 13.16875] ; [81.16875 29.83125],0
v3,1,0.970657,0.001353,[ 73 104] ; [212 304],[ 72.79220779 104.20779221] ; [212.20779221 303.79220779],0
u2,1,0.995871,2.7e-05,[29 21] ; [83 60],[29.01554404 20.98445596] ; [82.98445596 60.01554404],0
