Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.000124,14.730191,[ 6 23] ; [17  6],[12.82692308 16.17307692] ; [10.17307692 12.82692308],1
r3,1,0.000246,13.442139,[ 7 23] ; [17  6],[13.58490566 16.41509434] ; [10.41509434 12.58490566],1
p10,1,0.001153,10.563539,[ 6 23] ; [15  8],[11.71153846 17.28846154] ; [ 9.28846154 13.71153846],0
p9,1,0.001659,9.893306,[ 7 22] ; [15  7],[12.50980392 16.49019608] ; [ 9.49019608 12.50980392],0
p2,1,0.002393,9.220439,[ 5 25] ; [13 10],[10.18867925 19.81132075] ; [ 7.81132075 15.18867925],0
v2,1,0.003534,8.508792,[ 3 26] ; [11 13],[ 7.66037736 21.33962264] ; [ 6.33962264 17.66037736],0
n3,1,0.004975,7.888595,[ 4 13] ; [6 1],[7.08333333 9.91666667] ; [2.91666667 4.08333333],0
b4,1,0.014919,5.925974,[14 16] ; [19  5],[18.33333333 11.66666667] ; [14.66666667  9.33333333],0
s6,1,0.018234,5.573571,[ 4 26] ; [10 14],[ 7.77777778 22.22222222] ; [ 6.22222222 17.77777778],0
p4,1,0.019681,5.439967,[ 5 25] ; [11 13],[ 8.88888889 21.11111111] ; [ 7.11111111 16.88888889],0
s7,1,0.035099,4.440336,[ 3 24] ; [ 8 14],[ 6.06122449 20.93877551] ; [ 4.93877551 17.06122449],0
d5,1,0.05132,3.797802,[12 18] ; [16  8],[15.55555556 14.44444444] ; [12.44444444 11.55555556],0
b5,1,0.05904,3.564148,[11 19] ; [15  9],[14.44444444 15.55555556] ; [11.55555556 12.44444444],0
d4,1,0.061129,3.506494,[15 15] ; [18  6],[18.33333333 11.66666667] ; [14.66666667  9.33333333],0
p7,1,0.083163,3.001974,[ 6 24] ; [10 14],[ 8.88888889 21.11111111] ; [ 7.11111111 16.88888889],0
p6,1,0.11936,2.425701,[ 2 27] ; [ 5 18],[ 3.90384615 25.09615385] ; [ 3.09615385 19.90384615],0
a5,1,0.121567,2.397017,[15 15] ; [17  7],[17.77777778 12.22222222] ; [14.22222222  9.77777778],0
p8,1,0.136146,2.220983,[ 3 26] ; [ 6 17],[ 5.01923077 23.98076923] ; [ 3.98076923 19.01923077],0
d1,1,0.142773,2.14782,[ 8 22] ; [11 13],[10.55555556 19.44444444] ; [ 8.44444444 15.55555556],0
u2,1,0.211346,1.562185,[ 2 12] ; [3 5],[ 3.18181818 10.81818182] ; [1.81818182 6.18181818],0
b3,1,0.211767,1.559302,[ 9 12] ; [ 4 13],[ 7.18421053 13.81578947] ; [ 5.81578947 11.18421053],0
b2,1,0.211767,1.559302,[ 9 12] ; [ 4 13],[ 7.18421053 13.81578947] ; [ 5.81578947 11.18421053],0
v1,1,0.214387,1.541552,[ 7 23] ; [ 9 14],[ 9.05660377 20.94339623] ; [ 6.94339623 16.05660377],0
s1,1,0.230456,1.438043,[ 6 24] ; [ 2 22],[ 4.44444444 25.55555556] ; [ 3.55555556 20.44444444],0
d2,1,0.237217,1.397057,[11 18] ; [13 11],[13.13207547 15.86792453] ; [10.86792453 13.13207547],0
n5,1,0.245278,1.35,[18 12] ; [18  6],[20. 10.] ; [16.  8.],0
s5,1,0.265482,1.239946,[ 3 27] ; [ 5 19],[ 4.44444444 25.55555556] ; [ 3.55555556 20.44444444],0
p3,1,0.266575,1.234286,[ 6 24] ; [ 8 16],[ 7.77777778 22.22222222] ; [ 6.22222222 17.77777778],0
d3,1,0.324824,0.969425,[11 19] ; [12 12],[12.77777778 17.22222222] ; [10.22222222 13.77777778],0
r2,1,0.327996,0.956794,[14 15] ; [ 8 15],[12.26923077 16.73076923] ; [ 9.73076923 13.26923077],0
