Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000631,11.68151,[15 30] ; [30 13],[23.01136364 21.98863636] ; [21.98863636 21.01136364],1
p11,1,0.000639,11.659919,[11 34] ; [27 18],[19. 26.] ; [19. 26.],1
b1,1,0.020271,5.388422,[27 18] ; [16 29],[21.5 23.5] ; [21.5 23.5],0
v4,1,0.028204,4.815538,[21 24] ; [30 13],[26.07954545 18.92045455] ; [24.92045455 18.07954545],0
p2,1,0.033757,4.506951,[16 29] ; [25 18],[20.96590909 24.03409091] ; [20.03409091 22.96590909],0
b4,1,0.048993,3.875598,[24 21] ; [33 12],[28.5 16.5] ; [28.5 16.5],0
b5,1,0.057532,3.607125,[19 26] ; [28 17],[23.5 21.5] ; [23.5 21.5],0
s6,1,0.068526,3.317972,[10 35] ; [18 27],[14. 31.] ; [14. 31.],0
p10,1,0.164615,1.931314,[17 27] ; [23 20],[20.22988506 23.77011494] ; [19.77011494 23.22988506],0
p8,1,0.17126,1.871883,[ 5 39] ; [10 35],[ 7.41573034 36.58426966] ; [ 7.58426966 37.41573034],0
v3,1,0.191132,1.708868,[ 8 37] ; [13 31],[10.61797753 34.38202247] ; [10.38202247 33.61797753],0
n5,1,0.196706,1.666667,[24 21] ; [30 15],[27. 18.] ; [27. 18.],0
p7,1,0.209469,1.575092,[13 30] ; [ 8 35],[10.5 32.5] ; [10.5 32.5],0
a7,1,0.245507,1.34869,[27 18] ; [21 23],[24.26966292 20.73033708] ; [23.73033708 20.26966292],0
p9,1,0.282871,1.153246,[19 25] ; [23 19],[21.48837209 22.51162791] ; [20.51162791 21.48837209],0
p5,1,0.284469,1.145613,[ 1 44] ; [ 3 40],[ 2.04545455 42.95454545] ; [ 1.95454545 41.04545455],0
d4,1,0.300672,1.071213,[27 18] ; [31 13],[29.3258427 15.6741573] ; [28.6741573 15.3258427],0
n3,1,0.301742,1.066479,[11 13] ; [14  9],[12.76595745 11.23404255] ; [12.23404255 10.76595745],0
p6,1,0.307839,1.039925,[ 6 38] ; [ 3 40],[ 4.55172414 39.44827586] ; [ 4.44827586 38.55172414],0
v2,1,0.327045,0.960562,[13 31] ; [17 26],[15.17241379 28.82758621] ; [14.82758621 28.17241379],0
a1,1,0.334316,0.932106,[ 7 38] ; [ 4 41],[ 5.5 39.5] ; [ 5.5 39.5],0
s8,1,0.334316,0.932106,[ 4 41] ; [ 7 38],[ 5.5 39.5] ; [ 5.5 39.5],0
u3,1,0.334395,0.931801,[ 3 15] ; [ 6 14],[ 4.26315789 13.73684211] ; [ 4.73684211 15.26315789],0
n4,1,0.389424,0.740741,[25 20] ; [29 16],[27. 18.] ; [27. 18.],0
b2,1,0.443638,0.586854,[11 14] ; [ 8 16],[ 9.69387755 15.30612245] ; [ 9.30612245 14.69387755],0
b3,1,0.443638,0.586854,[11 14] ; [ 8 16],[ 9.69387755 15.30612245] ; [ 9.30612245 14.69387755],0
s7,1,0.488706,0.479373,[ 9 33] ; [12 31],[10.37647059 31.62352941] ; [10.62352941 32.37647059],0
d2,1,0.499578,0.455834,[21 24] ; [17 26],[19.43181818 25.56818182] ; [18.56818182 24.43181818],0
d5,1,0.520423,0.413055,[25 20] ; [28 17],[26.5 18.5] ; [26.5 18.5],0
a4,1,0.534059,0.386662,[15 30] ; [12 32],[13.65168539 31.34831461] ; [13.34831461 30.65168539],0
s2,1,0.61209,0.257143,[ 9 36] ; [11 34],[10. 35.] ; [10. 35.],0
u2,1,0.637809,0.22162,[ 8 10] ; [ 7 12],[ 7.2972973 10.7027027] ; [ 7.7027027 11.2972973],0
a3,1,0.664558,0.188034,[27 17] ; [25 19],[26. 18.] ; [26. 18.],0
a5,1,0.671373,0.18,[19 26] ; [21 24],[20. 25.] ; [20. 25.],0
s1,1,0.693891,0.154905,[ 4 41] ; [ 3 42],[ 3.5 41.5] ; [ 3.5 41.5],0
r2,1,0.716242,0.132122,[26 17] ; [27 15],[26.81176471 16.18823529] ; [26.18823529 15.81176471],0
a2,1,0.74759,0.103567,[ 6 39] ; [ 5 40],[ 5.5 39.5] ; [ 5.5 39.5],0
s5,1,0.763851,0.090256,[ 6 38] ; [ 7 37],[ 6.5 37.5] ; [ 6.5 37.5],0
s4,1,0.777297,0.08,[ 8 37] ; [ 7 38],[ 7.5 37.5] ; [ 7.5 37.5],0
v1,1,0.79877,0.064994,[14 30] ; [12 29],[13.45882353 30.54117647] ; [12.54117647 28.45882353],0
s3,1,0.825721,0.048485,[16 28] ; [17 27],[16.5 27.5] ; [16.5 27.5],0
a6,1,0.833029,0.044444,[23 22] ; [22 23],[22.5 22.5] ; [22.5 22.5],0
a8,1,0.880987,0.022416,[ 3 42] ; [ 3 37],[ 3.17647059 41.82352941] ; [ 2.82352941 37.17647059],0
d3,1,0.912693,0.012021,[21 23] ; [22 23],[21.25842697 22.74157303] ; [21.74157303 23.25842697],0
p1,1,0.969915,0.001422,[ 5 40] ; [ 5 39],[ 5.05617978 39.94382022] ; [ 4.94382022 39.05617978],0
n1,1,1.0,0.0,[ 7 17] ; [ 7 17],[ 7. 17.] ; [ 7. 17.],0
d1,1,1.0,0.0,[17 28] ; [17 28],[17. 28.] ; [17. 28.],0
p3,1,1.0,0.0,[ 6 38] ; [ 6 38],[ 6. 38.] ; [ 6. 38.],0
n2,1,1.0,0.0,[13 11] ; [13 11],[13. 11.] ; [13. 11.],0
r1,1,1.0,0.0,[13 32] ; [13 32],[13. 32.] ; [13. 32.],0
