Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000271,13.261256,[16  9] ; [19 59],[ 8.49514563 16.50485437] ; [26.50485437 51.49514563],1
s6,1,0.000271,13.261256,[16  9] ; [19 59],[ 8.49514563 16.50485437] ; [26.50485437 51.49514563],1
s8,1,0.000276,13.224096,[10 15] ; [ 7 71],[ 4.12621359 20.87378641] ; [12.87378641 65.12621359],1
p10,1,0.004387,8.116388,[11 14] ; [13 66],[ 5.76923077 19.23076923] ; [18.23076923 60.76923077],0
s2,1,0.004424,8.10123,[12 13] ; [15 63],[ 6.55339806 18.44660194] ; [20.44660194 57.55339806],0
s5,1,0.017899,5.606026,[ 8 17] ; [ 9 68],[ 4.16666667 20.83333333] ; [12.83333333 64.16666667],0
u1,1,0.020607,5.359745,[ 5 20] ; [ 4 75],[ 2.16346154 22.83653846] ; [ 6.83653846 72.16346154],0
v3,1,0.030545,4.678363,[10 15] ; [14 61],[ 6. 19.] ; [18. 57.],0
n4,1,0.056542,3.636007,[20  5] ; [46 32],[16.01941748  8.98058252] ; [49.98058252 28.01941748],0
u3,1,0.066857,3.35856,[5 1] ; [15 20],[2.92682927 3.07317073] ; [17.07317073 17.92682927],0
a2,1,0.070611,3.268762,[ 7 18] ; [10 69],[ 4.08653846 20.91346154] ; [12.91346154 66.08653846],0
a4,1,0.072038,3.235973,[13 12] ; [25 53],[ 9.22330097 15.77669903] ; [28.77669903 49.22330097],0
a3,1,0.080309,3.058643,[19  6] ; [44 34],[15.29126214  9.70873786] ; [47.70873786 30.29126214],0
n1,1,0.114481,2.491247,[6 4] ; [11 23],[3.86363636 6.13636364] ; [13.13636364 20.86363636],0
v1,1,0.130458,2.287048,[11 14] ; [22 57],[ 7.93269231 17.06730769] ; [25.06730769 53.93269231],0
r1,1,0.138242,2.197425,[20  5] ; [50 28],[16.99029126  8.00970874] ; [53.00970874 24.99029126],0
r2,1,0.145316,2.120742,[23  2] ; [61 16],[20.58823529  4.41176471] ; [63.41176471 13.58823529],0
a5,1,0.165535,1.922922,[16  9] ; [38 41],[12.98076923 12.01923077] ; [41.01923077 37.98076923],0
n6,1,0.165821,1.920323,[18  7] ; [44 34],[15.04854369  9.95145631] ; [46.95145631 31.04854369],0
r3,1,0.172005,1.865378,[21  4] ; [54 23],[18.38235294  6.61764706] ; [56.61764706 20.38235294],0
r4,1,0.179922,1.798269,[18  7] ; [45 34],[15.14423077  9.85576923] ; [47.85576923 31.14423077],0
p11,1,0.212833,1.552052,[14 11] ; [33 46],[11.29807692 13.70192308] ; [35.70192308 43.29807692],0
d1,1,0.214561,1.540379,[13 12] ; [30 49],[10.33653846 14.66346154] ; [32.66346154 46.33653846],0
s1,1,0.242262,1.367384,[ 3 22] ; [ 4 73],[ 1.71568627 23.28431373] ; [ 5.28431373 71.71568627],0
d3,1,0.257183,1.283858,[14 11] ; [34 45],[11.53846154 13.46153846] ; [36.46153846 42.53846154],0
p7,1,0.289608,1.121442,[ 7 18] ; [31 47],[ 9.22330097 15.77669903] ; [28.77669903 49.22330097],0
n2,1,0.297264,1.086429,[7 3] ; [18 17],[5.55555556 4.44444444] ; [19.44444444 15.55555556],0
d4,1,0.297481,1.085454,[20  5] ; [54 24],[17.96116505  7.03883495] ; [56.03883495 21.96116505],0
d5,1,0.30904,1.034772,[18  7] ; [48 31],[15.86538462  9.13461538] ; [50.13461538 28.86538462],0
b1,1,0.353715,0.860084,[15 10] ; [39 40],[12.98076923 12.01923077] ; [41.01923077 37.98076923],0
v2,1,0.378175,0.776626,[11 14] ; [26 50],[ 9.15841584 15.84158416] ; [27.84158416 48.15841584],0
p3,1,0.410701,0.676771,[ 6 19] ; [13 65],[ 4.61165049 20.38834951] ; [14.38834951 63.61165049],0
u2,1,0.45102,0.568087,[4 2] ; [17 17],[3.15 2.85] ; [17.85 16.15],0
a8,1,0.476117,0.507745,[ 3 20] ; [ 6 68],[ 2.13402062 20.86597938] ; [ 6.86597938 67.13402062],0
s4,1,0.495614,0.464315,[ 4 20] ; [ 9 70],[ 3.02912621 20.97087379] ; [ 9.97087379 69.02912621],0
a6,1,0.533416,0.38788,[16  9] ; [45 34],[14.66346154 10.33653846] ; [46.33653846 32.66346154],0
b5,1,0.625062,0.238817,[15 10] ; [43 36],[13.94230769 11.05769231] ; [44.05769231 34.94230769],0
