Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.00056,11.904574,[11 37] ; [16  9],[17.75342466 30.24657534] ; [ 9.24657534 15.75342466],1
p6,1,0.004241,8.177661,[ 6 41] ; [11 15],[10.94520548 36.05479452] ; [ 6.05479452 19.94520548],0
n6,1,0.004358,8.128125,[21 27] ; [19  5],[26.66666667 21.33333333] ; [13.33333333 10.66666667],0
p3,1,0.004989,7.883523,[ 9 39] ; [13 13],[14.27027027 33.72972973] ; [ 7.72972973 18.27027027],0
p2,1,0.009642,6.699912,[24 24] ; [21  5],[29.18918919 18.81081081] ; [15.81081081 10.18918919],0
b4,1,0.016082,5.793874,[33 16] ; [10 16],[28.09333333 20.90666667] ; [14.90666667 11.09333333],0
p7,1,0.025634,4.980541,[15 31] ; [15 10],[19.43661972 26.56338028] ; [10.56338028 14.43661972],0
a5,1,0.043436,4.078338,[26 23] ; [20  6],[30.05333333 18.94666667] ; [15.94666667 10.05333333],0
p11,1,0.064953,3.406165,[23 26] ; [18  8],[26.78666667 22.21333333] ; [14.21333333 11.78666667],0
u1,1,0.070578,3.269533,[ 4 45] ; [ 6 20],[ 6.53333333 42.46666667] ; [ 3.46666667 22.53333333],0
s8,1,0.073002,3.214192,[ 7 42] ; [ 8 17],[ 9.93243243 39.06756757] ; [ 5.06756757 19.93243243],0
p5,1,0.150219,2.070023,[ 4 44] ; [ 5 20],[ 5.91780822 42.08219178] ; [ 3.08219178 21.91780822],0
b1,1,0.210821,1.565781,[19 30] ; [14 12],[21.56 27.44] ; [11.44 14.56],0
s5,1,0.220392,1.501817,[ 7 40] ; [ 6 16],[ 8.85507246 38.14492754] ; [ 4.14492754 17.85507246],0
n5,1,0.242617,1.365325,[23 25] ; [15  9],[25.33333333 22.66666667] ; [12.66666667 11.33333333],0
d5,1,0.272543,1.203903,[36 13] ; [22  4],[37.89333333 11.10666667] ; [20.10666667  5.89333333],0
a3,1,0.277655,1.178532,[32 16] ; [14 12],[29.83783784 18.16216216] ; [16.16216216  9.83783784],0
s2,1,0.279176,1.171096,[13 36] ; [ 9 14],[14.97222222 34.02777778] ; [ 7.02777778 15.97222222],0
d1,1,0.291549,1.112453,[22 27] ; [15 11],[24.17333333 24.82666667] ; [12.82666667 13.17333333],0
s7,1,0.331541,0.94287,[13 34] ; [ 9 14],[14.77142857 32.22857143] ; [ 7.22857143 15.77142857],0
d3,1,0.356778,0.849202,[32 16] ; [20  6],[33.72972973 14.27027027] ; [18.27027027  7.72972973],0
v4,1,0.366582,0.815217,[29 17] ; [17  6],[30.66666667 15.33333333] ; [15.33333333  7.66666667],0
s6,1,0.370943,0.800502,[18 31] ; [11 12],[19.73611111 29.26388889] ; [ 9.26388889 13.73611111],0
v2,1,0.399904,0.708616,[20 28] ; [13 12],[21.69863014 26.30136986] ; [11.30136986 13.69863014],0
v1,1,0.415759,0.662273,[14 32] ; [10 15],[15.54929577 30.45070423] ; [ 8.45070423 16.54929577],0
s4,1,0.425368,0.635436,[ 8 41] ; [ 6 19],[ 9.27027027 39.72972973] ; [ 4.72972973 20.27027027],0
v3,1,0.505217,0.44396,[13 35] ; [ 5 20],[11.83561644 36.16438356] ; [ 6.16438356 18.83561644],0
