Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,5.6e-05,16.234154,[60 28] ; [ 7 21],[50.82758621 37.17241379] ; [16.17241379 11.82758621],1
d5,1,0.000113,14.901527,[77 11] ; [15 13],[69.79310345 18.20689655] ; [22.20689655  5.79310345],1
r1,1,0.000196,13.87179,[81  7] ; [17 10],[74.99130435 13.00869565] ; [23.00869565  3.99130435],1
d2,1,0.00079,11.265249,[54 34] ; [ 7 21],[46.27586207 41.72413793] ; [14.72413793 13.27586207],1
d4,1,0.003027,8.791048,[76 12] ; [17 11],[70.55172414 17.44827586] ; [22.44827586  5.55172414],0
n4,1,0.016546,5.743899,[77 11] ; [19  9],[72.82758621 15.17241379] ; [23.17241379  4.82758621],0
a4,1,0.018164,5.580251,[41 47] ; [ 6 22],[35.65517241 52.34482759] ; [11.34482759 16.65517241],0
n5,1,0.020155,5.398435,[69 18] ; [16 12],[64.30434783 22.69565217] ; [20.69565217  7.30434783],0
b4,1,0.022149,5.234063,[59 29] ; [12 16],[53.86206897 34.13793103] ; [17.13793103 10.86206897],0
r4,1,0.045576,3.997182,[83  5] ; [23  5],[80.4137931  7.5862069] ; [25.5862069  2.4137931],0
s3,1,0.063395,3.446272,[24 63] ; [13 15],[27.99130435 59.00869565] ; [ 9.00869565 18.99130435],0
s5,1,0.067773,3.336144,[26 60] ; [ 3 22],[22.46846847 63.53153153] ; [ 6.53153153 18.46846847],0
r2,1,0.073981,3.192399,[81  6] ; [22  5],[78.60526316  8.39473684] ; [24.39473684  2.60526316],0
v4,1,0.076463,3.138528,[84  4] ; [24  4],[81.93103448  6.06896552] ; [26.06896552  1.93103448],0
u2,1,0.083053,3.00412,[13  8] ; [10  1],[15.09375  5.90625] ; [7.90625 3.09375],0
a3,1,0.111768,2.529037,[67 21] ; [17 11],[63.72413793 24.27586207] ; [20.27586207  7.72413793],0
r3,1,0.128453,2.311098,[85  3] ; [25  3],[83.44827586  4.55172414] ; [26.55172414  1.44827586],0
a8,1,0.187304,1.7387,[12 66] ; [ 7 19],[14.25 63.75] ; [ 4.75 21.25],0
p9,1,0.208035,1.585046,[79  8] ; [23  5],[77.16521739  9.83478261] ; [24.83478261  3.16521739],0
p10,1,0.222227,1.489931,[76 11] ; [21  6],[74.02631579 12.97368421] ; [22.97368421  4.02631579],0
s1,1,0.22888,1.44781,[ 2 84] ; [ 2 26],[ 3.01754386 82.98245614] ; [ 0.98245614 27.01754386],0
d3,1,0.234903,1.410927,[61 27] ; [16 12],[58.4137931 29.5862069] ; [18.5862069  9.4137931],0
p3,1,0.236523,1.401196,[49 39] ; [12 16],[46.27586207 41.72413793] ; [14.72413793 13.27586207],0
v3,1,0.305705,1.049143,[42 45] ; [10 17],[39.68421053 47.31578947] ; [12.31578947 14.68421053],0
a6,1,0.339719,0.91149,[59 29] ; [16 12],[56.89655172 31.10344828] ; [18.10344828  9.89655172],0
p1,1,0.341656,0.904209,[ 8 80] ; [ 1 27],[ 6.82758621 81.17241379] ; [ 2.17241379 25.82758621],0
n1,1,0.351425,0.868304,[ 8 12] ; [2 7],[ 6.89655172 13.10344828] ; [3.10344828 5.89655172],0
p5,1,0.352392,0.864824,[16 72] ; [ 3 25],[14.4137931 73.5862069] ; [ 4.5862069 23.4137931],0
b5,1,0.392568,0.730973,[49 39] ; [13 15],[47.03448276 40.96551724] ; [14.96551724 13.03448276],0
b1,1,0.400231,0.707631,[33 55] ; [13 15],[34.89655172 53.10344828] ; [11.10344828 16.89655172],0
v1,1,0.48091,0.496798,[47 40] ; [12 14],[45.42477876 41.57522124] ; [13.57522124 12.42477876],0
s7,1,0.494452,0.466825,[51 35] ; [14 13],[49.46902655 36.53097345] ; [15.53097345 11.46902655],0
s4,1,0.522982,0.408009,[10 78] ; [ 2 26],[ 9.10344828 78.89655172] ; [ 2.89655172 25.10344828],0
p4,1,0.533389,0.387931,[53 35] ; [15 13],[51.5862069 36.4137931] ; [16.4137931 11.5862069],0
a7,1,0.535667,0.383629,[65 23] ; [19  9],[63.72413793 24.27586207] ; [20.27586207  7.72413793],0
n3,1,0.627726,0.235157,[13  7] ; [5 4],[12.4137931  7.5862069] ; [5.5862069 3.4137931],0
p11,1,0.6946,0.154151,[75 13] ; [23  5],[74.34482759 13.65517241] ; [23.65517241  4.34482759],0
p2,1,0.702683,0.145696,[72 16] ; [22  6],[71.31034483 16.68965517] ; [22.68965517  5.31034483],0
u3,1,0.722416,0.12619,[12  9] ; [7 4],[12.46875  8.53125] ; [6.53125 4.46875],0
n6,1,0.731087,0.118116,[73 15] ; [24  4],[73.5862069 14.4137931] ; [23.4137931  4.5862069],0
v2,1,0.741471,0.108838,[47 40] ; [15 11],[47.73451327 39.26548673] ; [14.26548673 11.73451327],0
p6,1,0.744291,0.106391,[37 51] ; [10 16],[36.28070175 51.71929825] ; [10.71929825 15.28070175],0
b2,1,0.751662,0.10014,[30 36] ; [ 7 10],[29.42168675 36.57831325] ; [7.57831325 9.42168675],0
b3,1,0.751662,0.10014,[30 36] ; [ 7 10],[29.42168675 36.57831325] ; [7.57831325 9.42168675],0
p7,1,0.757531,0.095311,[61 25] ; [19  9],[60.35087719 25.64912281] ; [19.64912281  8.35087719],0
p8,1,0.789549,0.071234,[51 34] ; [16 12],[50.39823009 34.60176991] ; [16.60176991 11.39823009],0
s6,1,0.820049,0.051748,[57 30] ; [19  9],[57.49565217 29.50434783] ; [18.50434783  9.49565217],0
a1,1,0.82506,0.048859,[ 4 84] ; [ 1 27],[ 3.79310345 84.20689655] ; [ 1.20689655 26.79310345],0
p12,1,0.865112,0.028856,[ 7 79] ; [ 2 26],[ 6.78947368 79.21052632] ; [ 2.21052632 25.78947368],0
n2,1,1.0,0.0,[14  7] ; [6 3],[14.  7.] ; [6. 3.],0
