Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,111.33063,[255   8] ; [16 22],[236.78737542  26.21262458] ; [34.21262458  3.78737542],1
p11,1,0.0,33.158012,[224  40] ; [17 21],[210.67549669  53.32450331] ; [30.32450331  7.67549669],1
r4,1,0.000125,14.716308,[249  15] ; [29  9],[243.01986755  20.98013245] ; [34.98013245  3.01986755],1
n4,1,0.003004,8.805323,[225  39] ; [25 13],[218.54304636  45.45695364] ; [31.45695364  6.54304636],0
a3,1,0.004939,7.901795,[213  51] ; [23 15],[206.30463576  57.69536424] ; [29.69536424  8.30463576],0
p7,1,0.006426,7.426899,[198  62] ; [21 17],[191.0738255  68.9261745] ; [27.9261745 10.0738255],0
r3,1,0.01573,5.83286,[256   7] ; [34  4],[253.38870432   9.61129568] ; [36.61129568  1.38870432],0
n5,1,0.016119,5.789885,[221  41] ; [26 12],[215.71333333  46.28666667] ; [31.28666667  6.71333333],0
r1,1,0.016119,5.789885,[221  41] ; [26 12],[215.71333333  46.28666667] ; [31.28666667  6.71333333],0
s8,1,0.024769,5.039931,[180  83] ; [19 19],[173.87707641  89.12292359] ; [25.12292359 12.87707641],0
p2,1,0.02577,4.971385,[239  24] ; [30  8],[235.03986711  27.96013289] ; [33.96013289  4.03986711],0
v1,1,0.026645,4.913668,[162  93] ; [17 21],[155.78498294  99.21501706] ; [23.21501706 14.78498294],0
u2,1,0.034721,4.458841,[35 15] ; [6 9],[31.53846154 18.46153846] ; [9.46153846 5.53846154],0
n6,1,0.034948,4.447706,[236  25] ; [30  8],[232.19397993  28.80602007] ; [33.80602007  4.19397993],0
a7,1,0.047398,3.931198,[199  64] ; [23 15],[193.97342193  69.02657807] ; [28.02657807  9.97342193],0
v4,1,0.058396,3.58236,[256   6] ; [35  3],[254.14   7.86] ; [36.86  1.14],0
s5,1,0.064407,3.420099,[132 119] ; [13 23],[126.81184669 124.18815331] ; [18.18815331 17.81184669],0
r2,1,0.084565,2.974915,[251  11] ; [33  4],[248.85618729  13.14381271] ; [35.14381271  1.85618729],0
b1,1,0.094435,2.797104,[108 156] ; [21 17],[112.76821192 151.23178808] ; [16.23178808 21.76821192],0
s7,1,0.102176,2.671243,[188  63] ; [23 14],[183.89236111  67.10763889] ; [27.10763889  9.89236111],0
p6,1,0.12517,2.351408,[144 116] ; [16 22],[139.59731544 120.40268456] ; [20.40268456 17.59731544],0
a6,1,0.207729,1.587185,[180  84] ; [22 16],[176.58278146  87.41721854] ; [25.41721854 12.58278146],0
p8,1,0.213659,1.546461,[166  97] ; [20 18],[162.51827243 100.48172757] ; [23.48172757 14.51827243],0
p3,1,0.220922,1.498369,[185  78] ; [23 15],[181.74086379  81.25913621] ; [26.25913621 11.74086379],0
s3,1,0.221997,1.491413,[232  30] ; [31  7],[229.68666667  32.31333333] ; [33.31333333  4.68666667],0
